
[00:00:00.000 --> 00:00:02.160]  宗子妹,新的一年開始了
[00:00:02.160 --> 00:00:04.840]  我不曉得你在新的一年裡面
[00:00:04.840 --> 00:00:07.320]  有沒有什麼樣的一些的計劃
[00:00:07.320 --> 00:00:09.920]  或者說你有沒有什麼樣的一些的焦慮
[00:00:09.920 --> 00:00:10.840]  那有的人呢
[00:00:10.840 --> 00:00:12.080]  可能在新的一年呢
[00:00:12.080 --> 00:00:14.680]  他會有很多的改變
[00:00:14.680 --> 00:00:17.000]  特別是在他的生活裡面
[00:00:17.000 --> 00:00:18.240]  在他的工作上面
[00:00:18.240 --> 00:00:21.880]  會面臨不少的新的一些的處境
[00:00:21.880 --> 00:00:25.800]  也許他需要擔當一些新的責任
[00:00:25.800 --> 00:00:27.200]  在教會裡面的服侍呢
[00:00:27.200 --> 00:00:28.400]  也有可能呢
[00:00:28.400 --> 00:00:31.680]  他會要承擔起一些新的服侍
[00:00:31.680 --> 00:00:32.560]  那不管怎樣
[00:00:32.560 --> 00:00:33.840]  在新的一年呢
[00:00:33.840 --> 00:00:36.760]  我們盼望神加給我們力量
[00:00:36.760 --> 00:00:40.000]  能夠在不同的處境裡面
[00:00:40.000 --> 00:00:41.520]  包括你的工作的環境
[00:00:41.520 --> 00:00:42.840]  或者是在教會裡面
[00:00:42.840 --> 00:00:44.880]  服侍的這個環境裡面呢
[00:00:44.880 --> 00:00:47.280]  都能夠有神的恩典
[00:00:47.280 --> 00:00:48.880]  能夠靠著神
[00:00:48.880 --> 00:00:50.840]  我們可以勇往直前的
[00:00:50.840 --> 00:00:52.800]  可以走今年的路
[00:00:52.800 --> 00:00:56.960]  起碼在今年我們可以放膽的
[00:00:56.960 --> 00:00:59.560]  可以跟著神可以走前面的路
[00:00:59.560 --> 00:01:02.240]  那今天跟大家分享的這個
[00:01:02.240 --> 00:01:05.640]  講到的題目叫勇往直前
[00:01:05.640 --> 00:01:09.760]  所以我也是很期望
[00:01:09.760 --> 00:01:12.040]  就是弟兄姊妹都能夠在新的一年
[00:01:12.040 --> 00:01:13.280]  可以勇往直前
[00:01:13.280 --> 00:01:15.760]  不管在任何的領域
[00:01:15.760 --> 00:01:17.280]  你工作的也好
[00:01:17.280 --> 00:01:18.560]  在侍奉也好
[00:01:18.560 --> 00:01:20.360]  都能夠勇往直前
[00:01:20.360 --> 00:01:21.840]  那今天要分享的經文呢
[00:01:21.840 --> 00:01:24.440]  是在約書亞記的第一章
[00:01:24.440 --> 00:01:25.800]  一到九節
[00:01:25.800 --> 00:01:30.880]  我們先一起來讀一下這段的經文
[00:01:30.880 --> 00:01:32.640]  好 看到經文的話
[00:01:32.640 --> 00:01:33.880]  我們一起來念一下
[00:01:33.880 --> 00:01:35.560]  好 一二起
[00:01:35.560 --> 00:01:38.800]  耶和華的僕人摩西死了以後
[00:01:38.800 --> 00:01:41.800]  耶和華小育摩西的幫手
[00:01:41.800 --> 00:01:44.880]  嫩的兒子約書亞說
[00:01:44.880 --> 00:01:47.320]  我的僕人摩西死了
[00:01:47.320 --> 00:01:49.200]  現在你要起來
[00:01:49.200 --> 00:01:52.320]  和眾百姓過著約旦河
[00:01:52.320 --> 00:01:56.600]  往我所要賜給以色列人的地去
[00:01:56.600 --> 00:01:59.280]  凡你們腳掌所踏之地
[00:01:59.280 --> 00:02:02.440]  我都照著我所應許摩西的話
[00:02:02.440 --> 00:02:04.280]  賜給你們了
[00:02:04.280 --> 00:02:07.040]  從曠野和這黎巴嫩
[00:02:07.040 --> 00:02:09.440]  直到幼發拉底大河
[00:02:09.440 --> 00:02:11.200]  賀人的權地
[00:02:11.200 --> 00:02:14.120]  又到大海日落之處
[00:02:14.120 --> 00:02:17.200]  都要做你們的境界
[00:02:17.200 --> 00:02:19.240]  你平生的日子
[00:02:19.240 --> 00:02:23.200]  必無一人能在你面前站立得住
[00:02:23.200 --> 00:02:25.800]  我怎樣與摩西同在
[00:02:25.800 --> 00:02:28.480]  也必照樣與你同在
