
[00:00:00.000 --> 00:00:04.360]  頂姐妹我們承認我們很需要耶穌基督
[00:00:04.360 --> 00:00:13.500]  所以在講道之前我們再一次的祈禱
[00:00:13.500 --> 00:00:17.320]  主啊我們很需要祢
[00:00:17.320 --> 00:00:22.820]  很需要祢的補血去浮避我們每一個人
[00:00:22.820 --> 00:00:27.000]  我們知道我們自己在天父面前
[00:00:27.000 --> 00:00:30.300]  每一個人能夠自稱為二人
[00:00:30.300 --> 00:00:33.000]  唯有因著耶穌基督祢
[00:00:33.000 --> 00:00:36.700]  我們才可以到天父面前
[00:00:36.700 --> 00:00:39.200]  主啊祢今天
[00:00:39.200 --> 00:00:42.300]  我們都帶著不同的感受情感
[00:00:42.300 --> 00:00:46.200]  回到祢的殿當中
[00:00:46.200 --> 00:00:50.700]  主啊我們知道我們所腦海裏面想的事情
[00:00:50.700 --> 00:00:53.700]  我們心裏面的感受
[00:00:53.700 --> 00:00:59.200]  令到我們有時候不能夠安靜下來
[00:00:59.200 --> 00:01:02.200]  主啊祢幫我們
[00:01:02.200 --> 00:01:04.700]  與祢的靈繼續引導我們
[00:01:04.700 --> 00:01:09.000]  當我們打開你聖經寶貴的話語的時候
[00:01:09.000 --> 00:01:13.700]  祢幫我們的心可以逐步安定下來
[00:01:13.700 --> 00:01:16.700]  以致我們讀盡祢的話語
[00:01:16.700 --> 00:01:21.700]  去領受祢要我們學習的功課
[00:01:21.700 --> 00:01:23.700]  主啊我們需要祢
[00:01:23.700 --> 00:01:25.700]  求祢臨在
[00:01:25.700 --> 00:01:28.700]  祈禱奉主耶穌基督得聖命致祈求
[00:01:28.700 --> 00:01:30.700]  阿們
[00:01:51.700 --> 00:01:53.700]  主啊我們需要因耶和華歡喜
[00:01:53.700 --> 00:01:55.700]  以救我的神為樂
[00:01:55.700 --> 00:01:59.700]  主耶和華是我的力量
[00:01:59.700 --> 00:02:02.700]  這幾節的說話
[00:02:02.700 --> 00:02:04.700]  是哈巴谷書最後
[00:02:04.700 --> 00:02:07.700]  哈巴谷先知的結語
[00:02:07.700 --> 00:02:09.700]  怎樣可以在艱難裏面
[00:02:09.700 --> 00:02:11.700]  達至這種的歡欣喜樂
[00:02:11.700 --> 00:02:15.700]  以靠神得祂力量的境界呢?
[00:02:15.700 --> 00:02:17.700]  這是我們這一季會透過
[00:02:17.700 --> 00:02:19.700]  研讀哈巴谷書
[00:02:19.700 --> 00:02:21.700]  一起去思想
[00:02:21.700 --> 00:02:23.700]  當我們轉向公義審判的主的時候
[00:02:23.700 --> 00:02:26.700]  我們可以達至這個境界
[00:02:26.700 --> 00:02:28.700]  不過哈巴谷書一開始的編排
[00:02:28.700 --> 00:02:31.700]  是從一個負面的提問開始
[00:02:31.700 --> 00:02:35.700]  然後到最後這個正面的語調去結束
[00:02:35.700 --> 00:02:38.700]  哈巴谷書是要帶領讀經的人
[00:02:38.700 --> 00:02:41.700]  從一個混亂和絕望的處境當中
[00:02:41.700 --> 00:02:47.700]  進入一個清晰的前景和得著盼望
[00:02:47.700 --> 00:02:50.700]  我們打開今天我們讀的經文
[00:02:50.700 --> 00:02:53.700]  唐詠聖經1406頁
[00:02:53.700 --> 00:02:56.700]  哈巴谷書的第一章
[00:02:56.700 --> 00:02:59.700]  哈巴谷書的起點是混亂
[00:02:59.700 --> 00:03:01.700]  因為先知他看見
[00:03:01.700 --> 00:03:03.700]  他自己所身處的國內
[00:03:03.700 --> 00:03:05.700]  充滿了腐敗、貪污
[00:03:05.700 --> 00:03:08.700]  也是暴力蔓延
[00:03:08.700 --> 00:03:11.700]  哈巴谷書帶著這些感受和控訴
[00:03:11.700 --> 00:03:12.700]  來到神的面前
[00:03:12.700 --> 00:03:14.700]  我請你幫我讀第二節
