
[00:00:00.000 --> 00:00:06.000]  每一個信徒或多或少都會祈禱
[00:00:06.000 --> 00:00:11.000]  我想問今早到現在有沒有人未祈禱
[00:00:11.000 --> 00:00:14.000]  今早有沒有跟神說早晨呢
[00:00:14.000 --> 00:00:17.000]  還是起床就不能呢
[00:00:17.000 --> 00:00:19.000]  我不知你什麼情況
[00:00:19.000 --> 00:00:22.000]  其實或多或少信徒都會祈禱
[00:00:22.000 --> 00:00:26.000]  未信的朋友都會禱告
[00:00:26.000 --> 00:00:33.000]  近年我們教會有很多國內來的弟兄朋友
[00:00:33.000 --> 00:00:35.000]  即是學生來讀書
[00:00:35.000 --> 00:00:38.000]  他們來的時候我有機會跟他們接觸
[00:00:38.000 --> 00:00:39.000]  有機會跟他們交談
[00:00:39.000 --> 00:00:41.000]  我都會問他們
[00:00:41.000 --> 00:00:44.000]  你們平日有沒有祈禱
[00:00:44.000 --> 00:00:46.000]  他們都說沒有
[00:00:46.000 --> 00:00:48.000]  他們很細心地想
[00:00:48.000 --> 00:00:50.000]  他們說祈禱?
[00:00:50.000 --> 00:00:52.000]  他們說沒有
[00:00:52.000 --> 00:00:54.000]  我說不要緊
[00:00:54.000 --> 00:00:56.000]  你有沒有什麼代禱事項
[00:00:56.000 --> 00:00:57.000]  你隨便告訴我
[00:00:57.000 --> 00:00:59.000]  我都可以為你祈禱
[00:00:59.000 --> 00:01:03.000]  我又很關切地問他們
[00:01:03.000 --> 00:01:06.000]  他們又很誠心地想
[00:01:06.000 --> 00:01:09.000]  他們說
[00:01:09.000 --> 00:01:12.000]  為我可以在這裡讀書讀好一點
[00:01:12.000 --> 00:01:15.000]  為我遠方的爸爸媽媽祈禱
[00:01:15.000 --> 00:01:18.000]  他們都是很真摰的禱告
[00:01:18.000 --> 00:01:20.000]  我覺得挺好的
[00:01:20.000 --> 00:01:24.000]  他們都願意牧師地為他們禱告
[00:01:24.000 --> 00:01:26.000]  我就跟他們一起代禱
[00:01:26.000 --> 00:01:28.000]  一起在這裡祈禱
[00:01:28.000 --> 00:01:31.000]  但就會有人問
[00:01:31.000 --> 00:01:33.000]  未認識神的人
[00:01:33.000 --> 00:01:35.000]  未信主的人
[00:01:35.000 --> 00:01:39.000]  他的禱告神聽不聽
[00:01:39.000 --> 00:01:41.000]  你覺得未信神的人
[00:01:41.000 --> 00:01:44.000]  他的禱告神聽不聽
[00:01:44.000 --> 00:01:46.000]  你覺得呢
[00:01:46.000 --> 00:01:50.000]  要不然我們怎樣信耶穌
[00:01:50.000 --> 00:01:52.000]  我們都是由未信
[00:01:52.000 --> 00:01:54.000]  我們缺志才信耶穌
[00:01:54.000 --> 00:01:56.000]  我們缺志的時候
[00:01:56.000 --> 00:01:58.000]  我們是未信的
[00:01:58.000 --> 00:02:00.000]  缺志完之後才信
[00:02:00.000 --> 00:02:02.000]  所以未信的人都會
[00:02:02.000 --> 00:02:04.000]  如果你記得聖經
[00:02:04.000 --> 00:02:07.000]  在士徒行傳第十章
[00:02:07.000 --> 00:02:09.000]  有一個人叫哥利劉
[00:02:09.000 --> 00:02:11.000]  他是一個虔誠人
[00:02:11.000 --> 00:02:13.000]  他全家都敬畏神
[00:02:13.000 --> 00:02:15.000]  聖經這樣描述
[00:02:15.000 --> 00:02:17.000]  聖經怎樣描述呢
[00:02:17.000 --> 00:02:20.000]  在士徒行傳第十章第三到第五節
[00:02:20.000 --> 00:02:21.000]  他說有一天
[00:02:21.000 --> 00:02:23.000]  大概在三點鐘左右
[00:02:23.000 --> 00:02:26.000]  哥利劉在異象裡面
[00:02:26.000 --> 00:02:29.000]  清楚看到一個天使
[00:02:29.000 --> 00:02:32.000]  天使就跟他說
[00:02:32.000 --> 00:02:34.000]  叫他的名字
[00:02:34.000 --> 00:02:36.000]  哥利劉
[00:02:36.000 --> 00:02:38.000]  他定睛一眼一見
[00:02:38.000 --> 00:02:40.000]  聖經就說他馬上害怕
[00:02:40.000 --> 00:02:42.000]  你會想突然有人叫你的名字
[00:02:42.000 --> 00:02:45.000]  看見沒有人很害怕
[00:02:45.000 --> 00:02:47.000]  接著他就說主啊
[00:02:47.000 --> 00:02:48.000]  他很敏感
[00:02:48.000 --> 00:02:50.000]  當別人叫他的名字的時候
[00:02:50.000 --> 00:02:51.000]  他說主啊
[00:02:51.000 --> 00:02:53.000]  什麼事
[00:02:53.000 --> 00:02:54.000]  即是做什麼
[00:02:54.000 --> 00:02:56.000]  天使就告訴他
[00:02:56.000 --> 00:02:58.000]  你的祈禱和善行
[00:02:58.000 --> 00:03:00.000]  已經達到神的面前
[00:03:00.000 --> 00:03:02.000]  夢他的紀念
[00:03:02.000 --> 00:03:05.000]  即是你現在去找人去約報
[00:03:05.000 --> 00:03:09.000]  去找那個叫彼得的西門尼
[00:03:09.000 --> 00:03:13.000]  即是一個未信神的人
[00:03:13.000 --> 00:03:17.000]  他的禱告都可以達到神的面前
[00:03:17.000 --> 00:03:20.000]  都可以夢神的紀念
[00:03:20.000 --> 00:03:22.000]  更何況我們
[00:03:22.000 --> 00:03:25.000]  我們相信神的人
[00:03:25.000 --> 00:03:27.000]  這個虔誠
[00:03:27.000 --> 00:03:29.000]  這個敬畏
[00:03:29.000 --> 00:03:30.000]  這種禱告
[00:03:30.000 --> 00:03:33.000]  能夠達到神的面前
[00:03:33.000 --> 00:03:36.000]  告訴我們原來祈禱當中
[00:03:36.000 --> 00:03:40.000]  如果你沒有信靠沒有敬畏的時候
[00:03:40.000 --> 00:03:43.000]  這個祈禱未必可能達到神的面前
[00:03:43.000 --> 00:03:46.000]  所以從今以後我們禱告的時候
[00:03:46.000 --> 00:03:47.000]  願意我們都有一個
[00:03:47.000 --> 00:03:48.000]  倚靠神的心
[00:03:48.000 --> 00:03:50.000]  和敬畏神的心
[00:03:50.000 --> 00:03:54.000]  在當中我們是不分開的
[00:03:54.000 --> 00:03:57.000]  所以很多時候我都會鼓勵
[00:03:57.000 --> 00:03:59.000]  未信的朋友
[00:03:59.000 --> 00:04:01.000]  你都去禱告
[00:04:01.000 --> 00:04:03.000]  他們通常會答案是
[00:04:03.000 --> 00:04:06.000]  我不知道你有沒有鼓勵過
[00:04:06.000 --> 00:04:09.000]  一個未信神的人去禱告
[00:04:09.000 --> 00:04:11.000]  他通常答案是
[00:04:11.000 --> 00:04:13.000]  他說我不懂
