
[00:00:00.000 --> 00:00:03.380]  今日想同大家分享的經文是
[00:00:03.380 --> 00:00:08.220]  《馬可福音》三章十三至十九節
[00:00:08.220 --> 00:00:10.200]  經文是這樣說
[00:00:10.200 --> 00:00:11.820]  耶穌上了山
[00:00:11.820 --> 00:00:14.420]  隨自己的意思叫人來
[00:00:14.420 --> 00:00:17.220]  他們便來到他那裡
[00:00:17.220 --> 00:00:20.000]  他就設立十二個人
[00:00:20.000 --> 00:00:23.100]  要他們上和自己同在
[00:00:23.100 --> 00:00:25.740]  也要差他們去傳道
[00:00:25.740 --> 00:00:29.700]  並給他們權柄趕鬼
[00:00:29.700 --> 00:00:32.260]  這十二個人有西門
[00:00:32.260 --> 00:00:34.800]  耶穌又給他起名叫彼得
[00:00:34.800 --> 00:00:37.440]  還有西彼大的兒子雅各
[00:00:37.440 --> 00:00:40.380]  和雅各的兄弟約翰
[00:00:40.380 --> 00:00:43.560]  又給這兩個人起名叫伴尼奇
[00:00:43.560 --> 00:00:46.100]  就是類似的意思
[00:00:46.100 --> 00:00:50.180]  又有安德烈、肥力、巴多羅馬
[00:00:50.180 --> 00:00:54.760]  馬太、多瑪、阿肋肥的兒子雅各
[00:00:54.760 --> 00:00:56.400]  和達泰
[00:00:56.400 --> 00:00:58.980]  並粉瑞黨的西門
[00:00:58.980 --> 00:01:02.540]  還有賣耶穌的加勒人猶大
[00:01:29.980 --> 00:01:31.580]  其實教會講壇
[00:01:31.580 --> 00:01:36.020]  不是一個適合表達我們政見的地方
[00:01:36.020 --> 00:01:38.740]  但是作為每一個人的生活作息
[00:01:38.740 --> 00:01:41.540]  宏觀的背景
[00:01:41.540 --> 00:01:45.060]  政治卻確實是無所不在
[00:01:45.060 --> 00:01:47.020]  而上帝的聖道
[00:01:47.020 --> 00:01:48.660]  亦都是沒有一個範疇
[00:01:48.660 --> 00:01:52.320]  是不可以接觸的
[00:01:52.320 --> 00:01:54.740]  事實上從歷史的角度
[00:01:54.740 --> 00:01:59.980]  教會和政治確實是大有關連
[00:01:59.980 --> 00:02:01.100]  初期的教會
[00:02:01.100 --> 00:02:04.740]  受到當時羅馬政府的迫害而四散
[00:02:04.740 --> 00:02:07.980]  不少信徒離開自己的家鄉
[00:02:07.980 --> 00:02:12.420]  亦都同時將福音帶到他們所到之處
[00:02:12.420 --> 00:02:15.140]  可以說是政治的原因
[00:02:15.140 --> 00:02:18.740]  促使了福音的傳播
[00:02:18.740 --> 00:02:21.340]  後來羅馬皇帝信了福音
[00:02:21.340 --> 00:02:24.340]  將基督信仰定為國教
[00:02:24.340 --> 00:02:26.500]  從此教運興隆
[00:02:26.500 --> 00:02:28.100]  出入帳上
[00:02:28.100 --> 00:02:29.500]  廢黃勒黃
[00:02:29.500 --> 00:02:31.340]  舉足輕重
[00:02:31.340 --> 00:02:36.020]  這個明顯亦都是政治
[00:02:36.020 --> 00:02:37.180]  到了中世紀
[00:02:37.180 --> 00:02:38.460]  政教的勾結
