
[00:00:00.000 --> 00:00:05.120]  我要跟各位分享的是基督徒應該有的
[00:00:05.120 --> 00:00:07.320]  這是一個蠻大的題目
[00:00:07.320 --> 00:00:11.040]  當個月我講基督徒應該有的純心
[00:00:11.040 --> 00:00:14.440]  譬如說純心謙卑順服
[00:00:14.440 --> 00:00:20.760]  今天我要跟各位講基督徒應走的天路歷程
[00:00:20.760 --> 00:00:23.120]  就是在你的基督徒的生命裡面
[00:00:23.120 --> 00:00:25.480]  你應該怎麼樣走
[00:00:25.480 --> 00:00:28.000]  我有的時候很羨慕保羅
[00:00:28.000 --> 00:00:31.880]  因為他說我現在被交定
[00:00:31.880 --> 00:00:34.200]  我離世的時候到了
[00:00:34.200 --> 00:00:37.080]  那美好的帳我已經打過了
[00:00:37.080 --> 00:00:40.040]  那當跑的路我已經跑盡了
[00:00:40.040 --> 00:00:42.960]  所信的道我已經守盡了
[00:00:42.960 --> 00:00:47.960]  哈雷諾亞從此以後有公義的冠冕為我存留
[00:00:47.960 --> 00:00:49.320]  太棒了
[00:00:49.320 --> 00:00:51.520]  我多麼希望我也能夠
[00:00:51.520 --> 00:00:54.160]  那你的最後一刻的時候我也說
[00:00:54.160 --> 00:01:00.320]  神啊謝謝你帶領我走基督徒的天路歷程
[00:01:00.320 --> 00:01:02.640]  到底什麼叫基督徒
[00:01:02.640 --> 00:01:06.760]  是不是覺知信主了就是基督徒呢
[00:01:06.760 --> 00:01:09.080]  你們說算不算
[00:01:09.080 --> 00:01:10.400]  算了當然就算了
[00:01:10.400 --> 00:01:12.720]  受洗了也算基督徒了
[00:01:12.720 --> 00:01:17.720]  或者是心意更新而變化了才算基督徒呢
[00:01:17.720 --> 00:01:21.680]  或者是行為夠好了才算基督徒呢
[00:01:21.680 --> 00:01:24.600]  按照偉士大詞典講
[00:01:24.600 --> 00:01:29.200]  信奉耶穌基督信奉基督教義的人
[00:01:29.200 --> 00:01:31.600]  都稱作是基督徒
[00:01:31.600 --> 00:01:35.520]  基督徒在聖經裡面出現過三次
