
[00:00:00.000 --> 00:00:06.000]  請我們打開《路加福音》第十五章
[00:00:06.000 --> 00:00:12.000]  我們今天是看《浪子比喻》的下半段經文
[00:00:12.000 --> 00:00:17.000]  就是第十五章的二十五節
[00:00:17.000 --> 00:00:21.000]  到三十二節
[00:00:21.000 --> 00:00:26.000]  二十五節到三十二節
[00:00:26.000 --> 00:00:30.000]  如果你們找到請聽我讀出來
[00:00:30.000 --> 00:00:34.000]  那時大兒子正在田裡
[00:00:34.000 --> 00:00:41.000]  他回來離家不遠聽見作樂跳舞的聲音
[00:00:41.000 --> 00:00:45.000]  便叫一個僕人來問他是什麼事
[00:00:45.000 --> 00:00:47.000]  僕人說你兄弟來了
[00:00:47.000 --> 00:00:52.000]  你父親因為得他無災無病的回來
[00:00:52.000 --> 00:00:54.000]  把肥牛毒宰了
[00:00:54.000 --> 00:00:58.000]  大兒子卻生氣不肯進去
[00:00:58.000 --> 00:01:01.000]  他父親便出來勸他
[00:01:01.000 --> 00:01:04.000]  他對父親說我服侍你這麼多年
[00:01:04.000 --> 00:01:07.000]  從來沒有違背過你的命
[00:01:07.000 --> 00:01:11.000]  你並沒有給我一隻山羊羔
[00:01:11.000 --> 00:01:14.000]  叫我和朋友一同快樂
[00:01:14.000 --> 00:01:20.000]  但你這個兒子和娼妓吞盡了你的產業
[00:01:20.000 --> 00:01:25.000]  他日來了你都為他宰了肥牛毒
[00:01:25.000 --> 00:01:26.000]  父親對他說
[00:01:26.000 --> 00:01:30.000]  現在你常和我同在
[00:01:30.000 --> 00:01:33.000]  我一切所有的都是你的
[00:01:33.000 --> 00:01:38.000]  只是你這個兄弟是死而復活
[00:01:38.000 --> 00:01:40.000]  失而又得的
[00:01:40.000 --> 00:01:45.000]  所以我們理當歡喜快樂
[00:01:45.000 --> 00:01:51.000]  我們經常叫路加福音十五章
[00:01:51.000 --> 00:01:55.000]  由第一到十一到三十二節
[00:01:55.000 --> 00:02:00.000]  稱這段經文為浪子比喻
[00:02:00.000 --> 00:02:02.000]  我們知道浪子的意思
[00:02:02.000 --> 00:02:05.000]  就像那個小兒子一樣
[00:02:05.000 --> 00:02:10.000]  拿了家產離開了父親離開了家庭
[00:02:10.000 --> 00:02:16.000]  去到外面漂泊揮霍直到窮途末路
[00:02:16.000 --> 00:02:18.000]  然後回頭
[00:02:18.000 --> 00:02:23.000]  這個就是十一到二十四節所描寫的
[00:02:23.000 --> 00:02:25.000]  現在的問題就是
[00:02:25.000 --> 00:02:28.000]  由第二十五到三十二節
[00:02:28.000 --> 00:02:31.000]  是完全記載另外一些的人
[00:02:31.000 --> 00:02:33.000]  另外一些的事
[00:02:33.000 --> 00:02:35.000]  到底這一段
[00:02:35.000 --> 00:02:39.000]  屬不屬於浪子比喻的一部分呢?
[00:02:39.000 --> 00:02:41.000]  如果是的話
[00:02:41.000 --> 00:02:46.000]  到底這個大兒子的身份又是怎樣的呢?
[00:02:46.000 --> 00:02:51.000]  這一段是屬於浪子比喻的一部分
[00:02:51.000 --> 00:02:54.000]  我相信是沒有人會懷疑的
[00:02:54.000 --> 00:02:57.000]  現在問題只是這個大兒子
[00:02:57.000 --> 00:03:00.000]  到底他是一個怎樣的人呢?
[00:03:00.000 --> 00:03:05.000]  我們在上一次曾經解釋過
[00:03:05.000 --> 00:03:10.000]  我們說耶穌為著回答那些批評他
[00:03:10.000 --> 00:03:12.000]  很收納那麼多一些
[00:03:12.000 --> 00:03:16.000]  罪人、稅吏和妓女
[00:03:16.000 --> 00:03:18.000]  這些社會的渣子的人
[00:03:18.000 --> 00:03:21.000]  批評他很向這些人傳福音
[00:03:21.000 --> 00:03:25.000]  耶穌就有三類的比喻
[00:03:25.000 --> 00:03:29.000]  是特別為著回答這些人來說的
[00:03:29.000 --> 00:03:31.000]  第一類
[00:03:31.000 --> 00:03:36.000]  就是說他之所以要向這些罪人、妓女和稅吏傳福音
[00:03:36.000 --> 00:03:38.000]  因為他們就好像有病的人
[00:03:38.000 --> 00:03:41.000]  有病的人是需要福音的
[00:03:41.000 --> 00:03:45.000]  這個就是第一類的比喻
[00:03:45.000 --> 00:03:50.000]  就好像在《馬學福音》第二章第七節所說的那些
[00:03:50.000 --> 00:03:52.000]  第二呢
[00:03:52.000 --> 00:03:56.000]  就是說不單止這些是有病的人
[00:03:56.000 --> 00:04:01.000]  連那些批評他的、自以為好人的
[00:04:01.000 --> 00:04:05.000]  這些猶太教的領袖和信徒
[00:04:05.000 --> 00:04:09.000]  連他們都需要神的恩典
[00:04:09.000 --> 00:04:11.000]  這一類的比喻
