
[00:00:00.000 --> 00:00:03.040]  今天早上的訊息
[00:00:03.040 --> 00:00:06.260]  非常清楚
[00:00:06.260 --> 00:00:08.680]  不過有少少領袖
[00:00:08.680 --> 00:00:10.740]  我發現可以補充一下
[00:00:10.740 --> 00:00:15.380]  那個跑圈
[00:00:15.380 --> 00:00:17.820]  運動場裏面的跑圈
[00:00:17.820 --> 00:00:21.800]  某程度上都是圓形的
[00:00:21.800 --> 00:00:25.660]  好像單車的齒輪
[00:00:25.660 --> 00:00:29.900]  都是圓形的
[00:00:30.960 --> 00:00:35.420]  兩個都是告訴你往前推進
[00:00:35.420 --> 00:00:39.260]  無論你不停在這個圓形跑
[00:00:39.260 --> 00:00:41.980]  或者這個圓形不停轉動
[00:00:41.980 --> 00:00:43.780]  推動你往前跑
[00:00:43.780 --> 00:00:47.740]  你都要奔底你的目的地
[00:00:47.740 --> 00:00:49.740]  不過有少少
[00:00:49.740 --> 00:00:55.440]  因為看到的東西有時會阻礙我們的思維
[00:00:55.760 --> 00:01:02.040]  例如ANIFA看到的是跑接力賽
[00:01:02.040 --> 00:01:03.840]  最後一棒
[00:01:03.840 --> 00:01:06.760]  你就馬上想我跑了
[00:01:06.760 --> 00:01:08.180]  我跑第一棒
[00:01:08.180 --> 00:01:11.640]  所以我現在滿頭大汗
[00:01:11.640 --> 00:01:14.180]  站在旁邊幹什麼
[00:01:14.180 --> 00:01:15.660]  看而已
[00:01:15.660 --> 00:01:18.660]  所以等最後一棒那個跑
[00:01:18.660 --> 00:01:21.260]  那你又可能說
[00:01:22.580 --> 00:01:26.760]  四乘四 即是選四個而已
[00:01:26.760 --> 00:01:29.820]  感謝主 我永遠都是排第五的
[00:01:29.820 --> 00:01:33.060]  真的會浪費我們
[00:01:33.060 --> 00:01:35.260]  因為我們裏面有個機制
[00:01:35.260 --> 00:01:37.860]  當我們聽到主給我們一些訊息
[00:01:37.860 --> 00:01:41.160]  我們會自動在我們裏面
[00:01:41.160 --> 00:01:44.580]  用一些我們的想法解釋它
[00:01:44.580 --> 00:01:48.580]  訊息就可以說不關你的事
[00:01:48.580 --> 00:01:49.900]  你明白嗎
[00:01:50.780 --> 00:01:54.860]  我覺得ANIFA領袖那個
[00:01:54.860 --> 00:01:57.240]  沒錯 我們是接力賽
[00:01:57.240 --> 00:01:59.780]  是一棒接一棒
[00:01:59.780 --> 00:02:01.300]  這是在說什麼
[00:02:01.300 --> 00:02:05.300]  薪火要相傳
[00:02:05.300 --> 00:02:09.100]  這場仗才可以打到終點
[00:02:09.100 --> 00:02:12.340]  這個跑才可以跑到什麼
[00:02:12.340 --> 00:02:14.340]  拿到獎牌為止
[00:02:14.340 --> 00:02:15.100]  行不行
[00:02:15.100 --> 00:02:18.700]  所以無論你多老
[00:02:18.700 --> 00:02:20.300]  無論你多亂
[00:02:20.600 --> 00:02:21.900]  包括寶寶
[00:02:21.900 --> 00:02:23.900]  寶寶 你有份的
[00:02:23.900 --> 00:02:28.900]  都要進入這個賽場
