
[00:00:00.000 --> 00:00:01.520]  各位體驗者們平安
[00:00:01.520 --> 00:00:03.880]  我們會開始一個新的系列
[00:00:03.880 --> 00:00:08.660]  就是用十講來介紹耶穌的生平
[00:00:08.660 --> 00:00:10.560]  和祂的教訓
[00:00:10.560 --> 00:00:12.720]  所有的材料都是
[00:00:12.720 --> 00:00:17.000]  選擇新約聖經的四卷複音書
[00:00:17.000 --> 00:00:19.340]  大家都知道四複音
[00:00:19.340 --> 00:00:23.000]  是聖經當中非常重要的書卷
[00:00:23.000 --> 00:00:25.840]  因爲聖經的主角耶穌
[00:00:25.840 --> 00:00:28.220]  就是由於四個門徒
[00:00:28.220 --> 00:00:30.420]  透過他們不同的角度
[00:00:30.420 --> 00:00:32.800]  將耶穌介紹出來
[00:00:32.800 --> 00:00:34.680]  講述耶穌的一生
[00:00:34.680 --> 00:00:36.720]  講述耶穌行的事蹟
[00:00:36.720 --> 00:00:40.280]  講述耶穌很多流下來的教訓
[00:00:40.280 --> 00:00:43.440]  所以我們讀四複音
[00:00:43.440 --> 00:00:45.420]  是很精彩的
[00:00:45.420 --> 00:00:46.880]  是很深入
[00:00:46.880 --> 00:00:49.200]  是很感動我們的
[00:00:49.200 --> 00:00:52.200]  四卷複音已經佔了
[00:00:52.200 --> 00:00:58.000]  新約或者是整本聖經的46%
[00:00:58.000 --> 00:01:00.560]  如果加上使徒行轉
[00:01:00.560 --> 00:01:02.000]  有人統計過
[00:01:02.000 --> 00:01:06.240]  是佔了聖經的60%
[00:01:06.240 --> 00:01:07.920]  然後剩下來
[00:01:07.920 --> 00:01:10.640]  就是使徒所寫的書信
[00:01:10.640 --> 00:01:12.440]  當然最重要的
[00:01:12.440 --> 00:01:15.840]  就是保留了十三封的書信
[00:01:15.840 --> 00:01:19.240]  所以我很想先和大家介紹
[00:01:19.240 --> 00:01:21.840]  這四卷複音書
[00:01:21.840 --> 00:01:26.200]  《馬太·馬可·路加·約翰》
[00:01:26.200 --> 00:01:28.760]  那頭三卷複音書
[00:01:28.760 --> 00:01:31.640]  又叫《對觀複音》
[00:01:31.640 --> 00:01:34.520]  Synoptic Gospels
[00:01:34.520 --> 00:01:36.480]  Synoptic Gospels就說
[00:01:36.480 --> 00:01:38.600]  它們是很相似的
[00:01:38.600 --> 00:01:41.360]  因爲都是按照耶穌的生平
[00:01:41.360 --> 00:01:44.160]  來講述耶穌的一生
[00:01:44.160 --> 00:01:47.560]  所以中文就叫做《對觀複音》
[00:01:47.560 --> 00:01:49.200]  咦 馬太有記載
[00:01:49.200 --> 00:01:50.920]  那可能馬可都有記載
[00:01:50.920 --> 00:01:52.720]  路加又有記載
[00:01:52.720 --> 00:01:56.720]  所以容易讓我們一起綜合
[00:01:56.720 --> 00:01:59.560]  去看耶穌的一生
[00:01:59.560 --> 00:02:04.680]  唯獨約翰複音是臨時不同的
[00:02:04.680 --> 00:02:06.280]  因爲它的角度
[00:02:06.280 --> 00:02:09.880]  它描述的方法都是不一樣
[00:02:09.880 --> 00:02:11.840]  首先我介紹一下
[00:02:11.840 --> 00:02:14.040]  《馬太複音》的作者
[00:02:14.040 --> 00:02:16.640]  就是這位馬太
[00:02:16.640 --> 00:02:18.920]  他是一位瑞利
[00:02:18.920 --> 00:02:21.120]  所以他是猶太人
[00:02:21.120 --> 00:02:24.080]  很熟悉猶太人的律法
[00:02:24.080 --> 00:02:28.080]  所以他寫這本複音書的對象
[00:02:28.080 --> 00:02:31.640]  是寫給猶太人看的
[00:02:31.640 --> 00:02:33.920]  所以當你讀《馬太複音》的時候
[00:02:33.920 --> 00:02:35.960]  你會發覺他講很多
[00:02:35.960 --> 00:02:38.400]  那些舊約的引用
[00:02:38.400 --> 00:02:41.800]  講很多猶太人的風俗習慣
[00:02:41.800 --> 00:02:45.280]  他們的祭禮等等
[00:02:45.280 --> 00:02:47.400]  因爲他是刻意
[00:02:47.400 --> 00:02:52.000]  將耶穌介紹給猶太人
[00:02:52.000 --> 00:02:57.440]  有四個動物是象徵耶穌的
[00:02:57.440 --> 00:03:00.520]  《馬太複音》所用的動物
[00:03:00.520 --> 00:03:02.360]  就是牛
[00:03:02.360 --> 00:03:04.240]  不是 是獅子
[00:03:04.240 --> 00:03:06.040]  因爲它是黃
[00:03:06.040 --> 00:03:08.560]  代表耶穌是黃
[00:03:08.560 --> 00:03:10.800]  所以《馬太複音》所用的
[00:03:10.800 --> 00:03:12.560]  就是獅子
[00:03:12.560 --> 00:03:14.760]  他要你作王
[00:03:14.760 --> 00:03:17.200]  因爲他是尼塞亞
[00:03:17.200 --> 00:03:20.160]  那位要你的君王
[00:03:20.160 --> 00:03:23.440]  第二卷複音書就是《馬可複音》
[00:03:23.440 --> 00:03:27.840]  那《馬可》也是耶穌的門徒
[00:03:27.840 --> 00:03:32.280]  那祂的媽媽又叫做馬尼亞
[00:03:32.280 --> 00:03:34.680]  在耶路撒冷有一座樓
[00:03:34.680 --> 00:03:37.920]  通常我們就叫它做《馬可樓》
[00:03:37.920 --> 00:03:39.440]  所以大家會發覺
[00:03:39.440 --> 00:03:41.960]  耶穌守最後晚餐的時候
[00:03:41.960 --> 00:03:44.200]  在《馬可樓》上面
[00:03:44.200 --> 00:03:48.560]  當使徒行轉 五秦節聖靈降臨的時候
[00:03:48.560 --> 00:03:51.120]  是有120個弟兄姊妹
[00:03:51.120 --> 00:03:54.840]  在《馬可樓》上面同心祈禱
[00:03:54.840 --> 00:03:57.440]  所以聖靈就充滿他們
[00:03:57.440 --> 00:03:59.760]  降臨在他們的頭上
[00:03:59.760 --> 00:04:02.040]  所以這個就是《馬可樓》
[00:04:02.040 --> 00:04:05.440]  《馬可複音》是四卷複音書裏面最短的
