
[00:00:00.000 --> 00:00:05.920]  我們今天這個課題是信靠信實的主
[00:00:05.920 --> 00:00:07.280]  我想都是很重要
[00:00:07.280 --> 00:00:09.600]  雖然我們大家都同意
[00:00:09.600 --> 00:00:11.520]  但是在我們的生活裡面
[00:00:11.520 --> 00:00:13.560]  這是我們一同學習的
[00:00:13.560 --> 00:00:15.840]  我們首先有個禱告
[00:00:15.840 --> 00:00:19.640]  天父多謝你給我們一同學習你的話語
[00:00:19.640 --> 00:00:21.600]  求聖靈去幫助我們
[00:00:21.600 --> 00:00:22.760]  開啟我們的心
[00:00:22.760 --> 00:00:24.800]  引導我們明白真理
[00:00:24.800 --> 00:00:26.360]  並且遵行真理
[00:00:26.360 --> 00:00:27.240]  我們這樣祈禱
[00:00:27.240 --> 00:00:28.880]  奉主耶穌基督的名
[00:00:28.880 --> 00:00:30.800]  「阿門」
[00:00:30.800 --> 00:00:34.120]  信徒的生命其實有很多挑戰
[00:00:34.120 --> 00:00:36.040]  例如我們有使命
[00:00:36.040 --> 00:00:38.040]  神主叫我們要傳福音
[00:00:38.040 --> 00:00:39.400]  但是也不容易的
[00:00:39.400 --> 00:00:41.040]  叫我們要有好的行為
[00:00:41.040 --> 00:00:44.360]  其實也經歷過很多的掙扎
[00:00:44.360 --> 00:00:48.720]  我記得我以前在美國一個機構服事的時候
[00:00:48.720 --> 00:00:51.760]  經歷過一件事情也不容易的
[00:00:51.760 --> 00:00:54.000]  就是當時在這個機構裡面
[00:00:54.000 --> 00:00:59.000]  有些領袖不同的看法不同的理念
[00:00:59.000 --> 00:01:06.480]  當然我做的角色也是很卑微的一個員工
[00:01:06.480 --> 00:01:08.000]  一個童工
[00:01:08.000 --> 00:01:10.760]  但是看到那個張力越來越大了
[00:01:10.760 --> 00:01:14.640]  後來慢慢知道原來有個理念很分歧
[00:01:14.640 --> 00:01:17.520]  結果大家都各持己見
[00:01:17.520 --> 00:01:19.200]  有兩個的理念
[00:01:19.200 --> 00:01:23.040]  結果就是大家都很堅持
[00:01:23.040 --> 00:01:25.720]  越來越在情緒方面
[00:01:25.720 --> 00:01:29.600]  敵視的態度越來越強
[00:01:29.600 --> 00:01:35.120]  這個時候有一位在機構裡面很資深的女童工
[00:01:35.120 --> 00:01:39.040]  她也在教會裡面教主學
[00:01:39.040 --> 00:01:41.080]  也是一個熟練的長輩
[00:01:41.080 --> 00:01:45.080]  她嘗試在當中做調和的工作
[00:01:45.080 --> 00:01:47.920]  但是很可惜也沒有什麼果效
[00:01:47.920 --> 00:01:50.960]  結果張力越來越大
[00:01:50.960 --> 00:01:55.080]  整批的童工就離開了這個機構
[00:01:55.080 --> 00:01:57.640]  建立了一個新的機構
[00:01:57.640 --> 00:02:02.880]  當然這件事情的震動是大傷元氣
[00:02:02.880 --> 00:02:09.760]  這位資深的童工有次跟我們表達一種很感慨
[00:02:09.760 --> 00:02:13.320]  就是說很疲乏
[00:02:13.320 --> 00:02:20.720]  她說有人希望在我身上得到一些支持鼓勵
[00:02:20.720 --> 00:02:23.560]  但是其實我也需要人支持鼓勵
[00:02:23.560 --> 00:02:25.800]  我也很疲倦
[00:02:25.800 --> 00:02:30.120]  她說福音的大能去了哪裡呢?
[00:02:30.120 --> 00:02:31.840]  就是福音能夠改變人的生命
[00:02:31.840 --> 00:02:38.160]  但是似乎好像在這件事情上很令她很失望
[00:02:38.160 --> 00:02:40.840]  這件事情影響很大
[00:02:40.840 --> 00:02:45.120]  後來當然這兩個機構慢慢友好
[00:02:45.120 --> 00:02:48.840]  有些場合都可以互相交往
[00:02:48.840 --> 00:02:53.240]  但是當中的確有很多地方要學習
[00:02:53.240 --> 00:02:57.040]  你就會看到無論你的靈情去到哪裡
[00:02:57.040 --> 00:03:00.080]  或者你在做什麼崗位
[00:03:00.080 --> 00:03:04.080]  所謂的基督徒都是一個掙扎
[00:03:04.080 --> 00:03:07.000]  我們的依靠在哪裡呢?
[00:03:07.000 --> 00:03:09.040]  當然我們是神
[00:03:09.040 --> 00:03:13.920]  但是當我們遇到這些問題出現的時候
[00:03:13.920 --> 00:03:16.240]  是不是真的認定神是我們的主
[00:03:16.240 --> 00:03:18.120]  是我們所信靠的呢?
[00:03:18.120 --> 00:03:20.200]  這個很重要
[00:03:20.200 --> 00:03:22.720]  在這段經文裏面我們會看到
[00:03:22.720 --> 00:03:25.640]  保羅都面對很多的挑戰
[00:03:25.640 --> 00:03:28.680]  他傳福音都有很多的攻擊
[00:03:28.680 --> 00:03:32.320]  帖塞羅尼迦的信徒也面對很多的問題
[00:03:32.320 --> 00:03:34.560]  有假教師的搞擾
[00:03:34.560 --> 00:03:37.160]  也有一些人不守規矩
[00:03:37.160 --> 00:03:39.000]  如果你再看下去的時候
[00:03:39.000 --> 00:03:51.200]  他們對於主宰來的真理都有點模糊
[00:03:51.200 --> 00:03:53.320]  很多這些問題的時候
[00:03:53.320 --> 00:03:56.320]  保羅仍然很積極的面對
[00:03:56.320 --> 00:04:00.120]  並且很有信心的去勸勉這些信徒
[00:04:00.120 --> 00:04:03.440]  這些信徒不是好像說沒事了
[00:04:03.440 --> 00:04:04.440]  粉飾太平
[00:04:04.440 --> 00:04:05.520]  不是的
[00:04:05.520 --> 00:04:07.480]  在問題裏面的張力的時候
[00:04:07.480 --> 00:04:11.080]  怎樣去依靠主去渡過
[00:04:11.080 --> 00:04:13.760]  或者我們看一下這段經文
[00:04:13.760 --> 00:04:17.880]  我們首先看一下前文說到
[00:04:17.880 --> 00:04:21.920]  保羅提到將主宰來的真理一支的澄清
[00:04:21.920 --> 00:04:26.200]  希望他們不要走歪了信仰裏面
[00:04:26.200 --> 00:04:29.120]  然後開始來到這一步
[00:04:29.120 --> 00:04:30.560]  他說沒了
[00:04:30.560 --> 00:04:31.960]  就是最後的階段
[00:04:31.960 --> 00:04:33.800]  都是有些要勸勉的話
