
[00:00:00.000 --> 00:00:02.000]  好,大兄姊妹平安
[00:00:02.000 --> 00:00:08.000]  多謝主,可以讓我們今天來做一次敬拜
[00:00:08.000 --> 00:00:12.000]  上個禮拜是我們第一次的錄播
[00:00:12.000 --> 00:00:14.000]  一起崇拜
[00:00:14.000 --> 00:00:16.000]  如果你心水清
[00:00:16.000 --> 00:00:18.000]  你知不知道上個禮拜
[00:00:18.000 --> 00:00:20.000]  2月16日是一個甚麼日子呢?
[00:00:20.000 --> 00:00:26.000]  沒錯啦!
[00:00:26.000 --> 00:00:29.000]  就是我們50週年的堂慶來的
[00:00:29.000 --> 00:00:33.000]  本來我們是在金鐘的明都酒樓舉行
[00:00:33.000 --> 00:00:35.000]  但神真的很奇妙
[00:00:35.000 --> 00:00:45.000]  雖然我們在武漢肺炎這麼嚴峻的情況下
[00:00:45.000 --> 00:00:50.000]  我們仍然可以透過這個錄播去敬拜
[00:00:50.000 --> 00:00:55.000]  神送了一份很特別的禮物給我們做紀念
[00:00:55.000 --> 00:01:01.000]  在稍縱來說,過去50年或更長的時間
[00:01:01.000 --> 00:01:03.000]  我們都沒有試過
[00:01:03.000 --> 00:01:06.000]  我們感謝我們的主
[00:01:06.000 --> 00:01:08.000]  原來能夠一起敬拜
[00:01:08.000 --> 00:01:10.000]  真是非常之好
[00:01:10.000 --> 00:01:14.000]  在過去的日子裡
[00:01:14.000 --> 00:01:15.000]  我都明白到
[00:01:15.000 --> 00:01:17.000]  其實我們每一個香港人
[00:01:17.000 --> 00:01:20.000]  受武漢肺炎的影響
[00:01:20.000 --> 00:01:22.000]  是影響著我們日常的生活
[00:01:22.000 --> 00:01:23.000]  很多事情都是第一次
[00:01:23.000 --> 00:01:28.000]  我們在教會裡面這樣去轉播
[00:01:28.000 --> 00:01:29.000]  我們第一次
[00:01:29.000 --> 00:01:33.000]  我們同工,我們教會的同工
[00:01:33.000 --> 00:01:35.000]  我做了這麼多年
[00:01:35.000 --> 00:01:40.000]  沒有試過可以輪流去home office
[00:01:40.000 --> 00:01:43.000]  我覺得都是一個很大的恩典
[00:01:43.000 --> 00:01:46.000]  或者我們的學生
[00:01:46.000 --> 00:01:49.000]  放了很長的假期
[00:01:49.000 --> 00:01:52.000]  縱然可能開始很悶
[00:01:52.000 --> 00:01:54.000]  但都是一個恩典
[00:01:54.000 --> 00:01:56.000]  神給我們在當中
[00:01:56.000 --> 00:01:59.000]  我們看見祂自己的恩典
[00:01:59.000 --> 00:02:02.000]  我們也在這段時間裡
[00:02:02.000 --> 00:02:06.000]  我們不停地收到武漢肺炎的消息
