
[00:00:00.000 --> 00:00:02.800]  為甚麼呢? 因為我們未分享聖經之前
[00:00:02.800 --> 00:00:07.400]  今天我們邀請了一個大人物來我們當中
[00:00:07.400 --> 00:00:13.600]  這個大人物他是選美冠軍
[00:00:13.600 --> 00:00:17.200]  嘩 到處看看誰是選美冠軍
[00:00:17.200 --> 00:00:19.000]  很多人都做到選美冠軍
[00:00:19.000 --> 00:00:23.200]  他是在香港1975年
[00:00:23.200 --> 00:00:26.600]  一個香港的選美冠軍
[00:00:26.600 --> 00:00:30.400]  但是同樣他小時候是街童
[00:00:30.400 --> 00:00:33.400]  流浪街邊兩年
[00:00:33.400 --> 00:00:35.200]  他是一個孤兒
[00:00:35.200 --> 00:00:37.200]  但是他在人生裏面
[00:00:37.200 --> 00:00:40.400]  他經歷了很多的轉變
[00:00:40.400 --> 00:00:42.400]  他回望他一生的時候
[00:00:42.400 --> 00:00:45.400]  他覺得這一生是充滿著恩典
[00:00:45.400 --> 00:00:47.600]  充滿著很豐盛的人生
[00:00:47.600 --> 00:00:49.200]  那麼這個人是誰呢?
[00:00:49.200 --> 00:00:53.000]  我們看看影片 好嗎?
[00:00:53.000 --> 00:00:56.800]  是不是很感動? 弟兄姊妹
[00:00:56.800 --> 00:00:58.800]  我看了第三次 我都覺得很感動
[00:00:58.800 --> 00:00:59.800]  他的經歷
[00:00:59.800 --> 00:01:04.800]  有一首詩歌我覺得是很回應到他剛才的經歷
[00:01:04.800 --> 00:01:08.800]  張瑪麗說:你相不相信上帝安排的奇蹟呢?
[00:01:08.800 --> 00:01:10.800]  他的一生裏面見證著
[00:01:10.800 --> 00:01:13.800]  神如何帶著我們去祈禱
[00:01:13.800 --> 00:01:15.800]  我們如何去祈禱
[00:01:15.800 --> 00:01:17.800]  我們如何去祈禱
[00:01:17.800 --> 00:01:19.800]  我們怎樣去祈禱
[00:01:19.800 --> 00:01:24.200]  他的一生裏面見證著神怎樣帶著他走他的人生
[00:01:24.200 --> 00:01:25.800]  充滿著恩典
[00:01:25.800 --> 00:01:29.800]  你相信上帝安排的奇蹟嗎?
[00:01:29.800 --> 00:01:37.800]  張瑪麗她的一生很傳奇
[00:01:37.800 --> 00:01:40.800]  她自小流浪了兩年街頭
[00:01:40.800 --> 00:01:42.800]  沒有了爸爸媽媽
[00:01:42.800 --> 00:01:45.800]  她要去孤兒院度過去
[00:01:45.800 --> 00:01:49.800]  兒童和少年的時間十幾年
[00:01:49.800 --> 00:01:52.800]  但很有趣
[00:01:52.800 --> 00:01:56.800]  神又讓她在這些日子裏面不難度過
[00:01:56.800 --> 00:02:03.800]  她的人生裏面又經歷了很多選美、冠軍
[00:02:03.800 --> 00:02:05.800]  出來這個世界工作
[00:02:05.800 --> 00:02:09.800]  亦都認識到她一生的摯愛
[00:02:09.800 --> 00:02:13.800]  嫁了進去做一個幸福的少奶奶
[00:02:13.800 --> 00:02:15.800]  有兒子有女兒
[00:02:15.800 --> 00:02:19.800]  還可以實現很多年她做不到的理想
[00:02:19.800 --> 00:02:23.800]  所以對於她來說人生裏面好像很精彩
[00:02:23.800 --> 00:02:25.800]  很無憾
[00:02:25.800 --> 00:02:30.800]  你相不相信上帝在你生命裏面的奇蹟呢?
[00:02:30.800 --> 00:02:36.800]  可能你會說我哪有張瑪麗這麼幸運
[00:02:36.800 --> 00:02:38.800]  如果我的生命有奇蹟
[00:02:38.800 --> 00:02:41.800]  我就不會像現在這樣
[00:02:42.800 --> 00:02:44.800]  可能我們每一個人
[00:02:44.800 --> 00:02:46.800]  在自己生活裏面
[00:02:46.800 --> 00:02:49.800]  我們都在等待一些東西改變
[00:02:49.800 --> 00:02:51.800]  可能在你生命裏面
[00:02:51.800 --> 00:02:54.800]  你都很想有些奇蹟
[00:02:54.800 --> 00:02:56.800]  淋在你自己
