
[00:00:00.000 --> 00:00:04.600]  我很喜歡今次我們講道的系列
[00:00:04.600 --> 00:00:08.000]  就是「讓神開心的人」
[00:00:08.000 --> 00:00:10.200]  究竟我們是什麼人呢?
[00:00:10.200 --> 00:00:13.000]  我們是什麼一群讓神開心的人呢?
[00:00:13.000 --> 00:00:15.100]  就是神所喜悅的人呢?
[00:00:15.100 --> 00:00:18.200]  還是我們是一群
[00:00:18.200 --> 00:00:20.200]  神覺得我們很煩
[00:00:20.200 --> 00:00:22.000]  很厭煩的人呢?
[00:00:22.000 --> 00:00:24.000]  你生命當中有沒有一些人
[00:00:24.000 --> 00:00:26.700]  你一見到他就很開心的?有沒有?
[00:00:26.700 --> 00:00:28.600]  當然有的,是吧?
[00:00:28.600 --> 00:00:30.800]  希望那個是你太太
[00:00:30.800 --> 00:00:32.800]  是你的丈夫
[00:00:32.800 --> 00:00:34.000]  你的子女
[00:00:34.000 --> 00:00:36.200]  有些人你見到他
[00:00:36.200 --> 00:00:37.400]  他又來了
[00:00:37.400 --> 00:00:39.400]  你快點掉頭走
[00:00:39.400 --> 00:00:41.600]  我們希望我們在神面前
[00:00:41.600 --> 00:00:43.000]  不是那些人
[00:00:43.000 --> 00:00:45.000]  神不會厭煩我們
[00:00:45.000 --> 00:00:49.000]  我們希望我們成為神所愛的人
[00:00:49.000 --> 00:00:50.000]  在聖誕節裏面
[00:00:50.000 --> 00:00:53.600]  我們時常聽到一句話
[00:00:53.600 --> 00:00:55.200]  Peace on Earth
[00:00:55.200 --> 00:00:58.200]  就是地上是怎樣液化
[00:00:58.200 --> 00:01:00.400]  平安在地上
[00:01:00.400 --> 00:01:01.400]  每次我開車
[00:01:01.400 --> 00:01:04.200]  我在South Osage
[00:01:04.200 --> 00:01:06.000]  開17上來的時候
[00:01:06.000 --> 00:01:07.200]  在大廈上面寫著
[00:01:07.200 --> 00:01:08.200]  Peace on Earth
[00:01:08.200 --> 00:01:11.200]  我想那個是一個保險公司
[00:01:11.200 --> 00:01:13.200]  最主要就是平安
[00:01:13.200 --> 00:01:14.000]  看到那個字
[00:01:14.000 --> 00:01:15.800]  每年都是這樣
[00:01:15.800 --> 00:01:18.000]  不過就漏了一些東西
[00:01:18.000 --> 00:01:19.800]  就是在至高之處
[00:01:19.800 --> 00:01:21.400]  路加福音第二章說
[00:01:21.400 --> 00:01:22.600]  「榮耀歸於神
[00:01:22.600 --> 00:01:24.400]  在地上平安
[00:01:24.400 --> 00:01:26.600]  歸於他所喜悅的人」
[00:01:26.600 --> 00:01:28.200]  平安是給誰呢?
[00:01:28.200 --> 00:01:31.400]  是給神所喜歡的人
[00:01:31.400 --> 00:01:34.400]  神所喜悅的人
[00:01:34.400 --> 00:01:35.200]  我們想一想
[00:01:35.200 --> 00:01:36.600]  在反面來說
[00:01:36.600 --> 00:01:40.800]  究竟我們是不是神所喜悅的人呢?
