
[00:00:00.000 --> 00:00:03.400]  各位電視節目平安,很感謝神的恩典
[00:00:03.400 --> 00:00:05.800]  又可以陪大家讀聖經
[00:00:05.800 --> 00:00:07.800]  很快就是聖誕節
[00:00:07.800 --> 00:00:10.400]  我不知道你想不想這個聖誕
[00:00:10.400 --> 00:00:13.300]  你被耶穌觸摸
[00:00:13.300 --> 00:00:16.100]  聖靈又要大大的觸摸你
[00:00:16.100 --> 00:00:18.100]  我很想為大家祈禱
[00:00:18.100 --> 00:00:20.100]  請大家同心祈禱
[00:00:20.100 --> 00:00:21.500]  親愛的天父
[00:00:21.500 --> 00:00:23.000]  我們呼求你
[00:00:23.000 --> 00:00:25.300]  讓我們在這個聖誕節
[00:00:25.300 --> 00:00:27.400]  我們遇見耶穌
[00:00:27.400 --> 00:00:30.300]  我們覺得今年的聖誕節是不一樣的
[00:00:30.300 --> 00:00:34.200]  而且你的聖靈要觸摸我們的心靈
[00:00:34.200 --> 00:00:36.700]  我們奉耶穌的名字祈禱
[00:00:36.700 --> 00:00:37.900]  對嗎?
[00:00:37.900 --> 00:00:40.700]  最近我就聽過一個見證
[00:00:40.700 --> 00:00:42.700]  有一個外國的牧師
[00:00:42.700 --> 00:00:44.400]  他在香港服侍
[00:00:44.400 --> 00:00:46.100]  已經很長的時間
[00:00:46.100 --> 00:00:50.300]  神就帶他早年的時候回到內地
[00:00:50.300 --> 00:00:53.300]  去跟一些教會做交流
[00:00:53.300 --> 00:00:55.900]  做教導聖經的工作
[00:00:55.900 --> 00:00:59.200]  有一次他就在國內一個城市
[00:00:59.200 --> 00:01:01.200]  在交聖經
[00:01:01.200 --> 00:01:03.000]  但是那一朝
[00:01:03.000 --> 00:01:05.000]  神就跟他說話
[00:01:05.000 --> 00:01:11.000]  他說:你今天去山東一個地方
[00:01:11.000 --> 00:01:13.200]  那個牧師覺得很奇怪
[00:01:13.200 --> 00:01:16.200]  為什麼無端端叫我去山東?
[00:01:16.200 --> 00:01:19.200]  但是他覺得神的說話很清楚
[00:01:19.200 --> 00:01:22.200]  於是他馬上交下他的工作
[00:01:22.200 --> 00:01:24.400]  給其他同工去接替
[00:01:24.400 --> 00:01:27.600]  然後自己就馬上坐車去機場
[00:01:27.600 --> 00:01:29.600]  那個神叫我去山東
[00:01:29.600 --> 00:01:32.000]  但是又沒有說哪個城市
[00:01:32.000 --> 00:01:34.600]  於是他在機場馬上查一下
[00:01:34.600 --> 00:01:37.400]  哪一班最快的飛機
[00:01:37.400 --> 00:01:40.800]  是飛去山東一些的城市
[00:01:40.800 --> 00:01:43.300]  於是他馬上就買了機票
