
[00:00:00.000 --> 00:00:02.520]  原來我們過去一年
[00:00:02.520 --> 00:00:07.400]  教會真的做了很多新的工作
[00:00:07.400 --> 00:00:10.640]  新的機會去面對新的群體
[00:00:10.640 --> 00:00:11.880]  新的對象
[00:00:11.880 --> 00:00:14.680]  我們看到原來一年裡
[00:00:14.680 --> 00:00:16.160]  我們去數一數
[00:00:16.160 --> 00:00:19.760]  原來上帝給我們有這麼多的祝福
[00:00:19.760 --> 00:00:20.840]  所以弟兄姊妹
[00:00:20.840 --> 00:00:24.000]  如果我們昨天都忘了回顧
[00:00:24.000 --> 00:00:24.960]  待會回家
[00:00:24.960 --> 00:00:25.960]  今天也試一試
[00:00:25.960 --> 00:00:27.120]  原來過去一年
[00:00:27.120 --> 00:00:29.640]  可能上帝在你的生命當中
[00:00:29.640 --> 00:00:31.840]  有很多很多很精彩的事
[00:00:31.840 --> 00:00:33.480]  發生在你的家
[00:00:33.480 --> 00:00:34.920]  發生在你的生命裡
[00:00:34.920 --> 00:00:41.360]  以致你能夠多謝我們的三一真神
[00:00:41.360 --> 00:00:42.200]  所以弟兄姊妹
[00:00:42.200 --> 00:00:42.800]  真是的
[00:00:42.800 --> 00:00:45.680]  每一天原來上帝都有很多的恩典給我們
[00:00:45.680 --> 00:00:46.640]  但另一方面
[00:00:46.640 --> 00:00:49.560]  我在網上看了一篇文章
[00:00:49.560 --> 00:00:50.960]  這篇文章是說到
[00:00:50.960 --> 00:01:01.880]  上帝給我們每一個人都是很公平的
[00:01:01.880 --> 00:01:03.240]  就是時間
[00:01:03.240 --> 00:01:06.080]  我們每一個人一天有多少個時間?
[00:01:06.080 --> 00:01:07.440]  24小時
[00:01:07.440 --> 00:01:10.360]  今天你是愛主不愛主
[00:01:10.360 --> 00:01:11.560]  是不是基督徒也好
[00:01:11.560 --> 00:01:15.480]  今天上帝給我們每一個人都是24小時
[00:01:15.480 --> 00:01:22.040]  他就說如果細微地看時間
[00:01:22.040 --> 00:01:28.880]  原來時間的單位有很多
[00:01:28.880 --> 00:01:36.920]  譬如有年、月、周、時、分、秒
[00:01:36.920 --> 00:01:42.680]  你會發覺原來時間有很多細微地分出來的單位
[00:01:42.680 --> 00:01:44.200]  所以我們今年是多少年?
[00:01:44.200 --> 00:01:46.560]  今年是2013年
[00:01:46.560 --> 00:01:48.160]  今天是多少月?
[00:01:48.160 --> 00:01:50.000]  2月多少號?
[00:01:50.000 --> 00:01:52.120]  10號一點鐘
[00:01:52.120 --> 00:01:54.480]  10點54分
[00:01:54.480 --> 00:01:55.920]  如果用台灣的時間
[00:01:55.920 --> 00:01:58.000]  你看原來這個時間
[00:01:58.000 --> 00:02:05.480]  就是2013年2月10號的10點54分
[00:02:05.480 --> 00:02:06.080]  不知道是多少秒
[00:02:06.080 --> 00:02:07.680]  這個沒有秒
[00:02:07.680 --> 00:02:10.080]  原來時間是這麼細微
[00:02:10.080 --> 00:02:11.680]  這篇文章就說
[00:02:11.680 --> 00:02:13.840]  原來時間分得這麼細微
[00:02:13.840 --> 00:02:18.560]  是上帝給我們一些好處
