
[00:00:00.000 --> 00:00:02.000]  回到希伯來書
[00:00:02.000 --> 00:00:05.480]  希伯來書其實還有一段時間
[00:00:05.480 --> 00:00:07.480]  去到下年的年頭
[00:00:07.480 --> 00:00:10.740]  所以現在去到第11章
[00:00:10.740 --> 00:00:14.920]  11章其實今天只幫大家看一節《聖經》而已
[00:00:14.920 --> 00:00:16.500]  所以你說爲什麼這麼多個月呢?
[00:00:16.500 --> 00:00:18.500]  今天只看一節而已
[00:00:18.500 --> 00:00:20.080]  不如一起讀好嗎?
[00:00:20.080 --> 00:00:21.460]  試試
[00:00:21.460 --> 00:00:26.960]  「欣着信,羅亞寄夢神指示他未見的事,
[00:00:26.960 --> 00:00:32.520]  動了敬畏的心,造了方舟使他全家得救。
[00:00:32.520 --> 00:00:35.560]  直使他定了那世代的罪,
[00:00:35.560 --> 00:00:39.920]  自己也承受了那從信以來的意。」
[00:00:39.920 --> 00:00:43.560]  這節經文所指的是羅亞
[00:00:43.560 --> 00:00:45.400]  羅亞方舟的故事
[00:00:45.400 --> 00:00:46.900]  對很多的基督徒來說
[00:00:46.900 --> 00:00:48.700]  我覺得這是耳熟能詳的故事
[00:00:48.700 --> 00:00:53.520]  但我也相信當中可能有新的來到教會的新的信徒
[00:00:53.520 --> 00:00:57.840]  所以我想大家首先重溫一些關鍵的經文
[00:00:57.840 --> 00:00:59.400]  因爲其實是幾章《聖經》的
[00:00:59.400 --> 00:01:01.860]  裏面有很多的內容
[00:01:01.860 --> 00:01:05.800]  但我抽了一些主幹給大家讀一讀
[00:01:05.800 --> 00:01:08.640]  這個其實是《創世紀》第六章開始的
[00:01:08.640 --> 00:01:11.160]  「耶和華見人在地上最大惡極,
[00:01:11.160 --> 00:01:14.080]  終日心裏所想的盡都是惡事。
[00:01:14.080 --> 00:01:17.080]  耶和華就因造人在地上感到遺憾,
[00:01:17.080 --> 00:01:18.400]  心中憂傷。
[00:01:18.400 --> 00:01:19.260]  耶和華說:
[00:01:19.260 --> 00:01:23.760]  「我要把所造的人和走狩、爬行動物以及天空的飛鳥
[00:01:23.760 --> 00:01:25.500]  都從地面上除滅,
[00:01:25.500 --> 00:01:27.960]  因爲我造了他們感到遺憾,
[00:01:27.960 --> 00:01:31.880]  只有羅亞在耶和華眼前蒙因。」
[00:01:31.880 --> 00:01:32.840]  神對羅亞說:
[00:01:32.840 --> 00:01:36.480]  「在我面前凡血肉之軀的結局已經臨到,
[00:01:36.480 --> 00:01:39.320]  因着他們地上充滿了暴力,
[00:01:39.320 --> 00:01:43.560]  看啊!我要把他們或者地一起毀滅!
[00:01:43.560 --> 00:01:49.360]  你要爲自己用哥飛木造一手方舟!
[00:01:49.360 --> 00:01:52.560]  看啊!我要使洪水氾濫在地上,
[00:01:52.560 --> 00:01:57.280]  毀滅天下凡有生命氣息的血肉之軀。
[00:01:57.280 --> 00:01:59.560]  地上的一切都要滅亡,
[00:01:59.560 --> 00:02:01.640]  但我要與你立約,
[00:02:01.640 --> 00:02:07.240]  你和你的兒子、妻子和媳婦都要進入方舟。」
[00:02:07.240 --> 00:02:08.580]  羅亞去了,
[00:02:08.580 --> 00:02:12.160]  凡神吩咐他的,他都照樣去造。
[00:02:12.160 --> 00:02:13.320]  第七章
[00:02:13.320 --> 00:02:14.800]  耶和華對羅亞說:
[00:02:14.800 --> 00:02:17.560]  「你和你的全家都要進入方舟,
[00:02:17.560 --> 00:02:19.360]  因爲在這世代中,
[00:02:19.360 --> 00:02:22.800]  我看你在我面前是個異人。
[00:02:22.800 --> 00:02:24.040]  因爲再過七天,
[00:02:24.040 --> 00:02:26.960]  我要降雨在地上四十週夜,
[00:02:26.960 --> 00:02:31.720]  把我所造的一切生物從地面上除滅。」
[00:02:31.720 --> 00:02:36.120]  羅亞就遵照耶和華吩咐他的去造。
[00:02:36.120 --> 00:02:39.040]  四十週夜有大雨降在地上。
[00:02:39.040 --> 00:02:39.840]  二十一節
[00:02:39.840 --> 00:02:47.320]  凡有血肉在地上行動的,就是飛鳥生畜走壽和地上成羣的羣聚動物,
[00:02:47.320 --> 00:02:49.840]  以及所有的人都死了。
[00:02:49.840 --> 00:02:50.640]  第八章
[00:02:50.640 --> 00:02:54.640]  神紀念羅亞和羅亞方舟內的一切走壽生畜,
[00:02:54.640 --> 00:02:58.280]  神使風吹地,水勢濺落。
[00:02:58.280 --> 00:02:59.360]  神對羅亞說:
[00:02:59.360 --> 00:03:04.480]  「你和你的妻子、兒子、媳婦都要出方舟。」
