
[00:00:00.000 --> 00:00:04.100]  「靠主站立得穩,靠主上上起落」
[00:00:04.100 --> 00:00:12.040]  這些都是我們很熟悉的信徒經常聽到的訊息
[00:00:12.040 --> 00:00:14.860]  我們當然在聖經裏面找到
[00:00:14.860 --> 00:00:19.200]  我們也看看這些訊息帶給我們什麼提醒
[00:00:19.200 --> 00:00:23.040]  我們讀一下經文
[00:00:23.040 --> 00:00:28.160]  在肥納比書四章一至七節
[00:00:30.720 --> 00:00:32.720]  第一節我們也很熟悉的經文
[00:00:32.720 --> 00:00:35.580]  特別是臨尾這一節
[00:00:35.580 --> 00:00:37.580]  上篇也有些很熟悉的
[00:00:37.580 --> 00:00:40.080]  「我親愛的弟兄」第一節
[00:00:40.080 --> 00:00:42.840]  「你們應當靠主站立得穩」
[00:00:42.840 --> 00:00:45.840]  是我們今年的念頭第一句
[00:00:45.840 --> 00:00:47.840]  然後他又說了一堆東西
[00:00:47.840 --> 00:00:50.400]  有兩個女人要同心
[00:00:50.400 --> 00:00:52.000]  你們要跟我一起勞苦
[00:00:52.000 --> 00:00:54.000]  一會兒我會講到這裏
[00:00:54.000 --> 00:00:56.000]  接著去到這裏又說
[00:00:56.000 --> 00:00:59.000]  「你們要靠主上上起落」
[00:00:59.000 --> 00:01:01.000]  「我再說你們要起落」
[00:01:01.000 --> 00:01:04.000]  今年的念頭就選了這半句
[00:01:04.000 --> 00:01:06.000]  「靠主站立得穩」
[00:01:06.000 --> 00:01:08.000]  「靠主上上起落」
[00:01:08.000 --> 00:01:09.000]  作為我們的念頭
[00:01:09.000 --> 00:01:12.000]  所以我們要記住這兩個的訓練
[00:01:12.000 --> 00:01:15.000]  一會兒我們會去解釋一下
[00:01:15.000 --> 00:01:17.000]  「靠主站立得穩」
[00:01:17.000 --> 00:01:19.000]  「靠主站立得穩」
[00:01:19.000 --> 00:01:28.000]  我們引用了一些另外的經文
[00:01:28.000 --> 00:01:31.000]  因為除了聖經裏面在避難地書
[00:01:31.000 --> 00:01:34.000]  提到有關「站立得穩」
[00:01:34.000 --> 00:01:37.000]  在其他的書信也有類似的經文
[00:01:37.000 --> 00:01:39.000]  我們看闊一點的時候
[00:01:39.000 --> 00:01:44.000]  就會理解到真正的「站立得穩」是什麼意思
[00:01:44.000 --> 00:01:46.000]  這也是我們看聖經
[00:01:46.000 --> 00:01:50.000]  很多時候最簡單做的事
[00:01:50.000 --> 00:01:52.000]  就是看到這段經文覺得
[00:01:52.000 --> 00:01:54.000]  好像有別的說法
[00:01:54.000 --> 00:01:55.000]  又去查一下
[00:01:55.000 --> 00:01:56.000]  那裏這樣說
[00:01:56.000 --> 00:01:57.000]  那裏這樣說
[00:01:57.000 --> 00:01:59.000]  應該是全部東西加在一起
[00:01:59.000 --> 00:02:01.000]  是同一個方向的
[00:02:01.000 --> 00:02:04.000]  如果你看到那些經文
[00:02:04.000 --> 00:02:05.000]  這一說這樣說
[00:02:05.000 --> 00:02:06.000]  和第二說這樣說
[00:02:06.000 --> 00:02:08.000]  你覺得是背道而馳
[00:02:08.000 --> 00:02:11.000]  或者是互相違反
[00:02:11.000 --> 00:02:12.000]  那很可能
[00:02:12.000 --> 00:02:13.000]  大部分的可能
[00:02:13.000 --> 00:02:16.000]  都是一向你領悟錯了
[00:02:16.000 --> 00:02:18.000]  所以我們在看聖經
[00:02:18.000 --> 00:02:19.000]  認識真理方面
[00:02:19.000 --> 00:02:21.000]  是不斷地去矯正
[00:02:21.000 --> 00:02:24.000]  不斷地去認識得更清楚
[00:02:24.000 --> 00:02:26.000]  這個是我們一生之力
[00:02:26.000 --> 00:02:31.000]  你都應該不會有滿分的了
[00:02:31.000 --> 00:02:33.000]  不斷地進步
[00:02:33.000 --> 00:02:36.000]  套一句近年的說話
[00:02:36.000 --> 00:02:37.000]  沒有最好
[00:02:37.000 --> 00:02:38.000]  只有更好
[00:02:38.000 --> 00:02:40.000]  希望這個可以勸勉大家
[00:02:40.000 --> 00:02:41.000]  不斷努力
[00:02:41.000 --> 00:02:44.000]  在哥倫多前書也是保羅寫的
[00:02:44.000 --> 00:02:46.000]  關乎類似的說話
[00:02:46.000 --> 00:02:47.000]  他怎麼說呢
[00:02:47.000 --> 00:02:48.000]  他說
[00:02:48.000 --> 00:02:50.000]  在十六章十三節
[00:02:50.000 --> 00:02:52.000]  你們務要警醒
[00:02:52.000 --> 00:02:55.000]  在真道上站立得穩
[00:02:55.000 --> 00:02:57.000]  要作大將夫
[00:02:57.000 --> 00:02:58.000]  要剛勤
[00:02:58.000 --> 00:03:00.000]  說保羅也是用站立得穩
[00:03:00.000 --> 00:03:02.000]  但是他特別提一提
[00:03:02.000 --> 00:03:04.000]  在真道上站立得穩
[00:03:04.000 --> 00:03:06.000]  所以我們就留意
[00:03:06.000 --> 00:03:08.000]  這個站立得穩
[00:03:08.000 --> 00:03:09.000]  在這一個方面
[00:03:09.000 --> 00:03:10.000]  重要的就是
[00:03:10.000 --> 00:03:12.000]  真道上要站立得穩
[00:03:12.000 --> 00:03:14.000]  真道就是真理
[00:03:14.000 --> 00:03:16.000]  真理就是神說的話
[00:03:16.000 --> 00:03:17.000]  神說的話
[00:03:17.000 --> 00:03:18.000]  就是神告訴我們
[00:03:18.000 --> 00:03:20.000]  要想我們知道的東西
[00:03:20.000 --> 00:03:22.000]  祂有什麼喜歡我們做
[00:03:22.000 --> 00:03:24.000]  有什麼祂不喜歡我們做
[00:03:24.000 --> 00:03:27.000]  有什麼祂很想我們跟著走
[00:03:27.000 --> 00:03:29.000]  那些祂在聖經裡都告訴我們
[00:03:29.000 --> 00:03:31.000]  我們如果不知道
[00:03:31.000 --> 00:03:35.000]  就傻乎乎地走自己的路
[00:03:35.000 --> 00:03:37.000]  所以我們要多看聖經
[00:03:37.000 --> 00:03:39.000]  要明白多一點
[00:03:39.000 --> 00:03:40.000]  我們就知道
[00:03:40.000 --> 00:03:42.000]  原來神喜歡這樣的
[00:03:42.000 --> 00:03:44.000]  原來神想我們這樣的
