
[00:00:00.000 --> 00:00:01.640]  在我們講今天的講題以先
[00:00:01.640 --> 00:00:04.900]  我們有些小小的相片重溫
[00:00:04.900 --> 00:00:08.740]  就是由2014年直堂的時候
[00:00:08.740 --> 00:00:09.740]  我們開始
[00:00:09.740 --> 00:00:16.040]  2014年太子的堂子裝修的前後
[00:00:16.040 --> 00:00:18.800]  我們當時從直堂出來
[00:00:18.800 --> 00:00:23.440]  我不知道大家有沒有去過太子堂子崇拜
[00:00:23.440 --> 00:00:24.800]  有啊,舉一下手吧
[00:00:24.800 --> 00:00:26.640]  都有一半左右
[00:00:26.640 --> 00:00:28.280]  好了,那我們看下去
[00:00:28.280 --> 00:00:31.600]  接著上帝在我們好過之後
[00:00:31.600 --> 00:00:35.740]  在6月第一次的祈禱會和第一次的崇拜
[00:00:35.740 --> 00:00:37.080]  我不知道大家有沒有印象
[00:00:37.080 --> 00:00:40.240]  你有沒有來第一次的祈禱會和第一次的崇拜
[00:00:40.240 --> 00:00:41.040]  如果有的話
[00:00:41.040 --> 00:00:42.140]  如果你說我有沒有呢
[00:00:42.140 --> 00:00:43.180]  那就是你沒有了
[00:00:43.180 --> 00:00:44.440]  如果你有,我肯定知道
[00:00:44.440 --> 00:00:45.840]  如果有,你舉一下手吧
[00:00:45.840 --> 00:00:47.640]  大概10%左右
[00:00:47.640 --> 00:00:49.740]  證明我們有很多新的朋友在中間
[00:00:49.740 --> 00:00:51.180]  我們給點掌聲好嗎
[00:00:51.180 --> 00:00:52.680]  很歡迎你
[00:00:52.680 --> 00:00:53.240]  很感動
[00:00:53.240 --> 00:00:54.600]  接著上帝亦都說
[00:00:54.600 --> 00:00:56.780]  中原居這麼多年都不容易
[00:00:56.780 --> 00:00:58.380]  很多挑戰,很多艱難
[00:00:58.380 --> 00:01:00.340]  上帝就賜予欽典
[00:01:00.340 --> 00:01:02.140]  賜這個堂典
[00:01:02.140 --> 00:01:04.580]  給我們,給太子的堂典
[00:01:04.580 --> 00:01:06.540]  足足大了一倍的地方
[00:01:06.540 --> 00:01:10.080]  我們給掌聲耶穌好嗎
[00:01:10.080 --> 00:01:11.280]  5月3日祈禱會
[00:01:11.280 --> 00:01:12.240]  我們有崇拜
[00:01:12.240 --> 00:01:15.640]  我們的人數比建堂的時候
