
[00:00:00.000 --> 00:00:04.000]  繼續講上帝明治的系列
[00:00:04.000 --> 00:00:12.400]  新一屆特區政府由未上場至上場不久
[00:00:12.400 --> 00:00:17.700]  特首及多名局長先後被發現
[00:00:17.700 --> 00:00:21.200]  自己住的地方有僭建或改建
[00:00:21.200 --> 00:00:24.400]  令他們的管治威信盡失
[00:00:24.400 --> 00:00:30.000]  亦有官員被指身兼兩個重要職份
[00:00:30.000 --> 00:00:33.200]  可能存在著角色衝突
[00:00:33.200 --> 00:00:37.900]  又有人被指在過去作為公務員時
[00:00:37.900 --> 00:00:42.200]  向政府申請租金的手法不恰當
[00:00:42.200 --> 00:00:45.100]  這些一連串的事情
[00:00:45.100 --> 00:00:51.700]  都令港人對特區政府存在著不滿
[00:00:51.700 --> 00:00:54.000]  存在著不信任
[00:00:54.000 --> 00:00:57.900]  覺得他們不公平、不公義、不連結
[00:00:57.900 --> 00:00:59.600]  以至7月1日
[00:00:59.600 --> 00:01:05.600]  香港被指有40萬人上街表達訴求
[00:01:05.600 --> 00:01:07.200]  表達他們的不滿
[00:01:07.200 --> 00:01:10.700]  甚至高呼特首要下台
[00:01:10.700 --> 00:01:15.700]  或相關政府高官要下台
[00:01:15.700 --> 00:01:18.600]  一個不被信任的政府
[00:01:18.600 --> 00:01:24.500]  或一個不能用誠信、誠實、公平、公義
[00:01:24.500 --> 00:01:28.600]  管治民間百姓的政府
[00:01:28.600 --> 00:01:31.400]  的確令人失望或不滿
[00:01:31.400 --> 00:01:35.900]  其實在早前第七世紀末至第六世紀初
[00:01:35.900 --> 00:01:40.100]  猶太國的政治局勢都是不相伯仲
[00:01:40.100 --> 00:01:45.400]  甚至比現在的香港更加嚴重
[00:01:45.400 --> 00:01:48.300]  王國的管治混亂
[00:01:48.300 --> 00:01:50.100]  百姓苦不堪言
[00:01:50.100 --> 00:01:54.300]  連神都不禁要藉著先知發聲
[00:01:54.300 --> 00:01:57.700]  作出審判、作出懲罰
[00:01:57.700 --> 00:02:01.500]  我在講耶和華沙瑪的時候
[00:02:01.500 --> 00:02:03.800]  講過當時的背景
[00:02:03.800 --> 00:02:06.700]  耶利米蘇的時代背景
[00:02:06.700 --> 00:02:10.400]  由早前639年有一個好皇帝叫約西亞
[00:02:10.400 --> 00:02:12.300]  推行宗教改革
[00:02:12.300 --> 00:02:14.300]  為國家帶來一些希望
[00:02:14.300 --> 00:02:16.300]  但可惜他早逝
[00:02:16.300 --> 00:02:20.400]  轉前612年巴比倫進軍尼尼微城
[00:02:20.400 --> 00:02:22.900]  結果亞述沒落
[00:02:22.900 --> 00:02:26.200]  這個弱小的猶太國為求生存
[00:02:26.200 --> 00:02:30.800]  經常夾在巴比倫和埃及另一個強國之間
[00:02:30.800 --> 00:02:34.600]  一時靠左邊一時靠右邊
[00:02:34.600 --> 00:02:40.500]  609年埃及法魯尼戈率軍
[00:02:40.500 --> 00:02:43.300]  去支援亞述的時候
[00:02:43.300 --> 00:02:46.900]  約西亞就在那時被殺
[00:02:46.900 --> 00:02:48.500]  三個月之後
[00:02:48.500 --> 00:02:54.200]  埃及王尼戈就將繼任的約哈斯
[00:02:54.200 --> 00:02:59.800]  擄到埃及改立約亞徑
[00:02:59.800 --> 00:03:00.900]  來對作王
[00:03:00.900 --> 00:03:02.600]  希望成為他的傀儡
[00:03:02.600 --> 00:03:05.900]  由埃及王去控制他
[00:03:05.900 --> 00:03:09.100]  大概十二年之後
[00:03:09.100 --> 00:03:11.000]  早前597年
[00:03:11.000 --> 00:03:13.000]  巴比倫勢力增強
[00:03:13.000 --> 00:03:15.000]  進攻巴勒斯坦
[00:03:15.000 --> 00:03:17.400]  特別是猶大的地方
[00:03:17.400 --> 00:03:19.900]  約亞徑那個傀儡
[00:03:19.900 --> 00:03:24.200]  因而轉移不如那時離棄埃及
[00:03:24.200 --> 00:03:27.400]  投向巴比倫和他結盟
[00:03:27.400 --> 00:03:30.900]  後來又背叛巴比倫
[00:03:30.900 --> 00:03:34.900]  一時靠左一時靠右又靠左
[00:03:34.900 --> 00:03:37.000]  約亞徑死後
[00:03:37.000 --> 00:03:40.900]  他的兒子約亞根三個月繼位
[00:03:40.900 --> 00:03:43.900]  不過巴比倫王好激氣
[00:03:43.900 --> 00:03:46.700]  所以在早前597年
[00:03:46.700 --> 00:03:49.100]  下令廢除他
[00:03:49.100 --> 00:03:53.000]  改立另一個人來對作王
[00:03:53.000 --> 00:03:56.100]  就是改立他的叔叔馬探雅
[00:03:56.100 --> 00:04:00.700]  後來他將他改名做西底加
[00:04:00.700 --> 00:04:03.600]  但這個西底加
[00:04:03.600 --> 00:04:05.000]  他又是這樣
