
[00:00:00.000 --> 00:00:02.600]  你聽大家一起唱歌的時候
[00:00:02.600 --> 00:00:05.440]  心裏面真是一個很大的激勵
[00:00:05.440 --> 00:00:07.740]  上帝在我們當中
[00:00:07.740 --> 00:00:10.740]  上帝不會離棄我們
[00:00:10.740 --> 00:00:12.340]  上帝會扶持我們
[00:00:12.340 --> 00:00:14.640]  不會一起禱告
[00:00:14.640 --> 00:00:16.820]  前後的天父我們感謝你
[00:00:16.820 --> 00:00:21.020]  是因為你常常的讓很多的弟兄姊妹
[00:00:21.020 --> 00:00:22.960]  能夠在我們的身邊
[00:00:22.960 --> 00:00:24.880]  為我們的祈禱
[00:00:24.880 --> 00:00:26.820]  給予我們感謝
[00:00:26.820 --> 00:00:29.800]  使得我們有時候軟弱的時候
[00:00:29.800 --> 00:00:32.300]  能夠得到扶持和鼓勵
[00:00:32.300 --> 00:00:34.160]  我們感謝你
[00:00:34.160 --> 00:00:37.300]  天父你讓我們成為教會
[00:00:37.300 --> 00:00:39.840]  讓彼此成為肢體
[00:00:39.840 --> 00:00:41.640]  互相的扶持
[00:00:41.640 --> 00:00:43.240]  互相的激勵
[00:00:43.240 --> 00:00:44.580]  我們感謝你
[00:00:44.580 --> 00:00:47.520]  願傳下的恩主常帶領我們
[00:00:47.520 --> 00:00:51.220]  讓我們能夠從這個教會得力
[00:00:51.220 --> 00:00:52.280]  在這個教會
[00:00:52.280 --> 00:00:55.560]  在這個世界當中去見證
[00:00:55.560 --> 00:00:58.960]  願傳下的恩主如同幫助
[00:00:58.960 --> 00:01:00.560]  我們交託給你
[00:01:00.560 --> 00:01:02.860]  禱告奉耶穌的名
[00:01:02.860 --> 00:01:06.160]  阿門
[00:01:06.160 --> 00:01:08.260]  今年就有一班朋友
[00:01:08.260 --> 00:01:14.000]  為我慶祝七十歲的生日
[00:01:14.000 --> 00:01:18.340]  在這七十回顧過去七十年
[00:01:18.340 --> 00:01:22.220]  我有十幾年在一個流浪
[00:01:22.220 --> 00:01:24.280]  無依無構
[00:01:24.280 --> 00:01:27.360]  作為一個露宿者
[00:01:27.360 --> 00:01:29.920]  是一個孤兒
[00:01:29.920 --> 00:01:34.020]  想想十幾歲做闖蕩社會
[00:01:34.020 --> 00:01:35.100]  在這個地方
[00:01:35.100 --> 00:01:36.660]  在香港這個地方
[00:01:36.660 --> 00:01:38.900]  甚至在大陸的地方
[00:01:38.900 --> 00:01:43.100]  都成為一個無依無構的人
[00:01:43.100 --> 00:01:46.500]  就是一個傳奇
[00:01:46.500 --> 00:01:51.640]  就是由一位悅心的校長和主任
[00:01:51.640 --> 00:01:53.980]  帶我進到教會裏面
[00:01:53.980 --> 00:01:57.080]  去認識主耶穌
[00:01:57.080 --> 00:02:00.220]  認識這位創造的主
[00:02:00.220 --> 00:02:03.920]  認識這位為我犧牲的耶穌
[00:02:03.920 --> 00:02:08.500]  而這份愛就成為我的感動
[00:02:08.500 --> 00:02:12.300]  成為我重新去找尋一個生命
[00:02:12.300 --> 00:02:20.280]  重新去得到自己的未來
[00:02:20.280 --> 00:02:21.980]  是一種孤獨
[00:02:21.980 --> 00:02:29.420]  孤寂的一個無家可歸的人
[00:02:29.420 --> 00:02:32.560]  好像會進到一個
[00:02:32.560 --> 00:02:34.620]  重新會接受
[00:02:34.620 --> 00:02:38.700]  享受了上帝一個
[00:02:38.700 --> 00:02:41.400]  這種愛的引導
[00:02:41.400 --> 00:02:44.760]  建立 幫助
[00:02:44.760 --> 00:02:48.700]  有一次我又隨著一班人
[00:02:48.700 --> 00:02:50.900]  陌生的人都說
[00:02:50.900 --> 00:02:52.280]  去見證著
[00:02:52.280 --> 00:02:54.940]  我今天成為何等樣的人
[00:02:54.940 --> 00:02:58.280]  是完全上帝的愛所造成
[00:02:58.280 --> 00:03:00.880]  所以當我入神學院之前
[00:03:00.880 --> 00:03:02.960]  就有個牧師就問我
[00:03:02.960 --> 00:03:04.620]  在教會講道
[00:03:04.620 --> 00:03:06.920]  有個牧師就問我
[00:03:06.920 --> 00:03:08.920]  他說 你奉獻做傳道
[00:03:08.920 --> 00:03:10.960]  你將要入神學院
[00:03:10.960 --> 00:03:13.400]  你會不會後悔?
[00:03:13.400 --> 00:03:15.960]  我說我怎會後悔呢?
[00:03:15.960 --> 00:03:19.400]  起碼我一個整個十年的生活
[00:03:19.400 --> 00:03:21.880]  讀書的十年的生活
[00:03:21.880 --> 00:03:24.500]  是正正經歷上帝的保守
[00:03:24.500 --> 00:03:26.820]  和上帝的恩典
[00:03:26.820 --> 00:03:31.820]  這麼深厚的在我的生命裏面所建立的
[00:03:31.820 --> 00:03:35.420]  我怎能夠忘記呢?
[00:03:35.420 --> 00:03:36.980]  我的一生的經歷
[00:03:36.980 --> 00:03:39.180]  就是活在上帝的愛
[00:03:39.180 --> 00:03:40.460]  這種培育
[00:03:40.460 --> 00:03:41.560]  這種帶領
[00:03:41.560 --> 00:03:44.300]  這種護佑裏面
