
[00:00:00.000 --> 00:00:02.000]  敬請各位平安
[00:00:02.000 --> 00:00:05.000]  我們今天的崇拜一起來在思想
[00:00:05.000 --> 00:00:10.000]  謝伯來書第十章的經文跟真理
[00:00:10.000 --> 00:00:14.000]  我們已經看了不少謝伯來書的真理
[00:00:14.000 --> 00:00:16.000]  今天我們來到第十章
[00:00:16.000 --> 00:00:20.000]  剛才所念的經文是十九節到二十五節
[00:00:20.000 --> 00:00:22.000]  還有三十二節到三十九節
[00:00:22.000 --> 00:00:25.000]  如果大家用唐用聖經的話
[00:00:25.000 --> 00:00:28.000]  你可以打開一千八百二十二頁
[00:00:28.000 --> 00:00:33.000]  新約的謝伯來書的第十章
[00:00:33.000 --> 00:00:35.000]  大家都知道了
[00:00:35.000 --> 00:00:39.000]  謝伯來書也是一本不太容易理解的書
[00:00:39.000 --> 00:00:45.000]  因為它是二十年前寫給謝伯來人所看的書
[00:00:45.000 --> 00:00:48.000]  謝伯來是什麼人?猶太人
[00:00:48.000 --> 00:00:55.000]  當年的猶太人當然都本來是信奉猶太教的
[00:00:55.000 --> 00:00:58.000]  但是當中因為耶穌基督的救恩
[00:00:58.000 --> 00:01:04.000]  有一部分的猶太人就信了耶穌基督成為基督徒
[00:01:04.000 --> 00:01:06.000]  那麼這一批的基督徒
[00:01:06.000 --> 00:01:11.000]  他有很強的謝伯來猶太人信仰的背景
[00:01:11.000 --> 00:01:14.000]  而且他也受到很多的壓力
[00:01:14.000 --> 00:01:17.000]  因為他們改信了耶穌基督的話
[00:01:17.000 --> 00:01:19.000]  受了他們的同輩
[00:01:19.000 --> 00:01:21.000]  他們受了救回的社會
[00:01:21.000 --> 00:01:23.000]  他們的同胞很多的壓力
[00:01:23.000 --> 00:01:26.000]  因為他們不喜歡他們相信耶穌
[00:01:26.000 --> 00:01:30.000]  所以謝伯來書就特別向著他們來講
[00:01:30.000 --> 00:01:34.000]  我們所相信的真理是怎樣的一個真理
[00:01:34.000 --> 00:01:38.000]  所以謝伯來書前面的一到九章都很強調
[00:01:38.000 --> 00:01:40.000]  耶穌基督是誰?
[00:01:40.000 --> 00:01:45.000]  耶穌基督跟本來的猶太教的信仰
[00:01:45.000 --> 00:01:48.000]  所相信的耶和華上帝的關係是怎樣的?
[00:01:48.000 --> 00:01:53.000]  然後耶穌基督為什麼可以成為新的我們的信仰的對象?
[00:01:53.000 --> 00:01:55.000]  因為祂是從神而來
[00:01:55.000 --> 00:02:02.000]  祂比一切的祭司、一切的天使、一切我們所認為最至高的都要高
[00:02:02.000 --> 00:02:06.000]  因為祂就是上帝自己在人間的顯現
[00:02:06.000 --> 00:02:10.000]  那麼真理這個道理是非常的新
[00:02:10.000 --> 00:02:12.000]  而且也非常的重要
[00:02:12.000 --> 00:02:21.000]  對於那些基督教的信徒來說是很重要的基礎
[00:02:21.000 --> 00:02:23.000]  今天我們來到第十章
[00:02:23.000 --> 00:02:26.000]  第十章開始我們看到
[00:02:26.000 --> 00:02:32.000]  謝伯來書的作者就特別用已經理解的、把握的真理
[00:02:32.000 --> 00:02:35.000]  來用在他們的身上
[00:02:35.000 --> 00:02:39.000]  就是我們基督徒既然有這樣的信仰的基礎
[00:02:39.000 --> 00:02:45.000]  那麼以後我們的信仰的表現有什麼不同?
[00:02:45.000 --> 00:02:47.000]  這個是很重要的
[00:02:47.000 --> 00:02:53.000]  具體的生活上我們基督徒的契機跟我們的標誌有什麼不同?
[00:02:53.000 --> 00:02:56.000]  今天我就用剛才我們所念的聖經裡面
[00:02:56.000 --> 00:03:01.000]  抽了三個我覺得是最核心的三個標誌跟契機
[00:03:01.000 --> 00:03:05.000]  來看我們基督徒的不同的表現跟地方
[00:03:05.000 --> 00:03:11.000]  當然這個是對當年的當時候的猶太人所說的話
[00:03:11.000 --> 00:03:14.000]  但是也是你跟我今天作為基督徒
[00:03:14.000 --> 00:03:17.000]  同樣的真理的說話
[00:03:17.000 --> 00:03:19.000]  那麼這三個是什麼呢?
[00:03:19.000 --> 00:03:25.000]  我就嘗試也用了我們中國古代我們的論語裡面
[00:03:25.000 --> 00:03:28.000]  大家可以記得孔子的論語裡面
[00:03:28.000 --> 00:03:32.000]  提醒我們有君子
[00:03:32.000 --> 00:03:36.000]  君子之道有三
[00:03:36.000 --> 00:03:39.000]  君子之道有三哪三個?
[00:03:39.000 --> 00:03:41.000]  智者不惑
[00:03:41.000 --> 00:03:45.000]  還有仁者不憂
[00:03:45.000 --> 00:03:49.000]  勇者不懼
[00:03:49.000 --> 00:03:52.000]  念到第三個才有一點記得
[00:03:52.000 --> 00:03:58.000]  我們的中文我們的國學太差勁了
[00:03:58.000 --> 00:04:01.000]  那麼我們看到可以互相的呼應
[00:04:01.000 --> 00:04:06.000]  今天我們看屬靈的君子
[00:04:06.000 --> 00:04:10.000]  某意義來說我們都是屬靈像的君子
[00:04:10.000 --> 00:04:13.000]  論語的君子好難做的
[00:04:13.000 --> 00:04:15.000]  因為要修煉很久
[00:04:15.000 --> 00:04:17.000]  但是因為我們有神
[00:04:17.000 --> 00:04:19.000]  我們可以當屬靈的君子
[00:04:19.000 --> 00:04:22.000]  我們也可以智者不惑
[00:04:22.000 --> 00:04:23.000]  仁者不憂
[00:04:23.000 --> 00:04:25.000]  我們也可以勇者不懼
[00:04:25.000 --> 00:04:27.000]  我們來看看這三個是什麼意思
[00:04:27.000 --> 00:04:32.000]  首先我們先看第一個22到23節
[00:04:32.000 --> 00:04:38.000]  每個表現我們用兩節聖經來特別跟大家一起來研究
[00:04:38.000 --> 00:04:41.000]  我們先看22到23節
[00:04:41.000 --> 00:04:43.000]  那裡講到什麼呢
[00:04:43.000 --> 00:04:46.000]  他說我們的良心的十惡
[00:04:46.000 --> 00:04:50.000]  既然洗淨了身體也清水洗淨了
[00:04:50.000 --> 00:04:52.000]  我們潔淨了
[00:04:52.000 --> 00:04:57.000]  那麼因此有了這樣的一個背景跟基礎
[00:04:57.000 --> 00:05:04.000]  我們就可以懷著真誠的心和完備的心
[00:05:04.000 --> 00:05:11.000]  進到神的面前
[00:05:11.000 --> 00:05:16.000]  那麼又應該堅持我們所宣言的盼望
[00:05:16.000 --> 00:05:18.000]  毫不動搖
[00:05:18.000 --> 00:05:24.000]  因為來允許我們是真實的是信實的神
[00:05:24.000 --> 00:05:27.000]  我們毫不動搖
[00:05:27.000 --> 00:05:29.000]  不動搖的信仰
[00:05:29.000 --> 00:05:35.000]  不動搖的信仰是第一個當時候的信徒所面對的挑戰
[00:05:35.000 --> 00:05:38.000]  也是今天你跟我也面對的挑戰
[00:05:38.000 --> 00:05:41.000]  有時候我們的信仰也動搖
[00:05:41.000 --> 00:05:44.000]  當年信徒的動搖
[00:05:44.000 --> 00:05:48.000]  當然因為他們發覺他們信了耶穌以後
[00:05:48.000 --> 00:05:51.000]  那麼從猶太教信了耶穌以後成為基督徒以後
[00:05:51.000 --> 00:05:53.000]  受了好大的壓力
[00:05:53.000 --> 00:05:59.000]  周圍的社會周圍的同胞周圍的人對他們不友善
[00:05:59.000 --> 00:06:01.000]  對他們有壓力
[00:06:01.000 --> 00:06:04.000]  不單單是猶太人
[00:06:04.000 --> 00:06:09.000]  甚至那些羅馬的政府對他們也有壓力也有逼迫
[00:06:09.000 --> 00:06:11.000]  哎呀信仰真的不容易
[00:06:11.000 --> 00:06:13.000]  有些人就動搖了
[00:06:13.000 --> 00:06:16.000]  今天你跟我都有這樣的動搖對不對
[00:06:16.000 --> 00:06:19.000]  有時候你跟我在當了基督徒一段時間以後
[00:06:19.000 --> 00:06:21.000]  我們的信仰開始動搖
[00:06:21.000 --> 00:06:23.000]  因為發覺我們信了耶穌以後
[00:06:23.000 --> 00:06:26.000]  周圍的社會跟我們太不相同了
[00:06:26.000 --> 00:06:28.000]  周圍的人的價值
[00:06:28.000 --> 00:06:30.000]  周圍的人的看法
[00:06:30.000 --> 00:06:32.000]  周圍的人給我們好多的壓力
[00:06:32.000 --> 00:06:34.000]  覺得我們是基督徒的時候
[00:06:34.000 --> 00:06:36.000]  我們發覺跟他們好像很有個距離
