
[00:00:00.000 --> 00:00:02.000]  各位主內地兄姊妹平安
[00:00:02.000 --> 00:00:04.960]  我們再次回來
[00:00:04.960 --> 00:00:07.960]  昨天大家都有聽到
[00:00:07.960 --> 00:00:11.760]  誰出席了「癌症健康講座」
[00:00:11.760 --> 00:00:16.000]  其實有一個問題要弄清楚
[00:00:16.000 --> 00:00:17.600]  第一個問題要弄清楚
[00:00:17.600 --> 00:00:19.000]  剛才讀經的時候就說
[00:00:19.000 --> 00:00:22.280]  那個人的手是枯乾的
[00:00:22.280 --> 00:00:23.840]  那問你了
[00:00:23.840 --> 00:00:25.080]  問有出席的那些人
[00:00:25.080 --> 00:00:29.800]  是不是代表了他背後犯罪才會手枯乾
[00:00:30.600 --> 00:00:31.400]  不是吧
[00:00:31.400 --> 00:00:32.800]  不一定 除非是聖經說
[00:00:32.800 --> 00:00:36.200]  如果聖經說那個人是犯罪了
[00:00:36.200 --> 00:00:38.320]  那耶穌知道了
[00:00:38.320 --> 00:00:40.040]  如果沒有說就不是了
[00:00:40.040 --> 00:00:43.240]  我們今天存在這個心態去看
[00:00:43.240 --> 00:00:45.000]  這個大兄
[00:00:45.000 --> 00:00:47.000]  我們當中的主內地兄姊妹
[00:00:47.000 --> 00:00:48.760]  受苦的時候
[00:00:48.760 --> 00:00:52.240]  背後我們主耶穌怎樣去照顧他們
[00:00:52.240 --> 00:00:54.040]  怎樣去照顧他們
[00:00:54.040 --> 00:00:55.600]  這個環境當中
[00:00:55.600 --> 00:00:57.320]  這個這麼混亂的環境當中
[00:00:57.320 --> 00:00:59.600]  我們是不是真的可以信靠耶穌
[00:01:00.000 --> 00:01:01.840]  我們再次回到這個主題
[00:01:01.840 --> 00:01:03.320]  我們其實在上一次
[00:01:03.320 --> 00:01:04.320]  對上一個星期
[00:01:04.320 --> 00:01:05.560]  我們就開始了
[00:01:05.560 --> 00:01:07.200]  《馬赫福音》第一章
[00:01:07.200 --> 00:01:09.480]  第一章第一節至到十三節
[00:01:09.480 --> 00:01:11.240]  都是問一個問題就是
[00:01:11.240 --> 00:01:12.840]  我們真的可不可以信靠耶穌
[00:01:12.840 --> 00:01:14.560]  原來那個經文
