
[00:00:00.000 --> 00:00:06.000]  我們先看看我們這一節的經文,都頗長的,不過我們先看看背景。
[00:00:06.000 --> 00:00:12.000]  在《撒姆爾記》上,一章一至八節,我們看看哈拿的煩惱。
[00:00:12.000 --> 00:00:21.000]  經文的第二節,我們看到在一個地方,有一個人物叫做伊利加拿。
[00:00:21.000 --> 00:00:25.000]  他在家裏面出現了一些不太和睦的情況。
[00:00:25.000 --> 00:00:33.000]  伊利加拿的家庭裏面有兩個妻子,第一位她叫做哈拿,排行第一位。
[00:00:33.000 --> 00:00:38.000]  相信這位是原配,而另一位妻子叫做比利拿。
[00:00:38.000 --> 00:00:42.000]  比利拿有孩子,經文說哈拿沒有孩子。
[00:00:42.000 --> 00:00:50.000]  所以哈拿處於一個弱勢的狀況裏面,亦都是她現在帶來的煩惱。
[00:00:50.000 --> 00:00:58.000]  在當時以色列的地方來說,對於已婚的婦女,但仍未有孩子的話,不是一件很愉快的事。
[00:00:58.000 --> 00:01:02.000]  哈拿不育,令到比利拿輕視她。
[00:01:02.000 --> 00:01:09.000]  上一輩的中國傳統家庭都有一個觀念,所謂不孝有三,母后為大。
[00:01:09.000 --> 00:01:17.000]  古人認為不孝有三件事,是較為重要的,就是因為她沒有後裔。
[00:01:17.000 --> 00:01:24.000]  經文裏面在第三節又告訴我們,這件事發生在士羅。
[00:01:24.000 --> 00:01:28.000]  士羅是當時匯幕約櫃存放的地方。
[00:01:28.000 --> 00:01:35.000]  按照慣例,伊利加拿一家人每一年都會去到士羅裏面。
[00:01:35.000 --> 00:01:40.000]  士羅剛才他們獻祭給耶和華。
[00:01:40.000 --> 00:01:46.000]  伊利加拿會將這個祭玉分給她的妻子,她的兒子。
[00:01:46.000 --> 00:01:54.000]  但因為伊利加拿愛哈拿,所以會將雙份給哈拿。
[00:01:54.000 --> 00:02:02.000]  顯示伊利加拿很注意到哈拿的痛苦,想除去她心裏不開心的地方。
[00:02:02.000 --> 00:02:10.000]  但伊利加拿的行動令到這個情形更加差。
[00:02:10.000 --> 00:02:18.000]  因為這個行動令到比利拿更加憤怒,更加產生一種嫉妒。
