
[00:00:00.000 --> 00:00:03.500]  今天我們經文有幾節短短的經文
[00:00:03.500 --> 00:00:07.460]  在《迦拉太書》五章22至23節
[00:00:07.460 --> 00:00:10.700]  我相信丁姐妹很熟悉,我們一起讀
[00:00:10.700 --> 00:00:13.120]  聖靈所結的果子
[00:00:13.120 --> 00:00:16.800]  就是人愛、喜樂、和平、忍耐、
[00:00:16.800 --> 00:00:20.900]  恩慈、良善、信實、溫柔、節制
[00:00:20.900 --> 00:00:24.020]  這樣的事沒有律法禁止
[00:00:24.020 --> 00:00:26.220]  約翰福音三章十六節
[00:00:26.220 --> 00:00:27.720]  神愛世人
[00:00:27.720 --> 00:00:31.220]  甚至將他的獨生子賜給他們
[00:00:31.220 --> 00:00:32.920]  叫一濟信他的
[00:00:32.920 --> 00:00:35.700]  不致滅亡,返得永生
[00:00:35.700 --> 00:00:37.820]  羅馬書五章五節
[00:00:37.820 --> 00:00:40.260]  盼望不至於羞恥
[00:00:40.260 --> 00:00:43.060]  因為所賜給我們的聖靈
[00:00:43.060 --> 00:00:46.860]  將神的愛敲冠在我們心裡
[00:00:46.860 --> 00:00:51.660]  哥林多前書十二章三十一至十三章三節
[00:00:51.660 --> 00:00:55.620]  你們要徹徹地求那更大的恩賜
[00:00:55.620 --> 00:00:59.620]  我現今把最妙的道指示你們
[00:00:59.620 --> 00:01:02.260]  我若能說萬人的謊言
[00:01:02.260 --> 00:01:05.600]  並天使的話語,卻沒有外
[00:01:05.600 --> 00:01:09.620]  我就成了名的羅,響的拔一般
[00:01:09.620 --> 00:01:12.500]  我若有先知講道之能
[00:01:12.500 --> 00:01:16.320]  也明白各樣的奧秘、各樣的知識
[00:01:16.320 --> 00:01:18.460]  而且有傳避的信
[00:01:18.460 --> 00:01:21.860]  叫我能夠移山,卻沒有外
[00:01:21.860 --> 00:01:24.300]  我就算不得什麼
[00:01:24.300 --> 00:01:27.400]  我若將所有的周濟窮人
[00:01:27.400 --> 00:01:30.260]  又捨己身,叫人焚燒
[00:01:30.260 --> 00:01:34.560]  卻沒有外,仍然與我無益
[00:01:34.560 --> 00:01:35.660]  感謝主
[00:01:35.660 --> 00:01:41.420]  今天繼續回到聖靈的果子
[00:01:41.420 --> 00:01:44.620]  上次跟大家分享了一個導論
[00:01:44.620 --> 00:01:48.020]  今次講我們第一個特質
[00:01:48.020 --> 00:01:50.260]  就是「仁愛」
[00:01:50.260 --> 00:01:59.860]  「仁愛」
[00:01:59.860 --> 00:02:01.800]  前個月我在39號
[00:02:01.800 --> 00:02:03.820]  39號即是教會旁邊的物業
[00:02:03.820 --> 00:02:08.060]  旁邊的那一座,我撿到寶
[00:02:08.060 --> 00:02:11.360]  撿到寶,有沒有想過教會也撿到寶
[00:02:11.360 --> 00:02:17.060]  我無意之間在39號那間屋的書架裡
[00:02:17.060 --> 00:02:20.700]  就發現了兩本超正的書
[00:02:20.700 --> 00:02:26.460]  就是這兩本超正的書
[00:02:26.460 --> 00:02:28.700]  有沒有看過?
[00:02:28.700 --> 00:02:33.200]  這兩本書,為什麼我說超正和撿到寶呢?
[00:02:33.200 --> 00:02:35.960]  其實在我二十多歲的時候
[00:02:35.960 --> 00:02:39.360]  這兩本書是很影響我
[00:02:39.360 --> 00:02:41.860]  鼓勵我去愛和服侍的
[00:02:41.860 --> 00:02:45.100]  只不過是因為我由香港來拍攝的時候
[00:02:45.100 --> 00:02:47.100]  不能帶這麼多東西
[00:02:47.100 --> 00:02:49.300]  這兩本書就捐出去送給別人
[00:02:49.300 --> 00:02:51.900]  當我看見這兩本書的時候
[00:02:51.900 --> 00:02:54.860]  我很喜歡也拿回來看
[00:02:54.860 --> 00:02:57.260]  鼓勵我很多
[00:02:57.260 --> 00:03:02.060]  這兩本書是德蘭修女所寫的
[00:03:02.060 --> 00:03:04.060]  一本叫做「活著就是愛」
[00:03:04.060 --> 00:03:06.260]  一本叫做「貧著愛」
[00:03:06.260 --> 00:03:10.560]  德蘭修女她在印度一個很貧窮很貧窮的地方
[00:03:10.560 --> 00:03:12.260]  加爾閣塔的地方裡面
[00:03:12.260 --> 00:03:16.060]  她在街頭在坑渠那裡找很多麻風病病人
[00:03:16.060 --> 00:03:17.460]  或者垂死的人
[00:03:17.460 --> 00:03:20.060]  帶他們回中心好好照顧他們
[00:03:20.060 --> 00:03:21.660]  給他們泡一個漂亮的澡
[00:03:21.660 --> 00:03:23.460]  好好餵他們吃東西
[00:03:23.460 --> 00:03:25.460]  好好關心他們
[00:03:25.460 --> 00:03:29.360]  貴著就是要讓這幫人在他們臨死之前
[00:03:29.360 --> 00:03:32.760]  他們知道有我們耶穌基督的存在
[00:03:32.760 --> 00:03:34.260]  讓這幫人在臨死之前
[00:03:34.260 --> 00:03:35.460]  讓他們經歷到
[00:03:35.460 --> 00:03:37.060]  原來有人是關心他們
[00:03:37.060 --> 00:03:40.060]  有人是愛他們的
[00:03:40.060 --> 00:03:42.060]  當中提到
[00:03:42.060 --> 00:03:45.260]  要活出愛就必須要付上代價
[00:03:45.260 --> 00:03:47.960]  耶穌為了顯明祂對我們的愛
[00:03:47.960 --> 00:03:49.960]  就死在十字架上面
[00:03:49.960 --> 00:03:50.860]  而做母親的
[00:03:50.860 --> 00:03:52.660]  你們都經歷過生產過程裡面
