
[00:00:00.000 --> 00:00:05.000]  鄧炳哲:鄧炳哲門早晨,請你和你隔壁的鄧炳哲門講一聲早晨好嗎?
[00:00:05.000 --> 00:00:15.000]  我過往兩次來講到都是網上,都是online,很難得今次能夠在實體裏面見到大家
[00:00:15.000 --> 00:00:26.000]  首先要多謝廣福堂林牧師的邀請,多謝在6月23號邀請我們來到跟他們的同工分享了元宇宙教會的一些內容
[00:00:26.000 --> 00:00:31.000]  那條路就很漫長,希望鄧炳哲門都用禱告紀念我們
[00:00:31.000 --> 00:00:36.000]  我曾經來的時候都講過,人生可以很簡單的
[00:00:36.000 --> 00:00:41.000]  你看一看你隔壁的鄧炳哲門的朋友
[00:00:41.000 --> 00:00:48.000]  他和你一樣,都是經歷生老病死,是吧?
[00:00:48.000 --> 00:00:53.000]  但是不同的地方就是說,在不同的階段裏面,我們有不同的抉擇
[00:00:53.000 --> 00:00:57.000]  有人很簡單形容希羅文化是一種什麼文化?
[00:00:57.000 --> 00:01:01.000]  是一種矛盾與衝突的文化
[00:01:01.000 --> 00:01:09.000]  如果你有機會去到大陸博物館或者法國的梵意賽宮看展覽
[00:01:09.000 --> 00:01:14.000]  就很清晰看到希羅文化很強調身體
[00:01:14.000 --> 00:01:24.000]  所以後現代的專家會令你很驚訝,後現代很強調身體,其實希羅世界已經很強調
[00:01:24.000 --> 00:01:28.000]  在那個世界裏面出了很出名的哲學家
[00:01:28.000 --> 00:01:31.000]  亞歷士多德、蘇格拉底這麼厲害的人
[00:01:31.000 --> 00:01:34.000]  但是與此同時,他們的神話是很離奇的
[00:01:34.000 --> 00:01:37.000]  最近有套電影也有奏詩出版
[00:01:37.000 --> 00:01:47.000]  神話故事裏面的神是充滿了戀輪、醉酒、道德很敗壞的竟然是神
[00:01:47.000 --> 00:01:50.000]  這是一個很奇特的世界
[00:01:50.000 --> 00:01:53.000]  因為就是這樣充滿了矛盾與衝突
[00:01:53.000 --> 00:01:55.000]  其實人生整個成長過程都是這樣
[00:01:55.000 --> 00:01:59.000]  你會發覺我們似乎可以選擇,但是有些東西又不能選擇
[00:01:59.000 --> 00:02:03.000]  例如我們出生的地方,我們的家庭不能選擇
[00:02:03.000 --> 00:02:05.000]  我們的DNA組合不能選擇
[00:02:05.000 --> 00:02:07.000]  我們的性別不能選擇
[00:02:07.000 --> 00:02:12.000]  最近美國很前衛,出生的人出生子不再寫性別了
[00:02:12.000 --> 00:02:15.000]  讓你大過自己選擇
[00:02:15.000 --> 00:02:18.000]  男變女,女變男
[00:02:18.000 --> 00:02:20.000]  我女兒在英國讀完書回來
[00:02:20.000 --> 00:02:25.000]  有個朋友在美國回來,見到我女兒還未結婚
[00:02:25.000 --> 00:02:29.000]  有個男生介紹給她,叫她小心點,牧師
[00:02:29.000 --> 00:02:31.000]  你女兒帶個朋友來,你小心點
[00:02:31.000 --> 00:02:33.000]  我以為她說我女兒會帶個女朋友回來
[00:02:33.000 --> 00:02:37.000]  她說不是,她帶男朋友都要檢查清楚
[00:02:37.000 --> 00:02:39.000]  可能是變性的
[00:02:39.000 --> 00:02:42.000]  美國已經去到這樣,我們香港還沒有那麼先進
[00:02:42.000 --> 00:02:46.000]  現在很難搞,很難檢查到情況
[00:02:46.000 --> 00:02:49.000]  我們看到講健康
[00:02:49.000 --> 00:02:53.000]  因為最近香港的老年化很嚴重
[00:02:53.000 --> 00:02:56.000]  我們很著重健康
[00:02:56.000 --> 00:03:00.000]  其實健康第一大問題是甚麼問題呢
[00:03:00.000 --> 00:03:03.000]  你沒有想過
[00:03:03.000 --> 00:03:06.000]  第一大問題是DNA的問題
[00:03:06.000 --> 00:03:09.000]  你的DNA遺傳了是這樣的
[00:03:09.000 --> 00:03:11.000]  你基本上吃甚麼都是這樣的
[00:03:11.000 --> 00:03:15.000]  除非將來將你的DNA編輯
[00:03:15.000 --> 00:03:17.000]  現在是道德上不容許的事情
[00:03:17.000 --> 00:03:19.000]  我們在整個成長過程中
[00:03:19.000 --> 00:03:22.000]  原生家庭對我們的影響沒有選擇
[00:03:22.000 --> 00:03:25.000]  我們沒有選擇,我們父母怎樣對待我們
[00:03:25.000 --> 00:03:29.000]  這幾個人正在做父母,請舉手
[00:03:29.000 --> 00:03:31.000]  其實我們是很無辜的
[00:03:31.000 --> 00:03:33.000]  我們無辜的原因是甚麼呢
[00:03:33.000 --> 00:03:35.000]  我們怎樣對待我們子女,我們都沒有選擇
[00:03:35.000 --> 00:03:36.000]  原因是甚麼呢
[00:03:36.000 --> 00:03:39.000]  我父母怎樣對待我,我就怎樣對待你
[00:03:39.000 --> 00:03:42.000]  我們是複製我們父母的
[00:03:42.000 --> 00:03:44.000]  我們沒有上過課
[00:03:44.000 --> 00:03:47.000]  但每天都看著我父母怎樣罵我,我就學會了
[00:03:47.000 --> 00:03:51.000]  每天都看著我母親怎樣打我弟弟,我就學會了
[00:03:51.000 --> 00:03:56.000]  我們不知道怎樣去處理跟下一代的關係
[00:03:56.000 --> 00:04:01.000]  很多時候是因為我們成長過程,父母怎樣用新教導我們
[00:04:01.000 --> 00:04:03.000]  到我們子女長大一點,我們自己經歷過
[00:04:03.000 --> 00:04:07.000]  但我們忘記了青少年期就說是反叛
[00:04:07.000 --> 00:04:10.000]  其實我們今天要平反,青少年不是反叛
[00:04:10.000 --> 00:04:14.000]  是因為你跟我經歷過,不過我們忘記了
[00:04:14.000 --> 00:04:15.000]  我們很善忘的
[00:04:15.000 --> 00:04:19.000]  我們青少年開始覺得自己可以選擇
[00:04:19.000 --> 00:04:23.000]  開始學習去選擇自己想選擇的東西
[00:04:23.000 --> 00:04:27.000]  但我自己想選擇的東西就是我父母不想選擇的東西
[00:04:27.000 --> 00:04:30.000]  所以我父母覺得我反叛,你明白吧
[00:04:30.000 --> 00:04:34.000]  如果你選擇父母選擇的東西,他就會覺得你孝順和順服
[00:04:34.000 --> 00:04:36.000]  就這麼簡單
