
[00:00:00.000 --> 00:00:05.000]  早晨,感謝主持人,我們今天有機會再次聆聽神的話語
[00:00:05.000 --> 00:00:10.000]  今天這個經文大家都耳熟能詳了
[00:00:10.000 --> 00:00:16.000]  可能小朋友在出埃及的故事去到高潮的一刻
[00:00:16.000 --> 00:00:19.000]  就是過紅海
[00:00:19.000 --> 00:00:24.000]  我盼望藉著這段經文再次去看得仔細一點
[00:00:24.000 --> 00:00:27.000]  讓我們能夠在這段經文當中
[00:00:27.000 --> 00:00:34.000]  反省究竟對於我們做基督徒的信仰有什麼反省呢?
[00:00:34.000 --> 00:00:40.000]  或者順話說,對於我們很多人離開了我們的家
[00:00:40.000 --> 00:00:43.000]  好像一個旅程一樣
[00:00:43.000 --> 00:00:47.000]  就像埃及一樣,離開了埃及,一個旅程一樣
[00:00:47.000 --> 00:00:51.000]  在這個故事當中,怎樣一個對比讓我們能夠警醒
[00:00:51.000 --> 00:00:53.000]  怎樣走我們生命的路
[00:00:53.000 --> 00:00:58.000]  我們開始之前一起祈禱
[00:00:58.000 --> 00:01:00.000]  天父,我們再次仰望你
[00:01:00.000 --> 00:01:04.000]  你是領埃及人,領以色列人的主
[00:01:04.000 --> 00:01:07.000]  你更加是領我們的主
[00:01:07.000 --> 00:01:09.000]  主,我們仰望你
[00:01:09.000 --> 00:01:13.000]  我們繼續仰望你的恩手,拖帶著我們去行前的路
[00:01:13.000 --> 00:01:15.000]  求你的恩賢臨到我們的當中
[00:01:15.000 --> 00:01:20.000]  讓我們能夠虛心的,謙卑的來到,聽你的話語
[00:01:20.000 --> 00:01:24.000]  求你賜福給僕人所講的,弟兄姊妹所聽的
[00:01:24.000 --> 00:01:26.000]  都是同感入靈
[00:01:26.000 --> 00:01:29.000]  叫你能夠明白真理,生命繼續
[00:01:29.000 --> 00:01:31.000]  由生而今生而變化
[00:01:31.000 --> 00:01:33.000]  多謝主,如常禱告,奉耶穌名祈禱
[00:01:33.000 --> 00:01:35.000]  阿們
[00:01:35.000 --> 00:01:39.000]  其實到了第七一及二
[00:01:39.000 --> 00:01:41.000]  第七章至第十一章
[00:01:41.000 --> 00:01:43.000]  有一個很精彩的故事
[00:01:43.000 --> 00:01:45.000]  七章至第十一章
[00:01:45.000 --> 00:01:57.000]  講述埃及法老王一直不容讓以色列人離開埃及
[00:01:57.000 --> 00:02:02.000]  讓耶和華的百姓好悔服侍他
[00:02:02.000 --> 00:02:15.000]  於是耶和華使人九個災害逼迫法老人要放人
[00:02:15.000 --> 00:02:19.000]  而法老死都不肯,怎樣都不肯放人
[00:02:19.000 --> 00:02:21.000]  然後耶和華最後出了第十災
[00:02:21.000 --> 00:02:23.000]  就是殺長子之災
[00:02:23.000 --> 00:02:26.000]  將頭身和長子都要殺害
[00:02:26.000 --> 00:02:28.000]  迫使法老都有一個目的
[00:02:28.000 --> 00:02:33.000]  就是要讓以色列人離開埃及好悔敬拜侍奉他
[00:02:33.000 --> 00:02:37.000]  在第十二章三十七節
[00:02:37.000 --> 00:02:40.000]  以色列人開始發怒
[00:02:40.000 --> 00:02:44.000]  法老說你們快點走,快點走
[00:02:44.000 --> 00:02:46.000]  你們快點離開我
[00:02:46.000 --> 00:02:48.000]  你要侍奉耶和華
[00:02:48.000 --> 00:02:49.000]  因為你還要祝福我
[00:02:49.000 --> 00:02:53.000]  而埃及人說都快點走
[00:02:53.000 --> 00:02:56.000]  我們快要死了
[00:02:56.000 --> 00:03:01.000]  所以以色列人在急促的情況下離開埃及
[00:03:01.000 --> 00:03:05.000]  還要拿埃及人的金銀和財寶
[00:03:05.000 --> 00:03:08.000]  豐豐富富的離開這裡
[00:03:08.000 --> 00:03:10.000]  你看到當他們離開的時候
[00:03:10.000 --> 00:03:15.000]  以色列人從蘭塞起行到疏國
[00:03:15.000 --> 00:03:19.000]  然後耶和華擔心他們在過程當中
[00:03:19.000 --> 00:03:21.000]  都會因為打仗的緣故
[00:03:21.000 --> 00:03:24.000]  不想他們走過打仗的地方
[00:03:24.000 --> 00:03:27.000]  就繞道而行去到紅海當中
[00:03:27.000 --> 00:03:31.000]  到出一及記十三章二十節
[00:03:31.000 --> 00:03:34.000]  他形容就是從疏國起行
[00:03:34.000 --> 00:03:39.000]  由曠野邊去到曠野邊的耳塘安營
[00:03:39.000 --> 00:03:45.000]  你看到由蘭塞去到疏國
[00:03:45.000 --> 00:03:47.000]  去到耳塘這個地方
[00:03:47.000 --> 00:03:50.000]  準備離開埃及的境地
[00:03:50.000 --> 00:03:53.000]  一步一步進入西乃山
[00:03:53.000 --> 00:03:57.000]  好去敬拜耶和華
[00:03:57.000 --> 00:04:00.000]  其實如果我們作為埃及人
[00:04:00.000 --> 00:04:03.000]  應該差不多離開耳塘的話
[00:04:03.000 --> 00:04:05.000]  直進去是向下南的
[00:04:05.000 --> 00:04:08.000]  去到西乃山當中
[00:04:08.000 --> 00:04:12.000]  但是去到出一及記十四章一至二節
[00:04:12.000 --> 00:04:14.000]  耶和華繞過摩西雪
[00:04:14.000 --> 00:04:17.000]  他說你吩咐以色列人要轉回
[00:04:17.000 --> 00:04:19.000]  要回頭
[00:04:19.000 --> 00:04:22.000]  所以你看到在黃色的耳塘
[00:04:22.000 --> 00:04:23.000]  躺在耳塘那裡
[00:04:23.000 --> 00:04:25.000]  他無端端走上去
[00:04:25.000 --> 00:04:31.000]  去到比哈希陸和密奪和海的中間
[00:04:31.000 --> 00:04:34.000]  耶和華吩咐以色列人
[00:04:34.000 --> 00:04:36.000]  你要去到比哈希陸
[00:04:36.000 --> 00:04:39.000]  密奪和海中間紮營
[00:04:39.000 --> 00:04:41.000]  就是三個地方當中攻
[00:04:41.000 --> 00:04:43.000]  三個地方中間紮營
[00:04:43.000 --> 00:04:45.000]  好 去到這個地方
[00:04:45.000 --> 00:04:47.000]  這樣就很稀奇了
[00:04:47.000 --> 00:04:48.000]  你明不明白
[00:04:48.000 --> 00:04:51.000]  作為以色列人應該離開埃及的話
[00:04:51.000 --> 00:04:53.000]  應該就是直到下面
[00:04:53.000 --> 00:04:56.000]  去到西乃山當中
[00:04:56.000 --> 00:04:58.000]  為什麼無端端耶和華
