
[00:00:00.000 --> 00:00:03.920]  在這裡我會問一些問題
[00:00:03.920 --> 00:00:08.060]  可能會暴露了你的年紀的真實
[00:00:08.060 --> 00:00:10.300]  不要緊,一家人
[00:00:10.300 --> 00:00:12.820]  多少歲,大家知道也不要緊
[00:00:12.820 --> 00:00:14.540]  我想問一下
[00:00:14.540 --> 00:00:23.240]  有哪些人是見證電視機的出現?
[00:00:23.240 --> 00:00:25.820]  有沒有反應?
[00:00:25.820 --> 00:00:28.460]  或者問第二個問題
[00:00:28.460 --> 00:00:32.760]  有哪個人看過芝麻街?
[00:00:32.760 --> 00:00:35.420]  有,表示芝麻街
[00:00:35.420 --> 00:00:37.160]  柏叔有沒有看過?
[00:00:37.160 --> 00:00:40.040]  沒有,何執事在嗎?
[00:00:40.040 --> 00:00:43.500]  在那裡,有沒有看過呢?
[00:00:43.500 --> 00:00:45.800]  有一套,不知道你們看過沒有
[00:00:45.800 --> 00:00:49.080]  就是Fred Rogers
[00:00:49.080 --> 00:00:54.840]  羅傑斯先生的鄰居們
[00:00:54.840 --> 00:01:00.840]  這個片集應該在香港最多是明珠播出
[00:01:00.840 --> 00:01:03.600]  播了三十年了
[00:01:03.600 --> 00:01:05.760]  九百一十二集
[00:01:05.760 --> 00:01:08.640]  每一集是三十分鐘
[00:01:08.640 --> 00:01:10.680]  對象就是小朋友
[00:01:10.680 --> 00:01:15.220]  羅傑斯先生每一次打開門很開心
[00:01:15.220 --> 00:01:19.220]  帶著小朋友進入他家裡跟我們聊天
[00:01:19.220 --> 00:01:22.560]  他的手上看到一隻小老虎
[00:01:22.560 --> 00:01:26.600]  叫做丹尼尼
[00:01:26.600 --> 00:01:31.140]  跟他們聊聊他們的心事
[00:01:31.140 --> 00:01:32.760]  他們說說感受
[00:01:32.760 --> 00:01:34.640]  不開心的感受
[00:01:34.640 --> 00:01:37.060]  醜陋的感受
[00:01:37.060 --> 00:01:40.100]  一些恐怖的經驗
[00:01:40.100 --> 00:01:45.140]  例如戰爭、離婚的問題
