
[00:00:00.000 --> 00:00:03.140]  究竟主耶穌會什麼時候回來呢
[00:00:03.140 --> 00:00:06.620]  所以今天我們就會來看看
[00:00:06.620 --> 00:00:10.080]  《警醒》、《禱告》、《等候主》回來
[00:00:10.080 --> 00:00:12.080]  大家看到「啪啪」了嗎?
[00:00:12.080 --> 00:00:14.840]  看到了
[00:00:14.840 --> 00:00:18.320]  今天我們查的經文很短而已
[00:00:18.320 --> 00:00:19.900]  只有一節經文而已
[00:00:19.900 --> 00:00:23.320]  所以很想大家一起來讀
[00:00:23.320 --> 00:00:25.020]  請二汶帶領我們吧
[00:00:25.020 --> 00:00:26.120]  我們一起來讀
[00:00:26.120 --> 00:00:28.860]  一節經文我們今天只是查一句而已
[00:00:28.860 --> 00:00:30.200]  但是也很豐富的
[00:00:30.200 --> 00:00:31.700]  我們一起讀吧
[00:00:31.700 --> 00:00:33.700]  萬物的結局近了
[00:00:33.700 --> 00:00:36.100]  所以你們要謹慎自守
[00:00:36.100 --> 00:00:37.620]  《警醒》、《禱告》
[00:00:37.620 --> 00:00:39.420]  好了 很簡單
[00:00:39.420 --> 00:00:41.700]  彼得一開始就開宗明義說
[00:00:41.700 --> 00:00:42.900]  萬物的結局近了
[00:00:42.900 --> 00:00:44.340]  所以你們要謹慎自守
[00:00:44.340 --> 00:00:45.700]  《警醒》、《禱告》
[00:00:45.700 --> 00:00:48.340]  究竟主耶穌什麼時候回來呢?
[00:00:48.340 --> 00:00:51.500]  甚至有很多電影都拍過《世界末日》的
[00:00:51.500 --> 00:00:53.500]  近期這麼多戰爭
[00:00:53.500 --> 00:00:56.120]  都繼續有些人都在問我
[00:00:56.120 --> 00:00:58.740]  究竟是不是《世界末日》已經來呢?
[00:00:58.740 --> 00:01:01.820]  第三次世界大戰是不是等於《世界末日》呢?
[00:01:01.820 --> 00:01:06.340]  我近幾個月都收到不少這樣的訊息
[00:01:06.340 --> 00:01:08.540]  不知道大家有沒有看過那套電影
[00:01:08.540 --> 00:01:10.540]  那套電影叫《2012》
[00:01:10.540 --> 00:01:12.080]  不知道有沒有人看過
[00:01:12.080 --> 00:01:14.800]  這套電影是講《世界末日》的
[00:01:14.800 --> 00:01:18.020]  後來洪水就會氾濫
[00:01:18.020 --> 00:01:21.740]  後來他們要走上一隻類似羅亞方舟
[00:01:21.740 --> 00:01:24.100]  那時候就很會做的
[00:01:24.100 --> 00:01:25.340]  你知道這套電影裡面
[00:01:25.340 --> 00:01:27.680]  那隻方舟是由中國去製造的
[00:01:27.680 --> 00:01:29.680]  如果你看回的時候
[00:01:29.680 --> 00:01:31.880]  為什麼他們會講《2012》呢?
[00:01:31.880 --> 00:01:33.020]  因為當年
[00:01:33.020 --> 00:01:35.880]  2012年的時候很多人就說會是《世界末日》
[00:01:35.880 --> 00:01:38.940]  因為馬雅人預言是
[00:01:38.940 --> 00:01:43.040]  2012年12月21日就是《世界末日》
[00:01:43.040 --> 00:01:45.880]  但是他們就否定了
[00:01:45.880 --> 00:01:48.640]  但是我們今天很多時候都會看到
[00:01:48.640 --> 00:01:51.500]  就是說萬物的結局近
[00:01:51.500 --> 00:01:53.220]  我就會即時想到
[00:01:53.220 --> 00:01:54.720]  當萬物結局近的時候
[00:01:54.720 --> 00:01:57.200]  就是主耶穌會回來
[00:01:57.200 --> 00:01:58.740]  就是《世界末日》
[00:01:58.740 --> 00:02:00.140]  還有《大災難》
[00:02:00.140 --> 00:02:01.720]  我們稍後都會探討
[00:02:01.720 --> 00:02:02.780]  有些人就說
