
[00:00:00.000 --> 00:00:03.000]  大概在半年前
[00:00:03.000 --> 00:00:07.000]  我們教會的眾同工
[00:00:07.000 --> 00:00:09.000]  去到惠州
[00:00:09.000 --> 00:00:13.000]  有兩日一夜的退休會
[00:00:13.000 --> 00:00:16.000]  彼此的主內交誼
[00:00:16.000 --> 00:00:19.000]  亦都同心尋求神的心意
[00:00:19.000 --> 00:00:22.000]  亦都去稍為輕鬆一下
[00:00:22.000 --> 00:00:25.000]  讓我們身心靈都再舒暢
[00:00:25.000 --> 00:00:27.000]  更好的慰主去侍奉
[00:00:27.000 --> 00:00:31.000]  在這兩日當然都安排了一些活動
[00:00:31.000 --> 00:00:34.000]  其中有一個活動
[00:00:34.000 --> 00:00:39.000]  就是我們一起有一些靈修的時間
[00:00:39.000 --> 00:00:43.000]  而那一次負責的教目都很獨特
[00:00:43.000 --> 00:00:48.000]  它一方面將我們眾同工分成小組
[00:00:48.000 --> 00:00:52.000]  並且我們今次的學習是怎樣呢
[00:00:52.000 --> 00:00:57.000]  就是由其中的小組裏面一位的同工
[00:00:57.000 --> 00:01:01.000]  去讀出一段的經文
[00:01:01.000 --> 00:01:04.000]  是不太長的經文
[00:01:04.000 --> 00:01:08.000]  而且當他讀的時候是緩慢地讀
[00:01:08.000 --> 00:01:11.000]  其他小組的成員
[00:01:11.000 --> 00:01:13.000]  我們就要很安靜
[00:01:13.000 --> 00:01:18.000]  很安靜地去聽神的話語
[00:01:18.000 --> 00:01:20.000]  但不只是聽
[00:01:20.000 --> 00:01:22.000]  我們一邊聽的時候
[00:01:22.000 --> 00:01:25.000]  一邊去祈求神的靈與我們同在
[00:01:25.000 --> 00:01:30.000]  讓我們在這些話語上有亮光
[00:01:30.000 --> 00:01:32.000]  有領受
[00:01:32.000 --> 00:01:41.000]  所以是一個當時很即興的一種操練
[00:01:41.000 --> 00:01:43.000]  我們要聽神的話
[00:01:43.000 --> 00:01:45.000]  要有一種領受
[00:01:45.000 --> 00:01:48.000]  要去專注
[00:01:48.000 --> 00:01:52.000]  我當時就用了十二節的經文
[00:01:52.000 --> 00:01:55.000]  那位同工就緩慢地讀
[00:01:55.000 --> 00:01:58.000]  我們幾個人就一邊聽
[00:01:58.000 --> 00:02:00.000]  很感恩
[00:02:00.000 --> 00:02:03.000]  當我一邊聽的時候
[00:02:03.000 --> 00:02:06.000]  我又真的有一些領受
[00:02:06.000 --> 00:02:09.000]  不是強行來的
[00:02:09.000 --> 00:02:11.000]  他頭六節一邊讀的時候
[00:02:11.000 --> 00:02:14.000]  我就領受到一些經文
[00:02:14.000 --> 00:02:18.000]  這些經文似乎是講到我們人生路上
[00:02:18.000 --> 00:02:21.000]  需要回顧一下自己過去
[00:02:21.000 --> 00:02:23.000]  講到經文怎樣講
[00:02:23.000 --> 00:02:25.000]  我就回顧
[00:02:25.000 --> 00:02:26.000]  不單止這樣
[00:02:26.000 --> 00:02:27.000]  當他繼續讀的時候
[00:02:27.000 --> 00:02:28.000]  我又反覆地思量
[00:02:28.000 --> 00:02:31.000]  又闖開心靈在神面前的時候
[00:02:31.000 --> 00:02:34.000]  我又發現跟著那四節
[00:02:34.000 --> 00:02:37.000]  一路去思想去禱告仰望的時候
[00:02:37.000 --> 00:02:43.000]  又發現那四節講的是人生現在的境況
[00:02:43.000 --> 00:02:45.000]  我們人生不單止回顧過去
[00:02:45.000 --> 00:02:49.000]  我們也要看看現在的人生是怎樣
[00:02:49.000 --> 00:02:51.000]  去了十節
[00:02:51.000 --> 00:02:54.000]  然後最後他讀完那兩節
[00:02:54.000 --> 00:02:57.000]  我一邊聽一邊看的時候
[00:02:57.000 --> 00:02:59.000]  一邊思想的時候
[00:02:59.000 --> 00:03:01.000]  我覺得最後那兩節
[00:03:01.000 --> 00:03:05.000]  是真的講到我們是前瞻的
[00:03:05.000 --> 00:03:07.000]  人生不單止回顧過去
[00:03:07.000 --> 00:03:08.000]  看看現在
[00:03:08.000 --> 00:03:11.000]  我們還要前瞻的
[00:03:11.000 --> 00:03:15.000]  我覺得那番說話又幾好
[00:03:15.000 --> 00:03:17.000]  弟兄姊妹
[00:03:17.000 --> 00:03:20.000]  最後第三部分
[00:03:20.000 --> 00:03:22.000]  那兩節的經文
[00:03:22.000 --> 00:03:28.000]  就是今晚我們所用那兩節的經文
[00:03:42.000 --> 00:03:45.000]  是不是一直向前走
[00:03:45.000 --> 00:03:47.000]  但是我們在經文裏面
[00:03:47.000 --> 00:03:52.000]  亦都體會到的是一種內省的操練
[00:03:52.000 --> 00:03:55.000]  對內反省的一種操練
[00:03:55.000 --> 00:03:57.000]  所以當時
[00:03:57.000 --> 00:03:58.000]  當我有領受之後
[00:03:58.000 --> 00:03:59.000]  我都寫下的
[00:03:59.000 --> 00:04:01.000]  而且現在很方便的
[00:04:01.000 --> 00:04:02.000]  怎樣寫下呢
[00:04:02.000 --> 00:04:03.000]  拿手機出來
[00:04:03.000 --> 00:04:06.000]  寫在手機就搞定了
[00:04:06.000 --> 00:04:07.000]  當時我怎樣寫呢
[00:04:07.000 --> 00:04:11.000]  前瞻這部分
[00:04:11.000 --> 00:04:13.000]  我就寫下痛恨別人的罪
[00:04:13.000 --> 00:04:15.000]  也痛恨自己的罪
[00:04:15.000 --> 00:04:17.000]  我必須正視之
[00:04:17.000 --> 00:04:19.000]  並承認自己的罪孽
[00:04:19.000 --> 00:04:21.000]  只有這樣
[00:04:21.000 --> 00:04:25.000]  我才可以走永生的道路
[00:04:25.000 --> 00:04:27.000]  就是這兩節裏面
[00:04:27.000 --> 00:04:28.000]  一邊讀的時候
[00:04:28.000 --> 00:04:30.000]  讓我一邊聽一邊回想
[00:04:30.000 --> 00:04:31.000]  一邊覺得
[00:04:31.000 --> 00:04:34.000]  頭那六節講過去
[00:04:34.000 --> 00:04:36.000]  跟著那四節講現在
[00:04:36.000 --> 00:04:39.000]  跟著那兩節講將來
[00:04:39.000 --> 00:04:40.000]  當然整段的經文
[00:04:40.000 --> 00:04:45.000]  其實就是用C篇139篇的13到24節
[00:04:45.000 --> 00:04:46.000]  就是這樣
[00:04:46.000 --> 00:04:48.000]  來給我們一種熟齡的操練
[00:04:48.000 --> 00:04:50.000]  反思的操練
[00:04:50.000 --> 00:04:53.000]  而就是這兩節的經文
