
[00:00:00.000 --> 00:00:06.120]  彼得前書第四章一至十一節
[00:00:06.120 --> 00:00:11.360]  我想說的是第四章中間的第七節有一句說話
[00:00:11.360 --> 00:00:14.680]  「萬物的結局近了」
[00:00:14.680 --> 00:00:19.640]  這可以說是整段經文的一個時間上的焦點
[00:00:19.640 --> 00:00:21.200]  他很想我們的眼眸
[00:00:21.200 --> 00:00:22.680]  或者很想我們看到
[00:00:22.680 --> 00:00:25.680]  在這個時間的情境之下
[00:00:25.680 --> 00:00:27.680]  彼得說這番話
[00:00:27.680 --> 00:00:33.480]  他前面是說耶穌將會審判
[00:00:33.480 --> 00:00:36.280]  因為他回來其中一個要做的工作
[00:00:36.280 --> 00:00:38.560]  就是要審判這個世界
[00:00:38.560 --> 00:00:42.560]  在這個時間之下
[00:00:42.560 --> 00:00:44.240]  他在兩方面鼓勵我們
[00:00:44.240 --> 00:00:46.600]  我想請姐妹讀一至六節
[00:00:46.600 --> 00:00:49.080]  弟兄讀七節到第十一節
[00:00:49.080 --> 00:00:50.360]  請姐妹先
[00:00:50.360 --> 00:00:54.040]  「萬物的結局近了」
[00:00:54.040 --> 00:00:59.040]  如果我們看愛情片
[00:00:59.040 --> 00:01:01.040]  當快要結局的時候
[00:01:01.040 --> 00:01:02.400]  你會有什麼期待的
[00:01:02.400 --> 00:01:05.640]  大團圓結局
[00:01:05.640 --> 00:01:08.400]  有情人終成眷屬
[00:01:08.400 --> 00:01:10.160]  如果你看愛情片
[00:01:10.160 --> 00:01:12.600]  結局是令你期盼的
[00:01:12.600 --> 00:01:19.640]  如果你看那些片是說法庭
[00:01:19.640 --> 00:01:21.040]  說人家的審訊
[00:01:21.040 --> 00:01:22.840]  案件的情況
[00:01:22.840 --> 00:01:23.640]  警匪片
[00:01:23.640 --> 00:01:25.640]  如果結局「近了」
[00:01:25.640 --> 00:01:27.640]  你會有什麼期待的
[00:01:27.640 --> 00:01:30.640]  歡迎你們
[00:01:30.640 --> 00:01:35.640]  面對結局你有什麼期待的
[00:01:35.640 --> 00:01:38.640]  如果那些片
[00:01:38.640 --> 00:01:40.640]  公義得彰顯
[00:01:40.640 --> 00:01:43.640]  那些冤情得申訴
[00:01:43.640 --> 00:01:45.640]  是這樣的
[00:01:45.640 --> 00:01:48.640]  如果面對皇宮裏面
[00:01:48.640 --> 00:01:52.640]  五花八門的鬥爭
[00:01:52.640 --> 00:01:58.640]  結局是「昨晚完」
[00:01:58.640 --> 00:02:05.640]  昨晚的廣告有沒有看到
[00:02:05.640 --> 00:02:08.640]  聽聞這是一個
[00:02:08.640 --> 00:02:11.640]  最近期相當受歡迎的劇集
[00:02:11.640 --> 00:02:12.640]  調查一下
[00:02:12.640 --> 00:02:15.640]  誰有追的
[00:02:15.640 --> 00:02:18.640]  多過昨晚
[00:02:18.640 --> 00:02:20.640]  想不到大家都喜歡
[00:02:20.640 --> 00:02:27.640]  清朝的東西
[00:02:27.640 --> 00:02:28.640]  說真的
[00:02:28.640 --> 00:02:31.640]  這是很受歡迎的
[00:02:31.640 --> 00:02:32.640]  說一點
[00:02:32.640 --> 00:02:33.640]  自己一家人
[00:02:33.640 --> 00:02:37.640]  我弟弟在無綫做編劇
[00:02:37.640 --> 00:02:38.640]  他很出名
[00:02:38.640 --> 00:02:41.640]  他出名的是我
[00:02:41.640 --> 00:02:42.640]  如果上網搜尋他的名字
[00:02:42.640 --> 00:02:45.640]  是多過我的資料
[00:02:45.640 --> 00:02:47.640]  他都說
[00:02:47.640 --> 00:02:49.640]  他們有很多前輩
[00:02:49.640 --> 00:02:51.640]  做編劇的
[00:02:51.640 --> 00:02:54.640]  他說其實很少的劇集
[00:02:54.640 --> 00:02:58.640]  不同年齡層的人都會追
[00:02:58.640 --> 00:03:00.640]  年青人 中年人 老年人都會追
[00:03:00.640 --> 00:03:01.640]  這是其中一套
[00:03:01.640 --> 00:03:03.640]  有些人根本上已經在網上看了
[00:03:03.640 --> 00:03:05.640]  一大早已經追了結局
[00:03:05.640 --> 00:03:06.640]  怎樣發展下去
[00:03:06.640 --> 00:03:08.640]  很想知道結局是怎樣
[00:03:08.640 --> 00:03:11.640]  結局往往是吸引我們
[00:03:11.640 --> 00:03:14.640]  特別留心留神留意的
[00:03:14.640 --> 00:03:15.640]  經文這樣寫
[00:03:15.640 --> 00:03:17.640]  「萬物的結局近了」
[00:03:17.640 --> 00:03:19.640]  所以我想比特寫的時候
[00:03:19.640 --> 00:03:21.640]  好像是用這種方式
[00:03:21.640 --> 00:03:23.640]  吸引我們著實
[00:03:23.640 --> 00:03:24.640]  要去留意的
[00:03:24.640 --> 00:03:27.640]  如果我們跑一部長途賽
[00:03:27.640 --> 00:03:28.640]  馬拉松
[00:03:28.640 --> 00:03:30.640]  最後我們會怎樣呢
[00:03:30.640 --> 00:03:31.640]  結局
[00:03:31.640 --> 00:03:34.640]  那條終點快到了
[00:03:34.640 --> 00:03:36.640]  我們心情會怎樣
[00:03:36.640 --> 00:03:38.640]  死都頂過去
[00:03:38.640 --> 00:03:39.640]  斷氣都會跑過去
[00:03:39.640 --> 00:03:42.640]  希望能夠前一個就前一個
[00:03:42.640 --> 00:03:44.640]  追到一個就追到一個
[00:03:44.640 --> 00:03:45.640]  我們心情是這樣
[00:03:45.640 --> 00:03:47.640]  所以我希望大家用這種心情
[00:03:47.640 --> 00:03:49.640]  去看這段經文
[00:03:49.640 --> 00:03:50.640]  很緊湊
[00:03:50.640 --> 00:03:52.640]  很期待結果
[00:03:52.640 --> 00:03:53.640]  怎樣面對
[00:03:53.640 --> 00:03:56.640]  結局快要出現呢
[00:03:56.640 --> 00:03:57.640]  簡單來說這段經文
[00:03:57.640 --> 00:03:58.640]  有兩部份
[00:03:58.640 --> 00:03:59.640]  很清楚
[00:03:59.640 --> 00:04:00.640]  一至六節是說
[00:04:00.640 --> 00:04:01.640]  這個教會群體
[00:04:01.640 --> 00:04:03.640]  在結局近了的時候
