
[00:00:00.000 --> 00:00:03.000]  各位頂智妹,今日是復活節主日
[00:00:03.000 --> 00:00:06.000]  我們的題目是「以馬五思」
[00:00:06.000 --> 00:00:08.000]  以馬五思
[00:00:08.000 --> 00:00:14.000]  開始講到的時候,很想和你們介紹一下這個名陣
[00:00:14.000 --> 00:00:16.000]  有沒有見過?
[00:00:16.000 --> 00:00:18.000]  有沒有走過?
[00:00:18.000 --> 00:00:21.000]  這個名陣很厲害的
[00:00:21.000 --> 00:00:25.000]  可以幫我由很憂愁的狀態之下
[00:00:25.000 --> 00:00:27.000]  變為很喜樂的
[00:00:29.000 --> 00:00:32.000]  這個陣不是甚麼魔法陣
[00:00:32.000 --> 00:00:34.000]  為甚麼這麼厲害呢?
[00:00:34.000 --> 00:00:36.000]  是因為我能夠在這個陣裏面
[00:00:36.000 --> 00:00:39.000]  和神經歷一些事情
[00:00:39.000 --> 00:00:41.000]  這個陣是怎樣呢?
[00:00:41.000 --> 00:00:43.000]  就是它外面有個入口
[00:00:43.000 --> 00:00:46.000]  慢慢向著這個陣走進去
[00:00:46.000 --> 00:00:50.000]  繞很多個圈,慢慢走,慢慢走
[00:00:50.000 --> 00:00:53.000]  向著中心點走進去
[00:00:53.000 --> 00:00:55.000]  一路走進去的時候
[00:00:55.000 --> 00:00:59.000]  我就習慣慢慢地去心裏面禱告
[00:00:59.000 --> 00:01:01.000]  去感受神和我在一起
[00:01:01.000 --> 00:01:03.000]  和我一起走
[00:01:03.000 --> 00:01:05.000]  然後我又再將心裏面想
[00:01:05.000 --> 00:01:09.000]  最近我有甚麼事情很困擾我
[00:01:09.000 --> 00:01:13.000]  很大的重擔,甚至有些罪捆綁著我
[00:01:13.000 --> 00:01:16.000]  我就一路走,去禱告
[00:01:16.000 --> 00:01:19.000]  心裏面去禱告,求神幫助我
[00:01:19.000 --> 00:01:22.000]  去面對這些罪,放下這些重擔
[00:01:23.000 --> 00:01:26.000]  當我去到中心的時候
[00:01:26.000 --> 00:01:28.000]  我就再一次感謝神
[00:01:28.000 --> 00:01:32.000]  然後就向反方向,慢慢又再轉出去
[00:01:32.000 --> 00:01:34.000]  一路轉出去的時候
[00:01:34.000 --> 00:01:36.000]  我就同樣去求神
[00:01:36.000 --> 00:01:39.000]  讓我去回憶最近生活上
