
[00:00:00.000 --> 00:00:01.920]  我們讀兩節的聖經
[00:00:01.920 --> 00:00:03.520]  在路加福音第二章
[00:00:03.520 --> 00:00:04.520]  十到十一節
[00:00:04.520 --> 00:00:07.280]  我們讀環球聖經一本
[00:00:07.280 --> 00:00:08.240]  天使對他們說
[00:00:08.240 --> 00:00:09.100]  不要害怕
[00:00:09.100 --> 00:00:10.200]  留心聽
[00:00:10.200 --> 00:00:12.720]  我現在傳給你們大喜的福音
[00:00:12.720 --> 00:00:15.160]  這喜樂是給予萬民的
[00:00:15.160 --> 00:00:16.520]  今天在大衛的城裡
[00:00:16.520 --> 00:00:18.240]  為你們誕生了救主
[00:00:18.240 --> 00:00:19.920]  就是主基督
[00:00:19.920 --> 00:00:22.000]  我們就讀到這裡
[00:00:22.000 --> 00:00:23.240]  隨著十二月的來臨
[00:00:23.240 --> 00:00:27.440]  我們已經正式開始進入聖誕的季節
[00:00:27.440 --> 00:00:29.000]  在這裡首先要恭賀大家
[00:00:29.000 --> 00:00:30.960]  聖誕節非常非常快樂
[00:00:30.960 --> 00:00:31.960]  Amen
[00:00:31.960 --> 00:00:33.560]  Hallelujah
[00:00:33.560 --> 00:00:35.000]  在教會的傳統裡面
[00:00:35.000 --> 00:00:37.960]  當教會要開始慶祝聖誕節的時候
[00:00:37.960 --> 00:00:39.640]  我們都會進入一個所謂
[00:00:39.640 --> 00:00:40.640]  Advent
[00:00:40.640 --> 00:00:42.200]  一個節期
[00:00:42.200 --> 00:00:44.160]  那是一個教導信徒
[00:00:44.160 --> 00:00:46.120]  要預備我們的心
[00:00:46.120 --> 00:00:50.920]  來等候救主彌賽亞降臨的一個節期
[00:00:50.920 --> 00:00:52.240]  換句話說
[00:00:52.240 --> 00:00:54.760]  聖誕節不但是一個歡樂
[00:00:54.760 --> 00:00:58.320]  慶祝救主降生的日子
[00:00:58.320 --> 00:01:00.440]  聖誕節也是一個教導我們
[00:01:00.440 --> 00:01:04.040]  要學習等候神的一個節期
