
[00:00:00.000 --> 00:00:08.100]  多謝主讓我們繼續這個門徒訓練和大致命的學習
[00:00:08.100 --> 00:00:11.560]  這段經文就好像Josiah所說的
[00:00:11.560 --> 00:00:13.340]  大家本來已經很熟悉的了
[00:00:13.340 --> 00:00:16.560]  今年應該是更加熟悉的
[00:00:16.560 --> 00:00:19.440]  因為在過去幾個月裡面
[00:00:19.440 --> 00:00:23.640]  我的講道都講了這段經文幾次
[00:00:23.640 --> 00:00:26.060]  不知道大家有沒有每一次都聽到
[00:00:26.060 --> 00:00:29.360]  每一次聽了之後記得多少
[00:00:29.360 --> 00:00:31.740]  一會兒我們到結尾的時候
[00:00:31.740 --> 00:00:34.840]  就會有一點點的考試
[00:00:34.840 --> 00:00:38.400]  看看大家記得究竟有多少
[00:00:38.400 --> 00:00:43.640]  因為我也很了解大家和我一樣都是這樣的
[00:00:43.640 --> 00:00:45.140]  我們聽完道
[00:00:45.140 --> 00:00:47.240]  一是水過鴨背
[00:00:47.240 --> 00:00:49.540]  二是左耳入又耳出
[00:00:49.540 --> 00:00:56.440]  三是完全沒有印象聽過這一篇道
[00:00:56.440 --> 00:00:58.440]  所以大家如果要重溫
[00:00:58.440 --> 00:00:59.640]  現在很容易了
[00:00:59.640 --> 00:01:02.640]  上網找一下就可以了
[00:01:02.640 --> 00:01:04.440]  我們再一起祈禱
[00:01:04.440 --> 00:01:06.740]  多謝主奇妙的恩典
[00:01:06.740 --> 00:01:12.240]  在你一切的豐盛裡面來幫助我們
[00:01:12.240 --> 00:01:15.440]  以致我們在日常的生活裡面
[00:01:15.440 --> 00:01:18.840]  繼續見證你的榮耀
[00:01:18.840 --> 00:01:24.940]  也繼續在我們的生活上面去見證你
[00:01:24.940 --> 00:01:28.340]  做你的忠心的門徒
[00:01:28.340 --> 00:01:32.640]  在我們一直學習成長的時候
[00:01:32.640 --> 00:01:38.040]  再次去重溫主耶穌給我們的大使命
[00:01:38.040 --> 00:01:44.640]  也重溫我們在教會本身的使命
[00:01:44.640 --> 00:01:47.440]  去施洗、去教導
[00:01:47.440 --> 00:01:50.240]  究竟是什麼一回事
[00:01:50.240 --> 00:01:52.040]  在這些所有的裡面
[00:01:52.040 --> 00:01:59.740]  我們又怎樣看到、經驗到主你的恩典和恩情
[00:01:59.740 --> 00:02:02.740]  祈求禱告奉靠救主耶穌的名
[00:02:02.740 --> 00:02:03.740]  阿們
[00:02:22.740 --> 00:02:25.240]  多謝主奇妙的恩典
[00:02:25.240 --> 00:02:27.240]  多謝主奇妙的恩典
[00:02:27.240 --> 00:02:29.240]  多謝主奇妙的恩典
[00:02:29.240 --> 00:02:31.240]  多謝主奇妙的恩典
[00:02:31.240 --> 00:02:33.240]  多謝主奇妙的恩典
[00:02:33.240 --> 00:02:35.240]  多謝主奇妙的恩典
[00:02:35.240 --> 00:02:37.240]  多謝主奇妙的恩典
[00:02:37.240 --> 00:02:39.240]  多謝主奇妙的恩典
[00:02:39.240 --> 00:02:41.240]  多謝主奇妙的恩典
