
[00:00:00.000 --> 00:00:03.560]  上個禮拜羅牧師跟我們講到
[00:00:03.560 --> 00:00:06.200]  保羅的「牧者心聲」
[00:00:06.200 --> 00:00:09.280]  我今天就講「牧者情懷」
[00:00:09.280 --> 00:00:12.200]  講回保羅
[00:00:12.200 --> 00:00:16.200]  當年他在貼薩羅尼加傳道
[00:00:16.200 --> 00:00:19.800]  雖然只是短短幾個星期的時間
[00:00:19.800 --> 00:00:23.000]  但是報道的結果又非常之不錯
[00:00:23.000 --> 00:00:24.600]  帶著一些人信主
[00:00:24.600 --> 00:00:26.200]  那些信主的人
[00:00:26.200 --> 00:00:27.600]  他們就成立了
[00:00:27.600 --> 00:00:29.400]  就建立了一個教會
[00:00:29.400 --> 00:00:32.800]  但可惜保羅所做的事
[00:00:32.800 --> 00:00:35.400]  招來一些猶太人的妒忌
[00:00:35.400 --> 00:00:38.200]  他們就招聚一些烏合之眾
[00:00:38.200 --> 00:00:41.800]  來繼續攻擊保羅
[00:00:41.800 --> 00:00:44.600]  他們在搗亂
[00:00:44.600 --> 00:00:45.800]  騷動全城
[00:00:45.800 --> 00:00:47.600]  衝進耶穌的家
[00:00:47.600 --> 00:00:50.200]  搜索保羅和西拉
[00:00:50.200 --> 00:00:51.800]  要把他們搜出來
[00:00:51.800 --> 00:00:53.800]  想把他們交給民眾
[00:00:53.800 --> 00:00:56.800]  所以在情不得已的情況下
[00:00:56.800 --> 00:01:00.400]  弟兄就把保羅和西拉
[00:01:00.400 --> 00:01:03.800]  立即送去比利亞那個地方
[00:01:03.800 --> 00:01:06.000]  保羅和西拉離開了
[00:01:06.000 --> 00:01:08.200]  貼薩羅尼加城之後
[00:01:08.200 --> 00:01:11.000]  有些猶太人就進入了教會
[00:01:11.000 --> 00:01:13.400]  在那裡宣揚一些錯誤的道理
[00:01:13.400 --> 00:01:16.000]  甚至去誣告保羅
[00:01:16.000 --> 00:01:18.400]  不僅說他壞話
[00:01:18.400 --> 00:01:22.200]  還說他的道理可能又不對
[00:01:22.200 --> 00:01:24.200]  以至貼薩羅尼加的信徒
[00:01:24.200 --> 00:01:26.600]  他們都開始有些動搖
[00:01:26.600 --> 00:01:29.200]  那這個保羅還信不信得過呢?
[00:01:29.200 --> 00:01:32.600]  應該信保羅還是信這些猶太人呢?
[00:01:32.600 --> 00:01:36.200]  保羅於是就寫了這封書信
[00:01:36.200 --> 00:01:39.000]  上星期羅姆斯講第二章
[00:01:39.000 --> 00:01:41.200]  就講到保羅的心聲
[00:01:41.200 --> 00:01:42.800]  為他自己昔日在
[00:01:42.800 --> 00:01:47.800]  貼薩羅尼加教會的工作來辯護
[00:01:47.800 --> 00:01:49.000]  今天我們會從
[00:01:49.000 --> 00:01:51.400]  貼薩羅尼加的第三章
[00:01:51.400 --> 00:01:54.600]  來看保羅另一個方面
[00:01:54.600 --> 00:01:58.600]  就是他對貼薩羅尼加信徒的情懷
[00:01:58.600 --> 00:02:03.000]  在剛才大家讀過的經文第三章裡
[00:02:03.000 --> 00:02:04.400]  我們會看到
[00:02:04.400 --> 00:02:08.000]  牧者情懷的三個層面
[00:02:08.000 --> 00:02:11.000]  第一就是牧者的牽掛
[00:02:11.000 --> 00:02:13.800]  在一至五節裡
[00:02:13.800 --> 00:02:15.600]  保羅說道
[00:02:15.600 --> 00:02:17.200]  我們不能再忍下去
