
[00:00:00.000 --> 00:00:02.000]  兄姊妹平安
[00:00:02.000 --> 00:00:07.760]  很開心又和大家一起在愛靈修裏面見面
[00:00:07.760 --> 00:00:11.360]  這次是預苦期的40天的第二天
[00:00:11.360 --> 00:00:15.640]  這次在我自己計算預苦期的時候
[00:00:15.640 --> 00:00:21.020]  是第二天 由40個角度去看主耶穌基督
[00:00:21.020 --> 00:00:27.220]  希望這40天能夠幫助我們更多的認識主耶穌
[00:00:27.220 --> 00:00:30.580]  我改了一個題目 大題目就是主耶穌
[00:00:30.580 --> 00:00:34.740]  我主 我神 你是我的主 是我的神
[00:00:34.740 --> 00:00:39.000]  40天 40個角度看主耶穌基督
[00:00:39.000 --> 00:00:43.940]  今天來到第二天 你是基督 你是哪一位?
[00:00:43.940 --> 00:00:49.780]  你是基督 我們祈禱
[00:00:49.780 --> 00:00:53.220]  求天父上帝幫助我們
[00:00:53.220 --> 00:00:57.260]  在這個時候 我認定可以更多認識的
[00:00:57.260 --> 00:01:01.460]  認定的是你自己的兒子 耶穌基督
[00:01:01.460 --> 00:01:04.940]  就是我們的救世主
[00:01:04.940 --> 00:01:10.300]  幫助我們 你揀選屬於你的人在地上
[00:01:10.300 --> 00:01:13.260]  他以人的身份出現 耶穌基督
[00:01:13.260 --> 00:01:18.340]  我們在這裏讚美 跟隨 滿有信心
[00:01:18.340 --> 00:01:21.900]  願上主得救榮耀 父神你是愛我們的
[00:01:21.900 --> 00:01:24.840]  你是願意你的國臨到這個世界
[00:01:24.840 --> 00:01:28.340]  你是願意你的子兒成就
[00:01:28.340 --> 00:01:30.660]  所以在人類犯罪背影的時候
[00:01:30.660 --> 00:01:36.280]  你就猜猜耶穌你自己的兒子來到我們當中
[00:01:36.280 --> 00:01:41.340]  讚美你 幫助我們認識更多關於基督
[00:01:41.340 --> 00:01:44.380]  認識更多跟隨基督
[00:01:44.380 --> 00:01:51.020]  而且我們的腳步是在行動上著實的跟隨基督
[00:01:51.020 --> 00:01:54.660]  但願榮耀尊貴 歸在耶穌基督
[00:01:54.660 --> 00:01:58.700]  父神聖靈三一上主的名下
[00:01:58.700 --> 00:02:02.400]  你配受稱讚 你已經獲得稱讚
[00:02:02.400 --> 00:02:07.740]  我高舉你 我要讚美你 我尊崇你
[00:02:07.740 --> 00:02:15.120]  各道權並榮耀 全是你的 直到永遠 阿們
[00:02:15.120 --> 00:02:23.380]  各位姐妹 我仍然在柬埔寨工作 遲了一點錄影
[00:02:23.380 --> 00:02:27.160]  希望大家能夠原諒忍耐
[00:02:27.160 --> 00:02:32.000]  來到第二天的時候 主題是「你是基督」
[00:02:32.000 --> 00:02:35.300]  在一個大的分類之下 就是你是哪一位?
[00:02:35.300 --> 00:02:39.300]  你是誰? 讓我們更加認識耶穌基督
[00:02:39.300 --> 00:02:45.300]  《馬太福音》十六章十六節 相信是大家很熟悉的經文
[00:02:45.300 --> 00:02:54.160]  西門彼得回答說 你是基督 是永生上帝的兒子
[00:02:54.160 --> 00:03:00.680]  背景就是主耶穌去到北部蓋薩尼亞菲勒比
[00:03:00.680 --> 00:03:05.900]  比加利利他在那裏生活慣的地方更北一點
[00:03:05.900 --> 00:03:10.720]  蓋薩尼亞菲勒比其實就是希律王
[00:03:10.720 --> 00:03:15.940]  大希律的兒子之一 他的名字叫做菲勒比
[00:03:15.940 --> 00:03:21.580]  大希律就做了一個城市 一個海港新的城市
[00:03:21.580 --> 00:03:23.780]  叫做蓋薩尼亞
[00:03:23.780 --> 00:03:31.460]  很多的宗教政治、軍力等等的總部都去了蓋薩尼亞
[00:03:31.460 --> 00:03:37.300]  就在以色列的北部海邊 不是很北 但是算是北的了
