
[00:00:00.000 --> 00:00:02.000]  好,各位電視節目,早晨!
[00:00:02.000 --> 00:00:08.880]  我老婆經常說,衣服放在家裡不穿,麻煩扔掉
[00:00:08.880 --> 00:00:12.660]  我想,一年穿一次也好
[00:00:12.660 --> 00:00:15.640]  也不穿多久,大家例次都這樣說
[00:00:15.640 --> 00:00:18.440]  所以也要穿一下,是不是?
[00:00:18.440 --> 00:00:21.440]  我想,給你一個挑戰
[00:00:21.440 --> 00:00:23.440]  Maria,明年穿旗袍回來
[00:00:23.440 --> 00:00:25.440]  好不好?
[00:00:25.440 --> 00:00:27.440]  也不穿得下,對不對?
[00:00:27.440 --> 00:00:31.440]  感謝你,農曆年初二的時候
[00:00:31.440 --> 00:00:34.440]  恭喜大家,萬事如神意
[00:00:34.440 --> 00:00:36.440]  天才滾滾來
[00:00:36.440 --> 00:00:38.440]  為什麼我要穿這件衣服呢?
[00:00:38.440 --> 00:00:42.440]  因為今天的主題就是要珍惜甘田
[00:00:42.440 --> 00:00:44.440]  還可以穿得下
[00:00:44.440 --> 00:00:46.440]  穿上這件衣服
[00:00:46.440 --> 00:00:49.440]  希伯來書第三章第一節和七節十一節裡面
[00:00:49.440 --> 00:00:52.440]  帶給我們的一個主題
[00:00:52.440 --> 00:00:54.440]  很多人看希伯來書
[00:00:54.440 --> 00:00:57.440]  覺得希伯來書不太實用
[00:00:57.440 --> 00:00:59.440]  經常說很多神學上的東西
[00:00:59.440 --> 00:01:01.440]  但我希望我和一班同工
[00:01:01.440 --> 00:01:04.440]  都能從書裡面讓我們看到
[00:01:04.440 --> 00:01:07.440]  希伯來書是一本很實用的書
[00:01:07.440 --> 00:01:10.440]  帶領我們過我們基督徒的人生
[00:01:10.440 --> 00:01:13.440]  希伯來書第三章一節和七節十一節
[00:01:13.440 --> 00:01:15.440]  這個和修本的經文
[00:01:15.440 --> 00:01:17.440]  怎樣跟我們說
[00:01:17.440 --> 00:01:19.440]  同蒙天照的聖潔弟兄我
[00:01:19.440 --> 00:01:24.440]  要思想我們所宣認為是者為大祭司的耶穌
[00:01:24.440 --> 00:01:26.440]  所以正如聖靈所說
[00:01:26.440 --> 00:01:29.440]  今天你們若聽他的話就不可硬著心
[00:01:29.440 --> 00:01:31.440]  像在背叛之時
[00:01:31.440 --> 00:01:33.440]  就如在曠野受試探之日
[00:01:33.440 --> 00:01:36.440]  在那裡你們的祖宗試探我
[00:01:36.440 --> 00:01:38.440]  並且觀看我的作為
[00:01:38.440 --> 00:01:40.440]  有四十年之久
[00:01:40.440 --> 00:01:42.440]  所以我厭煩那世代說
[00:01:42.440 --> 00:01:44.440]  他們的心常常迷惑
[00:01:44.440 --> 00:01:46.440]  竟不知道我的道路
[00:01:46.440 --> 00:01:49.440]  他們斷不可進入我的安息
[00:01:49.440 --> 00:01:51.440]  弟兄們你們要謹慎
[00:01:51.440 --> 00:01:54.440]  免得你們中間有人存著邪惡不信的心
[00:01:54.440 --> 00:01:56.440]  離棄了永生的上帝
[00:01:56.440 --> 00:01:58.440]  總要趁著環有今天
[00:01:58.440 --> 00:02:00.440]  天天彼此勸勉
[00:02:00.440 --> 00:02:02.440]  免得你們中間有人被醉迷惑
[00:02:02.440 --> 00:02:04.440]  心腸剛硬了
[00:02:04.440 --> 00:02:08.440]  只要我們將起初確實的信心堅持到底
[00:02:08.440 --> 00:02:11.440]  做在基督裡有份了
[00:02:11.440 --> 00:02:15.440]  弟兄們我們怎樣珍惜我們現在有的今天呢
