
[00:00:00.000 --> 00:00:04.120]  今日是充滿驚喜的日子
[00:00:04.120 --> 00:00:07.240]  我希望香港有驚喜
[00:00:07.240 --> 00:00:10.760]  就算香港沒有你所要的驚喜
[00:00:10.760 --> 00:00:15.080]  你的人生也一樣應該有驚喜
[00:00:15.080 --> 00:00:20.320]  因為今天是有福的主日
[00:00:20.320 --> 00:00:23.000]  是一個精彩的主日
[00:00:23.000 --> 00:00:25.560]  大家今天開始得很精彩
[00:00:25.560 --> 00:00:29.840]  我看到小孩子戴著沙鎚
[00:00:29.840 --> 00:00:31.960]  看到我們大家一起唱
[00:00:31.960 --> 00:00:33.960]  是非常精彩
[00:00:33.960 --> 00:00:36.360]  我真的希望每一個人
[00:00:36.360 --> 00:00:41.520]  你的生命都能夠時不時都精彩
[00:00:41.520 --> 00:00:44.480]  能夠時時精彩當然好
[00:00:44.480 --> 00:00:49.560]  但如果能夠時不時都有些精彩
[00:00:49.560 --> 00:00:50.640]  這樣也不錯
[00:00:50.640 --> 00:00:53.320]  所以我今天給你一點驚嚇
[00:00:53.320 --> 00:00:55.560]  我就給你一首
[00:00:55.560 --> 00:00:57.320]  我看到我們姐妹
[00:00:57.320 --> 00:00:59.320]  她彈琴真的
[00:00:59.320 --> 00:01:02.320]  一邊彈的時候我已經想拿出來
[00:01:02.320 --> 00:01:03.760]  夾著吹
[00:01:03.760 --> 00:01:06.240]  不過怕搗亂就不太好
[00:01:06.240 --> 00:01:08.320]  但這個是我的時間
[00:01:08.320 --> 00:01:10.520]  任我做什麼都可以
[00:01:10.520 --> 00:01:13.800]  所以可不可以我們用一首
[00:01:13.800 --> 00:01:15.360]  Amazing Grace
[00:01:15.360 --> 00:01:17.560]  我們由F key開始
[00:01:17.560 --> 00:01:21.520]  這樣一起先送這首歌給大家
[00:01:21.520 --> 00:01:24.560]  剛才因太
[00:01:24.560 --> 00:01:26.280]  是不是叫因太
[00:01:26.280 --> 00:01:30.200]  即是2月18日開始做因太
[00:01:30.200 --> 00:01:32.360]  她的生命會改變
[00:01:32.360 --> 00:01:34.920]  我覺得就是這樣
[00:01:34.920 --> 00:01:37.640]  有很奇妙的因典
[00:01:37.640 --> 00:01:40.120]  香港人
[00:01:40.120 --> 00:01:43.240]  你的家庭所需要的
[00:01:43.240 --> 00:01:46.640]  不是接下來五年誰做特首
[00:01:46.640 --> 00:01:49.240]  雖然都希望有一個合理心水
[00:01:49.240 --> 00:01:52.800]  合全香港人更加好的人
[00:01:52.800 --> 00:01:55.400]  或者你說現在三個都不好
[00:01:55.400 --> 00:01:59.000]  我一定是在等最後那個
[00:01:59.000 --> 00:02:00.400]  但告訴你
[00:02:00.400 --> 00:02:01.880]  真正需要的
[00:02:01.880 --> 00:02:03.720]  無論怎樣
[00:02:03.720 --> 00:02:05.880]  我們的心誰做主
[00:02:05.880 --> 00:02:08.800]  我們的生命誰一直帶著
[00:02:08.800 --> 00:02:10.920]  這個是好到不能彈
[00:02:10.920 --> 00:02:12.680]  我等一下再講下去
[00:02:12.680 --> 00:02:14.720]  麻煩你幫我
[00:02:19.240 --> 00:02:20.840]  無論怎樣
[00:02:20.840 --> 00:02:24.280]  我們的心誰做主
[00:02:24.280 --> 00:02:27.680]  我們的生命誰一直帶著
[00:02:27.680 --> 00:02:29.120]  無論怎樣
[00:02:29.120 --> 00:02:32.560]  我們的生命誰一直帶著
