
[00:00:00.000 --> 00:00:03.000]  今天我們看周圍的世界
[00:00:03.000 --> 00:00:07.000]  我們發現有很多的問題
[00:00:07.000 --> 00:00:12.000]  譬如我們看到朝鮮半島的危機
[00:00:12.000 --> 00:00:16.000]  中東的戰爭繼續
[00:00:16.000 --> 00:00:19.000]  英國決定脫離歐洲
[00:00:19.000 --> 00:00:22.000]  美國有一個很特別的總統
[00:00:22.000 --> 00:00:27.000]  各地都發生恐怖分子的襲擊
[00:00:27.000 --> 00:00:30.000]  如果我們把它收窄到香港
[00:00:30.000 --> 00:00:32.000]  也有不少問題
[00:00:32.000 --> 00:00:38.000]  貧富懸殊、房價昂貴、政治爭拗
[00:00:38.000 --> 00:00:41.000]  還有道德上的問題
[00:00:41.000 --> 00:00:47.000]  我們以前說同性戀
[00:00:47.000 --> 00:00:52.000]  現在又加上雙性戀、變性戀
[00:00:52.000 --> 00:00:55.000]  我記得在二十多年前
[00:00:55.000 --> 00:00:57.000]  我小朋友還在小學的時候
[00:00:57.000 --> 00:01:00.000]  有一次在家長會裏面
[00:01:00.000 --> 00:01:03.000]  我跟副校長有個爭辯
[00:01:03.000 --> 00:01:06.000]  我們推行性教育
[00:01:06.000 --> 00:01:09.000]  不過我們不會教小朋友小學
[00:01:09.000 --> 00:01:12.000]  不會教小朋友應不應該有性行為
[00:01:12.000 --> 00:01:14.000]  只教他們應該怎樣做
[00:01:14.000 --> 00:01:18.000]  我說你叫小學生不要吸毒
[00:01:18.000 --> 00:01:20.000]  你叫他不要吸煙
[00:01:20.000 --> 00:01:25.000]  為什麼你不可以叫他小學不應該有性行為
[00:01:25.000 --> 00:01:27.000]  這是二十多年前的事
[00:01:27.000 --> 00:01:29.000]  現在你知不知道情況如何
[00:01:29.000 --> 00:01:32.000]  有些歐美國家的學校
[00:01:32.000 --> 00:01:33.000]  看看哪一區
[00:01:33.000 --> 00:01:35.000]  他教小朋友
[00:01:35.000 --> 00:01:37.000]  你如果今天覺得自己是個女生
[00:01:37.000 --> 00:01:39.000]  你就是個女生
[00:01:39.000 --> 00:01:41.000]  你可以去女性洗手間
[00:01:41.000 --> 00:01:43.000]  如果你明天覺得自己是個男生
[00:01:43.000 --> 00:01:44.000]  你就是個男生
[00:01:44.000 --> 00:01:46.000]  你可以去男性洗手間
[00:01:46.000 --> 00:01:48.000]  在座當中
[00:01:48.000 --> 00:01:52.000]  如果你的子女在學校接受這樣的教育
[00:01:52.000 --> 00:01:54.000]  你會有什麼感想
[00:01:54.000 --> 00:01:57.000]  隔壁的小朋友是有福的
[00:01:57.000 --> 00:02:01.000]  因為他們所受的是神給他們的教訓
[00:02:01.000 --> 00:02:05.000]  是幫助到他們將來拒絕這些東西
[00:02:05.000 --> 00:02:08.000]  但是現在我們面臨這個社會
[00:02:08.000 --> 00:02:10.000]  就是一個這樣的社會
[00:02:10.000 --> 00:02:14.000]  我們家長教會面臨這個環境
