
[00:00:00.000 --> 00:00:02.360]  各位港福堂的弟兄姊妹平安
[00:00:02.360 --> 00:00:04.720]  今天是一個猜拳的主日
[00:00:04.720 --> 00:00:07.120]  我們盼望在這個猜拳主日當中
[00:00:07.120 --> 00:00:09.400]  我們再一次被神的話語激勵
[00:00:09.400 --> 00:00:12.160]  提醒有關猜拳的使命
[00:00:12.160 --> 00:00:14.040]  有關猜拳的承擔
[00:00:14.040 --> 00:00:15.780]  讓我們先一起祈禱
[00:00:15.780 --> 00:00:17.360]  求主耶穌你幫助我們
[00:00:17.360 --> 00:00:19.020]  你是猜拳的主
[00:00:19.020 --> 00:00:21.200]  你是成就救恩的主
[00:00:21.200 --> 00:00:22.700]  我們是你的僕人
[00:00:22.700 --> 00:00:24.000]  我們是屬於你的
[00:00:24.000 --> 00:00:25.120]  求你使用我們
[00:00:25.120 --> 00:00:26.880]  能夠在你的使命上
[00:00:26.880 --> 00:00:28.680]  我們繼續的承擔
[00:00:28.680 --> 00:00:30.960]  我們忠於祢所託付給我們的
[00:00:30.960 --> 00:00:32.720]  讓我們在我們的社區
[00:00:32.720 --> 00:00:35.000]  在我們的環境當中
[00:00:35.000 --> 00:00:36.520]  在我們的群體當中
[00:00:36.520 --> 00:00:39.320]  我們好好去履行我們猜拳的使命
[00:00:39.320 --> 00:00:40.700]  帶領我們以下時間
[00:00:40.700 --> 00:00:42.200]  奉耶穌的名祈禱
[00:00:42.200 --> 00:00:43.080]  阿們
[00:00:59.440 --> 00:01:01.480]  那輛車怎麼辦呢?
[00:01:01.480 --> 00:01:03.680]  這位太太說聽完我老公這樣說
[00:01:03.680 --> 00:01:06.200]  她說我真的心灰意冷
[00:01:06.200 --> 00:01:08.400]  想不到我跟他說撞車很嚴重
[00:01:08.400 --> 00:01:09.840]  她關心的不是我
[00:01:09.840 --> 00:01:11.200]  是那輛車
[00:01:11.200 --> 00:01:14.000]  有時候人在情急之下
[00:01:14.000 --> 00:01:15.920]  會顯出他的真相
[00:01:15.920 --> 00:01:17.260]  我們有人會說
[00:01:17.260 --> 00:01:19.440]  走後會吐真言
[00:01:19.440 --> 00:01:21.200]  其實今天我們在疫情當中
[00:01:21.200 --> 00:01:23.720]  經歷了差不多一年時間
[00:01:23.720 --> 00:01:26.080]  患難真的會見真情
[00:01:26.080 --> 00:01:29.600]  苦難真的應該會顯出我們的信仰
[00:01:29.600 --> 00:01:32.620]  我們應該在這個時候團結互助
[00:01:32.620 --> 00:01:36.940]  但很多時候看到的是人性的自私和醜惡
[00:01:36.940 --> 00:01:39.360]  我們應該表現出我們的信仰
[00:01:39.360 --> 00:01:42.380]  但又看見很多教會束手無策
[00:01:42.380 --> 00:01:45.600]  甚至有些在坐以待斃
[00:01:45.600 --> 00:01:48.240]  上個星期我在一間教會講道
[00:01:48.240 --> 00:01:51.240]  講完道跟一個目者來聊天
[00:01:51.240 --> 00:01:53.360]  在聊天當中他跟我說
[00:01:53.360 --> 00:01:57.260]  為何大家在講教會全面重開的事
[00:01:57.260 --> 00:02:01.800]  他說在聊天當中看到信徒的質素
[00:02:01.800 --> 00:02:05.200]  真實的情況是如何
[00:02:05.200 --> 00:02:07.800]  他後來給了我一個電郵寫了一句話
[00:02:07.800 --> 00:02:09.560]  我也覺得很特別
[00:02:09.560 --> 00:02:11.400]  他說退朝之後
[00:02:11.400 --> 00:02:16.760]  我們就會看到哪個人在裸泳
[00:02:16.760 --> 00:02:20.120]  看到一個人的信仰到底是如何
[00:02:20.120 --> 00:02:24.160]  信徒在這個時候不是抱著我們所擁有的
[00:02:24.160 --> 00:02:26.800]  怕死失去我們所有的
[00:02:26.800 --> 00:02:29.400]  而是應該善用我們所有的
[00:02:29.400 --> 00:02:32.620]  要出去用我們所有的
[00:02:32.620 --> 00:02:35.460]  很多信徒忘記了自己的身份
[00:02:35.460 --> 00:02:37.340]  忘記了自己的信仰
[00:02:37.340 --> 00:02:39.400]  忘記了自己的使命
[00:02:39.400 --> 00:02:41.700]  今天很多時候只顧著保命
[00:02:41.700 --> 00:02:43.600]  忘記了使命
[00:02:43.600 --> 00:02:46.880]  盼望今天猜拳主日再一次提醒我們
[00:02:46.880 --> 00:02:49.880]  再一次重溫一下我們的使命
[00:02:49.880 --> 00:02:53.200]  有兩個說話在我神學院裡讀宣教學的時候
[00:02:53.200 --> 00:02:55.840]  我留下在我心中一直到今天
[00:02:55.840 --> 00:02:57.560]  這兩個說話是怎麼說的呢?
[00:02:57.560 --> 00:03:00.200]  就是教會是為宣教而生
[00:03:00.200 --> 00:03:03.360]  教會也是為宣教而傳
[00:03:03.360 --> 00:03:05.440]  沒有宣教沒有教會
[00:03:05.440 --> 00:03:07.760]  有教會為宣教
[00:03:07.760 --> 00:03:09.800]  我也是因為有人傳福音給我
[00:03:09.800 --> 00:03:11.360]  以致我信耶穌
[00:03:11.360 --> 00:03:13.120]  我是因為有人傳福音給我
[00:03:13.120 --> 00:03:13.920]  我信耶穌
[00:03:13.920 --> 00:03:14.920]  我信耶穌
[00:03:14.920 --> 00:03:17.120]  我要去傳福音
[00:03:17.120 --> 00:03:19.900]  今天全世界在中國海外
[00:03:19.900 --> 00:03:21.540]  中國本土海外
[00:03:21.540 --> 00:03:24.980]  有大概九千間華人教會
[00:03:24.980 --> 00:03:28.880]  但是全球四十二萬五千宣教士裡面
[00:03:28.880 --> 00:03:32.640]  只有接近一千位華人宣教士
[00:03:32.640 --> 00:03:35.880]  到底華人教會在猜拳宣教時
[00:03:35.880 --> 00:03:38.840]  在宣教事工上的參與
[00:03:38.840 --> 00:03:41.540]  為什麼這麼弱呢?
[00:03:41.540 --> 00:03:46.700]  教會要怎樣才能成為一間忠於猜拳的教會?
[00:03:46.700 --> 00:03:49.680]  今天跟大家會看一間教會
[00:03:49.680 --> 00:03:52.120]  這間教會不是在香港
[00:03:52.120 --> 00:03:53.660]  不是在加拿大
[00:03:53.660 --> 00:03:57.600]  是在耶路撒冷以北五百公里的地方
[00:03:57.600 --> 00:04:00.400]  這間教會叫做安提亞教會
[00:04:00.400 --> 00:04:03.160]  剛才我讀了《使徒函主》十一章和十三章
[00:04:03.160 --> 00:04:05.040]  提到這個教會的情況
[00:04:05.040 --> 00:04:08.120]  我們從這個教會的身上學習兩件事
[00:04:08.120 --> 00:04:10.360]  一個教會要忠於猜拳
[00:04:10.360 --> 00:04:12.680]  它必須要勤於傳道
[00:04:12.680 --> 00:04:15.100]  同時它要體重猜拳
[00:04:15.100 --> 00:04:17.100]  我們先看《使徒函主》十一章
[00:04:17.100 --> 00:04:19.460]  十九節至二十六節
[00:04:19.460 --> 00:04:21.320]  剛才讀了這段經文
[00:04:21.320 --> 00:04:25.680]  十一章第十九節提到
[00:04:25.680 --> 00:04:27.400]  很多人因為試題反
