
[00:00:00.000 --> 00:00:03.820]  如果我們慣常做一件事
[00:00:03.820 --> 00:00:06.040]  慢慢變成一種習慣的時候
[00:00:06.040 --> 00:00:09.900]  你就不會想我做這件事的目的在哪裡
[00:00:09.900 --> 00:00:11.400]  很簡單舉個例子
[00:00:11.400 --> 00:00:13.400]  如果我們有實體崇拜
[00:00:13.400 --> 00:00:18.440]  習慣了 我不知道教會崇拜聖壇前面是不是有盆花的
[00:00:18.440 --> 00:00:21.160]  那你想一想為什麼會放盆花在那裡呢?
[00:00:21.160 --> 00:00:23.160]  可不可以放一些水果在那裡呢?
[00:00:23.160 --> 00:00:24.920]  甚至可以放一隻雞在那裡呢?
[00:00:24.920 --> 00:00:26.200]  行不行呢?
[00:00:26.200 --> 00:00:28.200]  不是不行的
[00:00:28.200 --> 00:00:31.940]  究竟背後的因素為什麼會放盆花
[00:00:31.940 --> 00:00:34.620]  又或者為什麼有時候我們要點蠟燭呢?
[00:00:34.620 --> 00:00:36.120]  但我們已經習慣了
[00:00:36.120 --> 00:00:39.720]  所以我們不會再去理會這件事
[00:00:39.720 --> 00:00:42.020]  可能我們禱告都習慣了
[00:00:42.020 --> 00:00:44.020]  做幾個普致不會祈禱
[00:00:44.020 --> 00:00:48.640]  但是此耶穌在登山寶法裡面教導門徒
[00:00:48.640 --> 00:00:49.960]  怎樣去祈禱
[00:00:49.960 --> 00:00:51.960]  到今天我們都搞錯了
[00:00:51.960 --> 00:00:53.960]  我們經常稱這些為主禱文
[00:00:53.960 --> 00:00:55.320]  我無在天上的父
[00:00:55.320 --> 00:00:57.800]  其實這些不是主禱文
[00:00:57.800 --> 00:00:59.800]  是耶穌教我們去祈禱
[00:00:59.800 --> 00:01:01.800]  是我們的禱文
[00:01:01.800 --> 00:01:04.800]  真正的主禱文其實是在《約翰福音》
[00:01:04.800 --> 00:01:06.300]  大祭司的禱告
[00:01:06.300 --> 00:01:08.800]  耶穌臨離開世界之前的那個祈禱
[00:01:08.800 --> 00:01:10.040]  那個才叫做主禱文
[00:01:10.040 --> 00:01:12.040]  這個就是我們慣常
[00:01:12.040 --> 00:01:14.040]  以為是對的
[00:01:14.040 --> 00:01:16.040]  但某個程度可能我們會有偏差
[00:01:16.040 --> 00:01:18.800]  甚至我很相信有些基督徒
[00:01:18.800 --> 00:01:20.800]  特別我剛剛做基督徒的時候
[00:01:20.800 --> 00:01:22.800]  有時候我們是寧願祈禱
[00:01:22.800 --> 00:01:24.800]  就較為少看聖經的
[00:01:24.800 --> 00:01:27.800]  因為不太明白 禱告講幾句很容易
[00:01:27.800 --> 00:01:31.800]  當然這個絕對不是一個健全的發展
[00:01:31.800 --> 00:01:33.800]  我們要來去讀聖經
[00:01:33.800 --> 00:01:35.800]  了解神的心意
[00:01:35.800 --> 00:01:37.800]  按神的心意去祈禱
[00:01:37.800 --> 00:01:39.800]  這個是很重要的
[00:01:39.800 --> 00:01:41.800]  但為什麼我們要去祈禱呢?
[00:01:41.800 --> 00:01:45.800]  如果神一早已經為我們計劃好了
[00:01:45.800 --> 00:01:47.800]  甚至聖經裡面很清楚說
[00:01:47.800 --> 00:01:48.800]  我們未祈求已先
[00:01:48.800 --> 00:01:50.800]  神已經為我們來有預備
[00:01:50.800 --> 00:01:52.800]  那我還祈禱來做什麼呢?
[00:01:52.800 --> 00:01:54.800]  你的神恩仔很小的時候
[00:01:54.800 --> 00:01:55.800]  他不需要跟你說
[00:01:55.800 --> 00:01:56.800]  爹地媽咪啊
[00:01:56.800 --> 00:01:57.800]  你教我讀書吧
[00:01:57.800 --> 00:01:58.800]  我需要讀書
[00:01:58.800 --> 00:02:00.800]  他不讀你也要逼他讀
[00:02:00.800 --> 00:02:02.800]  他一定就已經要怎樣呢?
[00:02:02.800 --> 00:02:04.800]  你已經安排了
[00:02:04.800 --> 00:02:06.800]  你帶他去讀哪間學校
[00:02:06.800 --> 00:02:08.800]  他用得著你帶他去祈求嗎?
[00:02:08.800 --> 00:02:11.800]  所以禱告的內容和方向是怎樣呢?
[00:02:11.800 --> 00:02:13.800]  我們就會去看了
[00:02:13.800 --> 00:02:15.800]  我們先來讀一段經文
[00:02:15.800 --> 00:02:20.800]  《八德方案》第六章第五到第十五節
[00:02:20.800 --> 00:02:22.800]  我們請Samuel給我們讀出來
[00:02:22.800 --> 00:02:23.800]  好
[00:02:23.800 --> 00:02:26.800]  《八德方案》第六章第五節
[00:02:26.800 --> 00:02:28.800]  你們禱告的時候
[00:02:28.800 --> 00:02:31.800]  不可像把假冒為善的人
[00:02:31.800 --> 00:02:36.800]  愛站在會堂裡和十字路口上禱告
[00:02:36.800 --> 00:02:38.800]  故意叫人看見
[00:02:38.800 --> 00:02:40.800]  我實在告訴你們
[00:02:40.800 --> 00:02:44.800]  他們已經得了他們的獎賞
[00:02:44.800 --> 00:02:46.800]  你禱告的時候
[00:02:46.800 --> 00:02:48.800]  要盡你的內奧
[00:02:48.800 --> 00:02:50.800]  關上門
[00:02:50.800 --> 00:02:52.800]  禱告你在暗中的乎
[00:02:52.800 --> 00:02:55.800]  你乎在暗中察看
[00:02:55.800 --> 00:02:57.800]  必然報答
[00:02:57.800 --> 00:03:01.800]  你們禱告
[00:03:01.800 --> 00:03:03.800]  不可障礙邦人
[00:03:03.800 --> 00:03:05.800]  容許多重覆話
[00:03:05.800 --> 00:03:07.800]  他們以為話多了
[00:03:07.800 --> 00:03:09.800]  必蒙誰聽
[00:03:09.800 --> 00:03:11.800]  你們不可效法他們
[00:03:11.800 --> 00:03:14.800]  因為你們沒有祈求以先
[00:03:14.800 --> 00:03:16.800]  你們所需要的
[00:03:16.800 --> 00:03:19.800]  你們的乎早已知道了
[00:03:19.800 --> 00:03:23.800]  所以你們禱告要這樣說
[00:03:23.800 --> 00:03:26.800]  我們在天上的乎
[00:03:26.800 --> 00:03:30.800]  願人都尊你的名為聖
[00:03:30.800 --> 00:03:33.800]  願你的國降臨
[00:03:33.800 --> 00:03:36.800]  願你的旨意行在地上
[00:03:36.800 --> 00:03:39.800]  如同行在天上
[00:03:39.800 --> 00:03:41.800]  我們日用的飲食
[00:03:41.800 --> 00:03:44.800]  今日賜給我們
[00:03:44.800 --> 00:03:46.800]  免我們的債
[00:03:46.800 --> 00:03:50.800]  如同我們免了人的債
[00:03:50.800 --> 00:03:53.800]  不叫我們遇見私貪
[00:03:53.800 --> 00:03:56.800]  救我們脫離凶惡
[00:03:56.800 --> 00:03:58.800]  因為國度
[00:03:58.800 --> 00:04:00.800]  權柄榮耀
[00:04:00.800 --> 00:04:02.800]  全是你的
[00:04:02.800 --> 00:04:04.800]  直到永遠
[00:04:04.800 --> 00:04:06.800]  阿們
[00:04:06.800 --> 00:04:09.800]  你們饒恕人的過犯
[00:04:09.800 --> 00:04:13.800]  你們的天賦也必饒恕你們的過犯
[00:04:13.800 --> 00:04:16.800]  你們饒恕人的過犯
[00:04:16.800 --> 00:04:22.800]  你們的天賦也必饒恕你們的過犯
[00:04:22.800 --> 00:04:24.800]  在這裡我們會探討
[00:04:24.800 --> 00:04:26.800]  禱告的意義在哪裡
[00:04:26.800 --> 00:04:29.800]  很多時候我們以為
[00:04:29.800 --> 00:04:31.800]  祈禱只是去求
[00:04:31.800 --> 00:04:34.800]  有事就向神求
[00:04:34.800 --> 00:04:36.800]  但是我最近都挺好
[00:04:36.800 --> 00:04:37.800]  挺順利
[00:04:37.800 --> 00:04:39.800]  健康又不錯
[00:04:39.800 --> 00:04:41.800]  事業發展得挺好
[00:04:41.800 --> 00:04:43.800]  或者我已經退下來了
[00:04:43.800 --> 00:04:44.800]  安享晚年的時候
[00:04:44.800 --> 00:04:46.800]  無風無浪
[00:04:46.800 --> 00:04:48.800]  那我何須去祈求呢?
[00:04:48.800 --> 00:04:52.800]  如果我們以為禱告只是祈求的話
[00:04:52.800 --> 00:04:56.800]  其實我們將神成為一個偶像式的敬拜
[00:04:56.800 --> 00:04:58.800]  或者是自然神
[00:04:58.800 --> 00:04:59.800]  你留意一下
[00:04:59.800 --> 00:05:01.800]  臨急才抱佛腳
[00:05:01.800 --> 00:05:04.800]  人們有事才會去廟裡
[00:05:04.800 --> 00:05:06.800]  去品神
[00:05:06.800 --> 00:05:11.800]  我們會刻意地去特意的沒有事都去品神
[00:05:11.800 --> 00:05:14.800]  所以你留意到我們的信仰是很獨特的
[00:05:14.800 --> 00:05:16.800]  神是愛
[00:05:16.800 --> 00:05:19.800]  愛是互相的帶入去交流
[00:05:19.800 --> 00:05:22.800]  但是很多時候我們不想我們的神
[00:05:22.800 --> 00:05:25.800]  涉及我們那個日常的生活
[00:05:25.800 --> 00:05:27.800]  覺得基督教其實不錯的
[00:05:27.800 --> 00:05:28.800]  挺合理
[00:05:28.800 --> 00:05:29.800]  道理都不錯的
[00:05:29.800 --> 00:05:31.800]  群體生活又可以互相照顧
[00:05:31.800 --> 00:05:33.800]  那就不錯了
[00:05:33.800 --> 00:05:36.800]  有時候回到教會會得到一些慰藉
[00:05:36.800 --> 00:05:39.800]  或者我在教會裡面做一些事的時候
[00:05:39.800 --> 00:05:42.800]  可以覺得自我很存在感
[00:05:42.800 --> 00:05:43.800]  挺好的
[00:05:43.800 --> 00:05:45.800]  於是就回到教會
[00:05:45.800 --> 00:05:49.800]  但是我們不用神入侵我們很私底下的生活
[00:05:49.800 --> 00:05:52.800]  有時候如果我們想要禱告
[00:05:52.800 --> 00:05:53.800]  是這樣的時候
[00:05:53.800 --> 00:05:55.800]  只是有事要去求
[00:05:55.800 --> 00:05:57.800]  跟那些人去拜偶像
[00:05:57.800 --> 00:06:00.800]  去上香有什麼分別呢?
[00:06:00.800 --> 00:06:02.800]  聖經裡面很清楚的說
