
[00:00:00.000 --> 00:00:05.000]  我們今天要從第十九章這些經文
[00:00:05.000 --> 00:00:09.000]  一直到十九章的最後結束的時候
[00:00:09.000 --> 00:00:13.000]  我們要來思想幾件事情
[00:00:13.000 --> 00:00:17.000]  我們題目就是神蹟奇事的目的
[00:00:17.000 --> 00:00:21.000]  是要證實所傳的福音
[00:00:21.000 --> 00:00:25.000]  這個傳福音是一個鼠靈的征戰
[00:00:25.000 --> 00:00:28.000]  它是要把人的心意奪回來
[00:00:28.000 --> 00:00:30.000]  因爲人沒有新主義權
[00:00:30.000 --> 00:00:33.000]  他的心意是被這個世界
[00:00:33.000 --> 00:00:38.000]  被這個惡魔魔鬼所影響的
[00:00:38.000 --> 00:00:41.000]  所以這個福音呢就是一個征戰
[00:00:41.000 --> 00:00:45.000]  要把人裏頭的心意給奪回來
[00:00:45.000 --> 00:00:48.000]  使他能夠歸順極度
[00:00:48.000 --> 00:00:53.000]  所以在這個哥林多後書第十章第四節
[00:00:53.000 --> 00:00:56.000]  就是說到傳福音的目的了
[00:00:56.000 --> 00:00:59.000]  傳福音的目的呢
[00:00:59.000 --> 00:01:00.000]  保祿就說了
[00:01:00.000 --> 00:01:03.000]  他說我們的征戰的兵器
[00:01:03.000 --> 00:01:06.000]  本不是所學習的
[00:01:06.000 --> 00:01:08.000]  不是像世界上打仗的人
[00:01:08.000 --> 00:01:10.000]  用刀用槍的
[00:01:10.000 --> 00:01:14.000]  而是要像各樣的計謀啊
[00:01:14.000 --> 00:01:16.000]  跟着各樣的染祖人
[00:01:16.000 --> 00:01:19.000]  認識神那些至高的事情
[00:01:19.000 --> 00:01:21.000]  一概都攻破了
[00:01:21.000 --> 00:01:26.000]  又將人所有的心意奪回
[00:01:26.000 --> 00:01:28.000]  使他都順服極度
[00:01:28.000 --> 00:01:30.000]  人不能夠順服極度呢
[00:01:30.000 --> 00:01:33.000]  因爲他的心意沒有像個神
[00:01:33.000 --> 00:01:35.000]  他沒有認識神
[00:01:35.000 --> 00:01:37.000]  所以這福音的目的呢
[00:01:37.000 --> 00:01:41.000]  就是叫人的心意能夠歸順極度
[00:01:41.000 --> 00:01:44.000]  心意改變能歸順極度
[00:01:44.000 --> 00:01:46.000]  那麼這樣的話呢
[00:01:46.000 --> 00:01:49.000]  才能夠認識神
[00:01:49.000 --> 00:01:51.000]  接受福音
[00:01:51.000 --> 00:01:52.000]  得到神要給
[00:01:52.000 --> 00:01:55.000]  是給他們的永生的福氣
[00:01:55.000 --> 00:01:58.000]  那麼從十九章的經文呢
[00:01:58.000 --> 00:02:00.000]  就給我們看到呢
[00:02:00.000 --> 00:02:02.000]  征戰是非常激烈的
[00:02:02.000 --> 00:02:05.000]  傳福音是個屬靈的征戰
[00:02:05.000 --> 00:02:09.000]  那麼保祿在禮部所這個地方
[00:02:09.000 --> 00:02:12.000]  跟同工們一起傳福音
[00:02:12.000 --> 00:02:14.000]  看到這個征戰是很激烈的
[00:02:14.000 --> 00:02:16.000]  但是我們看到
[00:02:16.000 --> 00:02:18.000]  在第十九章結束的時候呢
[00:02:18.000 --> 00:02:21.000]  這個福音得勝了
[00:02:21.000 --> 00:02:23.000]  所以從這兩段經文呢
[00:02:23.000 --> 00:02:26.000]  我們看到有兩件事情
[00:02:26.000 --> 00:02:28.000]  就是今天我們要思想到
[00:02:28.000 --> 00:02:29.000]  有兩件事情
[00:02:29.000 --> 00:02:31.000]  第一件事情呢
[00:02:31.000 --> 00:02:32.000]  就是神呢
[00:02:32.000 --> 00:02:34.000]  是用保祿的手呢
[00:02:34.000 --> 00:02:38.000]  尋了一些神蹟奇事
[00:02:38.000 --> 00:02:40.000]  那這裏面我們看到
[00:02:40.000 --> 00:02:43.000]  不是保祿來利用神
[00:02:43.000 --> 00:02:46.000]  而是保祿被神所用
[00:02:46.000 --> 00:02:49.000]  這個是差別很大的
[00:02:49.000 --> 00:02:51.000]  你是被神所用呢
[00:02:51.000 --> 00:02:53.000]  還是你要是利用神呢
[00:02:53.000 --> 00:02:56.000]  這就是看到你不是神的人
[00:02:56.000 --> 00:02:58.000]  所謂的你未曾做工
[00:02:58.000 --> 00:03:01.000]  到底你是被神所用
[00:03:01.000 --> 00:03:03.000]  還是你利用神
[00:03:03.000 --> 00:03:05.000]  達到你自己的目的
[00:03:05.000 --> 00:03:06.000]  這是給我們看到
[00:03:06.000 --> 00:03:08.000]  這第一件事情
[00:03:08.000 --> 00:03:09.000]  第二件事情呢
[00:03:09.000 --> 00:03:11.000]  就是有一個
[00:03:11.000 --> 00:03:14.000]  做這個假神的神像
[00:03:14.000 --> 00:03:17.000]  迪米丟在以布索的地方
[00:03:17.000 --> 00:03:21.000]  他煽動以布索的人
[00:03:21.000 --> 00:03:26.000]  起來擾亂福音
[00:03:26.000 --> 00:03:28.000]  所以我們看見
[00:03:28.000 --> 00:03:29.000]  這個地方呢
[00:03:29.000 --> 00:03:30.000]  這一段裏頭
[00:03:30.000 --> 00:03:32.000]  用很多的篇幅
[00:03:32.000 --> 00:03:34.000]  來講到迪米丟
[00:03:34.000 --> 00:03:37.000]  怎麼煽動一些人起來
[00:03:37.000 --> 00:03:39.000]  反對保祿
[00:03:39.000 --> 00:03:42.000]  後來我們看到呢
[00:03:42.000 --> 00:03:45.000]  接着一個外邦人
[00:03:45.000 --> 00:03:49.000]  領導的這樣的情形呢
[00:03:49.000 --> 00:03:55.000]  平定了這次的動亂
[00:03:55.000 --> 00:03:57.000]  我們可以看到
[00:03:57.000 --> 00:04:00.000]  神用保祿的手
[00:04:00.000 --> 00:04:03.000]  來實現神蹟起事
[00:04:03.000 --> 00:04:06.000]  所以保祿在以布索的話
[00:04:06.000 --> 00:04:09.000]  他是在講神過的事情
[00:04:09.000 --> 00:04:12.000]  神過的事情就是講到
[00:04:12.000 --> 00:04:14.000]  耶穌基督的死
[00:04:14.000 --> 00:04:17.000]  和耶穌基督的復活
[00:04:17.000 --> 00:04:19.000]  這就是福音的中心
[00:04:19.000 --> 00:04:21.000]  福音不是講一些道理
[00:04:21.000 --> 00:04:23.000]  一些哲學
[00:04:23.000 --> 00:04:25.000]  不是講一些人生的
[00:04:25.000 --> 00:04:27.000]  一些這個道理
[00:04:27.000 --> 00:04:29.000]  而是講到這個
[00:04:29.000 --> 00:04:31.000]  這個耶穌的事情
[00:04:31.000 --> 00:04:33.000]  所以如果你傳福音的話
[00:04:33.000 --> 00:04:36.000]  跟耶穌的死沒有關係
[00:04:36.000 --> 00:04:38.000]  也不講到耶穌的復活
[00:04:38.000 --> 00:04:39.000]  那這個呢
[00:04:39.000 --> 00:04:41.000]  就不能算是一個傳福音
[00:04:41.000 --> 00:04:43.000]  所以這個保祿呢
[00:04:43.000 --> 00:04:46.000]  一連三個月在會堂裏頭
[00:04:46.000 --> 00:04:47.000]  在猶太人會堂
[00:04:47.000 --> 00:04:48.000]  跟他們講到
[00:04:48.000 --> 00:04:51.000]  耶穌的死和耶穌的復活
[00:04:51.000 --> 00:04:53.000]  這就是神過的事情
[00:04:53.000 --> 00:04:55.000]  真正神過的事情
[00:04:55.000 --> 00:04:57.000]  就離不開耶穌的死
[00:04:57.000 --> 00:04:59.000]  和耶穌的復活
[00:04:59.000 --> 00:05:01.000]  但是有些人呢
[00:05:01.000 --> 00:05:03.000]  他說心裏剛盈不幸
[00:05:03.000 --> 00:05:05.000]  他不肯相信
[00:05:05.000 --> 00:05:08.000]  就有人在衆人面前毀謗
[00:05:08.000 --> 00:05:11.000]  保祿所講的這些的真理
[00:05:11.000 --> 00:05:13.000]  所以保祿就離開他們
[00:05:13.000 --> 00:05:18.000]  他就在這個推拉魯的學坊呢
[00:05:18.000 --> 00:05:19.000]  教導
[00:05:19.000 --> 00:05:21.000]  天天教導這個事情
[00:05:21.000 --> 00:05:23.000]  我們看見這個
[00:05:23.000 --> 00:05:25.000]  在那個地方有兩年之久
[00:05:25.000 --> 00:05:27.000]  所以在以布所
[00:05:27.000 --> 00:05:29.000]  保祿工作時間呢
[00:05:29.000 --> 00:05:30.000]  是比較長的
[00:05:30.000 --> 00:05:33.000]  有些地方可能就幾個安息日
[00:05:33.000 --> 00:05:34.000]  他就離開了
[00:05:34.000 --> 00:05:36.000]  有的就幾個月就離開了
[00:05:36.000 --> 00:05:38.000]  但是在以布所呢
[00:05:38.000 --> 00:05:41.000]  他確實停留了很長的時間
[00:05:41.000 --> 00:05:43.000]  有兩年之久
[00:05:43.000 --> 00:05:44.000]  那麼就
[00:05:44.000 --> 00:05:46.000]  結果怎麼樣呢
[00:05:46.000 --> 00:05:50.000]  就是無論在亞細亞
[00:05:50.000 --> 00:05:52.000]  就是周圍這一個省
[00:05:52.000 --> 00:05:54.000]  這麼大一塊地方的話
[00:05:54.000 --> 00:05:56.000]  無論是猶太人
[00:05:56.000 --> 00:05:58.000]  或是是外邦人
[00:05:58.000 --> 00:06:01.000]  他們都聽見了主和道
[00:06:01.000 --> 00:06:03.000]  那麼意識就不能聽見的
[00:06:03.000 --> 00:06:05.000]  也有很多人相信了
[00:06:05.000 --> 00:06:07.000]  那麼這個地方我們就看到呢
[00:06:07.000 --> 00:06:09.000]  這個保羅呢
[00:06:09.000 --> 00:06:11.000]  在這個學坊裏頭
[00:06:11.000 --> 00:06:13.000]  在這個房子裏頭
[00:06:13.000 --> 00:06:16.000]  講神話的事情
[00:06:16.000 --> 00:06:17.000]  而且呢
[00:06:17.000 --> 00:06:18.000]  這些門徒
[00:06:18.000 --> 00:06:20.000]  或者保羅自己
[00:06:20.000 --> 00:06:22.000]  也到周圍去傳福音
