
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹 主禮便平安
[00:00:02.000 --> 00:00:04.000]  平安
[00:00:04.000 --> 00:00:08.000]  相信都有些是新朋友是第一次來教會
[00:00:08.000 --> 00:00:11.000]  或者都很想聽聽什麼叫做福音
[00:00:11.000 --> 00:00:15.000]  今晚盼望透過我要預備的訊息
[00:00:15.000 --> 00:00:19.000]  跟大家來探討一下福音的力量
[00:00:19.000 --> 00:00:23.000]  是否能夠在你的生命裏面產生的改變
[00:00:23.000 --> 00:00:26.000]  我今天會講的是力量
[00:00:26.000 --> 00:00:30.000]  福音帶來生命的改變的力量
[00:00:30.000 --> 00:00:36.000]  我選取的經文就是提摩太前書一章的十五十六節
[00:00:36.000 --> 00:00:44.000]  當然很清楚就是試圖保羅他對自己的一個人生的一個的否白
[00:00:44.000 --> 00:00:46.000]  向誰的否白呢
[00:00:46.000 --> 00:00:49.000]  向他的徒弟提摩太
[00:00:49.000 --> 00:00:52.000]  一個老師告訴自己的學生
[00:00:52.000 --> 00:00:56.000]  我是罪人當中的罪魁 提摩太
[00:00:56.000 --> 00:00:58.000]  我不是好人
[00:00:58.000 --> 00:01:02.000]  這樣寫信說自己
[00:01:02.000 --> 00:01:05.000]  到底你是有自信
[00:01:05.000 --> 00:01:08.000]  還是怎樣的一個心態呢
[00:01:08.000 --> 00:01:10.000]  這樣教一個神學生
[00:01:10.000 --> 00:01:14.000]  你的老師是一個罪人當中的罪魁
[00:01:14.000 --> 00:01:16.000]  這裡有一個很大的
[00:01:16.000 --> 00:01:18.000]  值得我們大家思想一下
[00:01:18.000 --> 00:01:26.000]  一個男人能夠在他的學生面前講自己的過去
[00:01:26.000 --> 00:01:32.000]  一章的十二十三十四節這樣講
[00:01:32.000 --> 00:01:37.000]  他說我感謝那給我力量的主基督耶穌
[00:01:37.000 --> 00:01:40.000]  因他以我有忠心
[00:01:40.000 --> 00:01:42.000]  派我去服侍他
[00:01:42.000 --> 00:01:44.000]  不過他很快就講
[00:01:44.000 --> 00:01:49.000]  我從前是褻瀆神的 褻瀆神
[00:01:49.000 --> 00:01:52.000]  就是有這麼差的說話去罵
[00:01:52.000 --> 00:01:54.000]  因為他見不到的神
[00:01:54.000 --> 00:01:57.000]  罵神 罵人都已經很差了
[00:01:57.000 --> 00:02:00.000]  罵神 是褻瀆
[00:02:00.000 --> 00:02:03.000]  他說我從前是褻瀆神的
[00:02:03.000 --> 00:02:07.000]  是逼迫人的 是武萬人的
[00:02:07.000 --> 00:02:10.000]  又逼迫 即是有行動的
[00:02:10.000 --> 00:02:16.000]  又武萬 口講盡那些不好聽的說話
[00:02:16.000 --> 00:02:18.000]  去對人
[00:02:18.000 --> 00:02:22.000]  然而我蒙了憐憫
[00:02:22.000 --> 00:02:27.000]  因我是不知道的時候而作的
[00:02:27.000 --> 00:02:30.000]  並且我主的恩 格外的豐盛
[00:02:30.000 --> 00:02:33.000]  使我能夠在基督耶穌裡面
[00:02:33.000 --> 00:02:36.000]  有信心 有愛心
[00:02:36.000 --> 00:02:40.000]  今晚我很想跟大家一起給錢勉勵
[00:02:40.000 --> 00:02:44.000]  你是不是一個好的人在神面前
[00:02:44.000 --> 00:02:46.000]  你有沒有在神的裡面
[00:02:46.000 --> 00:02:51.000]  透過恩典帶給你有信心
[00:02:51.000 --> 00:02:53.000]  固然是自信
[00:02:53.000 --> 00:02:56.000]  因為神已經不再追究你的罪
[00:02:56.000 --> 00:02:59.000]  你的內心向神可以坦然
[00:02:59.000 --> 00:03:02.000]  你一定有這一份的自信
[00:03:02.000 --> 00:03:06.000]  你有自信 你對人就會有一份的信心
[00:03:06.000 --> 00:03:10.000]  因為這是從信仰而來的自信心
[00:03:10.000 --> 00:03:12.000]  還有愛心
[00:03:12.000 --> 00:03:15.000]  一個很有學識
[00:03:15.000 --> 00:03:18.000]  很有社會地位的使徒保羅
[00:03:18.000 --> 00:03:22.000]  他能夠明白自己的人生
[00:03:22.000 --> 00:03:25.000]  在主耶穌重組他的人生之後
[00:03:25.000 --> 00:03:27.000]  他說我能夠在基督耶穌裡面
[00:03:27.000 --> 00:03:30.000]  有信心 有愛心
[00:03:30.000 --> 00:03:33.000]  接著就是今天十五 十六節
[00:03:33.000 --> 00:03:35.000]  基督耶穌降世
[00:03:35.000 --> 00:03:38.000]  唯要拯救罪人
[00:03:38.000 --> 00:03:42.000]  者說是可信的 是可佩服的
[00:03:42.000 --> 00:03:45.000]  保羅佩服耶穌
[00:03:45.000 --> 00:03:48.000]  從前他就是褻瀆這位耶穌
[00:03:48.000 --> 00:03:51.000]  逼迫跟隨耶穌的人
[00:03:51.000 --> 00:03:55.000]  武漫那些說自己是跟隨耶穌的人
[00:03:55.000 --> 00:03:57.000]  但是他說
[00:03:57.000 --> 00:04:02.000]  可信可佩服 耶穌是可信可佩服
[00:04:02.000 --> 00:04:06.000]  他對這位釘十字架的木匠的兒子
[00:04:06.000 --> 00:04:09.000]  在木頭上這樣被懸掛的
[00:04:09.000 --> 00:04:11.000]  一個赤裸裸的人
[00:04:11.000 --> 00:04:15.000]  說自己是神 但是毫無能力的
[00:04:15.000 --> 00:04:17.000]  就是這樣跟兩個囚犯
[00:04:17.000 --> 00:04:19.000]  一起這樣釘十字架
[00:04:19.000 --> 00:04:22.000]  但是保羅明白他的身份之後
[00:04:22.000 --> 00:04:25.000]  他說基督耶穌降世
[00:04:25.000 --> 00:04:28.000]  就是要拯救我這個罪人了
[00:04:28.000 --> 00:04:31.000]  是可信可佩服
[00:04:31.000 --> 00:04:33.000]  在罪人當中
[00:04:33.000 --> 00:04:35.000]  提摩太你要記得
[00:04:35.000 --> 00:04:36.000]  在罪人當中
[00:04:36.000 --> 00:04:40.000]  你的老師我 是一個罪魁
[00:04:40.000 --> 00:04:44.000]  然而 又再說第二次的然而了
[00:04:44.000 --> 00:04:48.000]  然而我蒙了憐憫
[00:04:48.000 --> 00:04:52.000]  以致我能夠可以在其他的人身上
[00:04:52.000 --> 00:04:54.000]  成為一個榜樣
[00:04:54.000 --> 00:04:57.000]  親愛的各位朋友
[00:04:57.000 --> 00:05:01.000]  我今年已經是36年信耶穌了
[00:05:01.000 --> 00:05:05.000]  1987年的12月24日
[00:05:05.000 --> 00:05:07.000]  平生第一次去教會
[00:05:07.000 --> 00:05:09.000]  就不是這樣的環境
[00:05:09.000 --> 00:05:14.000]  是一間小學的學校的天台的一個禮堂
[00:05:14.000 --> 00:05:17.000]  是給小學的家長
[00:05:17.000 --> 00:05:21.000]  來聽聖誕節的家長晚會
[00:05:21.000 --> 00:05:24.000]  我不是那個小學的家長
[00:05:24.000 --> 00:05:29.000]  我的弟弟就在那個小學的教會裡面聚會
[00:05:29.000 --> 00:05:33.000]  他之前一個月就邀請我
[00:05:33.000 --> 00:05:35.000]  去聽關於福音
[00:05:35.000 --> 00:05:38.000]  那個時候我完全拒絕
[00:05:38.000 --> 00:05:40.000]  不知道什麼叫信耶穌
[00:05:40.000 --> 00:05:43.000]  也不喜歡人信耶穌
[00:05:43.000 --> 00:05:46.000]  我弟弟就給我有機會
[00:05:46.000 --> 00:05:47.000]  給一本聖經我
[00:05:47.000 --> 00:05:49.000]  放在我的房間裡
[00:05:49.000 --> 00:05:51.000]  我是完全看不明白
[00:05:51.000 --> 00:05:53.000]  沒有興趣
[00:05:53.000 --> 00:05:55.000]  就這樣說了一個信息
[00:05:55.000 --> 00:05:57.000]  我們在12月24日
[00:05:57.000 --> 00:05:59.000]  有一個所謂的報道會
[00:05:59.000 --> 00:06:01.000]  你來聽聽
[00:06:01.000 --> 00:06:03.000]  很快就拒絕他
[00:06:03.000 --> 00:06:05.000]  根本不知道是什麼來的
[00:06:05.000 --> 00:06:08.000]  在沙田的匿源村
[00:06:08.000 --> 00:06:10.000]  很神奇的一件事
[00:06:10.000 --> 00:06:12.000]  我是很拒絕福音的
[00:06:12.000 --> 00:06:14.000]  當然不知道什麼叫福音
[00:06:14.000 --> 00:06:17.000]  很拒絕楊教
[00:06:17.000 --> 00:06:20.000]  完全不知道什麼叫信耶穌
[00:06:20.000 --> 00:06:23.000]  一點都不懂
