
[00:00:00.000 --> 00:00:06.000]  好,今天我們繼續講耶穌是王系列的第六講
[00:00:06.000 --> 00:00:08.000]  是王的比喻
[00:00:08.000 --> 00:00:11.000]  即是主耶穌所講的比喻
[00:00:11.000 --> 00:00:15.000]  兩個星期前我介紹過馬太福音的結構
[00:00:15.000 --> 00:00:17.000]  不知道有多少人記得
[00:00:17.000 --> 00:00:20.000]  馬太福音的作者馬太
[00:00:20.000 --> 00:00:24.000]  寫這本福音書其實跟路加是很不同
[00:00:24.000 --> 00:00:27.000]  路加福音一開始就告訴我們
[00:00:27.000 --> 00:00:30.000]  已經有好些人從事寫作
[00:00:30.000 --> 00:00:34.000]  報導在我們當中所發生的事
[00:00:34.000 --> 00:00:37.000]  他們的報導是根據那些
[00:00:37.000 --> 00:00:41.000]  從開始就親眼看見這些事
[00:00:41.000 --> 00:00:47.000]  並且曾經傳播這信息的人所敘述的
[00:00:47.000 --> 00:00:52.000]  這一切我都從頭仔細查考過了
[00:00:52.000 --> 00:00:57.000]  所以我想按照次序向你報告
[00:00:57.000 --> 00:01:01.000]  路加醫生不是親眼跟過
[00:01:01.000 --> 00:01:05.000]  不是親自跟過主耶穌的門徒
[00:01:05.000 --> 00:01:10.000]  所以他是受到一位叫提亞非羅的人
[00:01:10.000 --> 00:01:12.000]  委拜他
[00:01:12.000 --> 00:01:16.000]  他就做了好多考察的工作
[00:01:16.000 --> 00:01:21.000]  然後盡量按照事情發生的次序
[00:01:21.000 --> 00:01:25.000]  向提亞非羅報告
[00:01:25.000 --> 00:01:27.000]  馬太就好不同
[00:01:27.000 --> 00:01:29.000]  他是主耶穌呼召
[00:01:29.000 --> 00:01:32.000]  親身跟過主耶穌的門徒
[00:01:32.000 --> 00:01:36.000]  他寫的福音書是經過深思熟慮
[00:01:36.000 --> 00:01:41.000]  然後認定主耶穌就是摩西所預言的那位
[00:01:41.000 --> 00:01:48.000]  將來會從你們同胞中興起一位像我一樣的先知
[00:01:48.000 --> 00:01:50.000]  你們要聽從他
[00:01:50.000 --> 00:01:56.000]  既然主耶穌就是那位像摩西的先知
[00:01:56.000 --> 00:02:02.000]  這樣馬太就將主耶穌的教訓安排成五大段的經文
[00:02:02.000 --> 00:02:04.000]  像摩西五經一樣
[00:02:04.000 --> 00:02:08.000]  在第五至第七章賓山補訓是第一大段
[00:02:08.000 --> 00:02:12.000]  第二段是第十章有關選召門徒
[00:02:12.000 --> 00:02:17.000]  和差派他們出去實習傳福音的分工
[00:02:17.000 --> 00:02:21.000]  第三段是今天選讀的第十三章
[00:02:21.000 --> 00:02:26.000]  主耶穌所說的有關天國的比喻
[00:02:26.000 --> 00:02:33.000]  因為我們要先看一個敗旨的比喻
[00:02:33.000 --> 00:02:36.000]  下星期就會看另外四個比喻
[00:02:36.000 --> 00:02:40.000]  第四段是第十八章
[00:02:40.000 --> 00:02:43.000]  最後一段是二十四至二十五章
[00:02:43.000 --> 00:02:47.000]  在未思想今天的比喻之前
[00:02:47.000 --> 00:02:51.000]  或者我先講講主耶穌用比喻的目的
[00:02:51.000 --> 00:02:56.000]  當我們要和人家解釋一些難明白的概念的時候
[00:02:56.000 --> 00:03:02.000]  我們往往會用比喻幫助聽眾明白一個概念
[00:03:02.000 --> 00:03:05.000]  想表達的內容和涵義
[00:03:05.000 --> 00:03:11.000]  像我這樣時時都會用一個比喻和人家解釋有關三位一體的真理
[00:03:11.000 --> 00:03:15.000]  三位一體的真理是很難明白的
[00:03:15.000 --> 00:03:19.000]  所以我就用了空氣來做比喻
[00:03:19.000 --> 00:03:23.000]  空氣裏面有三種主要的成分
[00:03:23.000 --> 00:03:25.000]  氧氣、氮氣、氧化氮
[00:03:25.000 --> 00:03:29.000]  但都是氣體並且是混合在一起的
[00:03:29.000 --> 00:03:32.000]  一般來說我們就呼吸空氣
[00:03:32.000 --> 00:03:34.000]  我們不會仔細研究的
[00:03:34.000 --> 00:03:37.000]  但是要仔細研究的話
[00:03:37.000 --> 00:03:44.000]  我們都可以將其中的主要成分分出來
[00:03:44.000 --> 00:03:46.000]  上帝亦都是這樣
[00:03:46.000 --> 00:03:49.000]  聖父、聖子、聖靈他們都是上帝
[00:03:49.000 --> 00:03:55.000]  但亦都可以分別出上主耶穌和耶穌的靈人
[00:03:55.000 --> 00:04:00.000]  主耶穌說他用比喻的目的
[00:04:00.000 --> 00:04:04.000]  是要讓門徒明白有關天國的事
[00:04:04.000 --> 00:04:06.000]  而非信徒就不明白的
[00:04:06.000 --> 00:04:10.000]  主耶穌在13:11-12這樣說
[00:04:10.000 --> 00:04:15.000]  關於天國奧秘的知識已經次給了你們
[00:04:15.000 --> 00:04:17.000]  沒有給他們
[00:04:17.000 --> 00:04:20.000]  因為那已經有的要給他更多
[00:04:20.000 --> 00:04:22.000]  讓他豐足有餘
[00:04:22.000 --> 00:04:27.000]  那沒有的連他所有的一點點也要奪走
[00:04:27.000 --> 00:04:31.000]  我們可能會覺得主耶穌的方法很難明白
[00:04:31.000 --> 00:04:33.000]  我相信主耶穌這樣做
[00:04:33.000 --> 00:04:38.000]  其實很可能和當時的政治環境有關
[00:04:38.000 --> 00:04:43.000]  跟隨主耶穌聽他講話的人群當中
[00:04:43.000 --> 00:04:46.000]  會有一些當時的宗教領袖派去
[00:04:46.000 --> 00:04:51.000]  他們想去找一些把柄去剷除耶穌
[00:04:51.000 --> 00:04:54.000]  所以主耶穌要講一些預言故事
[00:04:54.000 --> 00:04:57.000]  使他的門徒可以遲一些再問他
[00:04:57.000 --> 00:04:59.000]  了解那個故事的涵義
[00:04:59.000 --> 00:05:03.000]  而讓那些來意不善的人聽了預言
[00:05:03.000 --> 00:05:06.000]  都不會明白有關天國的真理
[00:05:06.000 --> 00:05:10.000]  今天我們一起要思想的是拜子的比喻
[00:05:10.000 --> 00:05:13.000]  或者我們首先要問一問
[00:05:13.000 --> 00:05:15.000]  究竟拜子是什麼呢?
[00:05:15.000 --> 00:05:18.000]  拜子其實就是一種植物
[00:05:18.000 --> 00:05:20.000]  在生長的時期
[00:05:20.000 --> 00:05:26.000]  看上去其實和墨子是一樣的
[00:05:26.000 --> 00:05:31.000]  尤其是未曾結果子之前
[00:05:31.000 --> 00:05:34.000]  所以在未結出果實之前
[00:05:34.000 --> 00:05:37.000]  是很難分辨拜子和墨子的
[00:05:37.000 --> 00:05:41.000]  但如果在結歲的時候就會看得出
[00:05:41.000 --> 00:05:43.000]  結歲即是開始結果子
[00:05:43.000 --> 00:05:46.000]  但未成熟的時候就看得出
[00:05:46.000 --> 00:05:51.000]  如果那個時候你去拔拜子的話
[00:05:51.000 --> 00:05:54.000]  不單止容易傷了墨子的根
[00:05:54.000 --> 00:05:56.000]  如果傷了墨子的根
[00:05:56.000 --> 00:06:00.000]  墨子不會成熟就浪費了墨子
[00:06:00.000 --> 00:06:02.000]  不單止傷了墨子的根
[00:06:02.000 --> 00:06:06.000]  也會令拜子越生越多
[00:06:06.000 --> 00:06:11.000]  所以在那個時候拔是最不好的
[00:06:11.000 --> 00:06:16.000]  因此主人說要等到收割的時候
[00:06:16.000 --> 00:06:20.000]  才去拔那些拜子
[00:06:20.000 --> 00:06:24.000]  因為在那個時候墨子已經結出果子
[00:06:24.000 --> 00:06:26.000]  加上果子有重量
[00:06:26.000 --> 00:06:29.000]  經幹會下垂低下頭
[00:06:29.000 --> 00:06:33.000]  在這個時候拜子若然沒有果實
[00:06:33.000 --> 00:06:35.000]  是很容易見的
[00:06:35.000 --> 00:06:37.000]  在空中飄揚
[00:06:37.000 --> 00:06:39.000]  其實是不會拔錯的
[00:06:39.000 --> 00:06:43.000]  況且墨子的果子已經成熟了
[00:06:43.000 --> 00:06:44.000]  傷了根也不要緊
[00:06:44.000 --> 00:06:46.000]  拔了出來就分開了
[00:06:46.000 --> 00:06:49.000]  墨子就拿去收藏
[00:06:49.000 --> 00:06:52.000]  拜子就拿去燒
[00:06:52.000 --> 00:06:57.000]  後來門徒就請耶穌解釋這個比喻
[00:06:57.000 --> 00:06:59.000]  究竟這個比喻講什麼呢?
[00:06:59.000 --> 00:07:01.000]  有關這個比喻的解釋
[00:07:01.000 --> 00:07:04.000]  是在三十六至四十三節
[00:07:04.000 --> 00:07:07.000]  我們先看三十七至三十九節
[00:07:07.000 --> 00:07:10.000]  因為那裡是將比喻中的元素
[00:07:10.000 --> 00:07:14.000]  和他們所代表的講出來
[00:07:14.000 --> 00:07:15.000]  我們列出一個表
[00:07:15.000 --> 00:07:19.000]  來幫助我們容易看到每一個元素
