
[00:00:00.000 --> 00:00:01.260]  我們一齊低頭
[00:00:01.260 --> 00:00:05.560]  愛我們的主 愛我們的神
[00:00:05.560 --> 00:00:06.680]  再次感恩
[00:00:06.680 --> 00:00:09.200]  因為有你成為我們的上帝
[00:00:09.200 --> 00:00:11.560]  你也應許過
[00:00:11.560 --> 00:00:14.900]  聖靈會將我們帶入一切的真理裏面
[00:00:14.900 --> 00:00:17.340]  所以我們一起打開你的話語
[00:00:17.340 --> 00:00:21.020]  願你叫我們從心裏聽到你
[00:00:21.020 --> 00:00:22.380]  多謝主
[00:00:22.380 --> 00:00:23.980]  我們一起仰望我們的禱告
[00:00:23.980 --> 00:00:25.840]  奉耶穌基督的名禱
[00:00:25.840 --> 00:00:27.760]  阿們 阿們
[00:00:28.560 --> 00:00:30.060]  作為牧師
[00:00:30.060 --> 00:00:33.800]  固然是繼續去關顧大家
[00:00:33.800 --> 00:00:36.700]  也是讓我們一起彼此的關顧
[00:00:36.700 --> 00:00:38.460]  這種牧養
[00:00:38.460 --> 00:00:41.620]  同時間也是要引導我們一起
[00:00:41.620 --> 00:00:43.340]  來遵行上帝的大使命
[00:00:43.340 --> 00:00:44.940]  我相信遵行大使命
[00:00:44.940 --> 00:00:47.540]  這個已經成為這一兩年的大家
[00:00:47.540 --> 00:00:48.660]  沒辦法忘記
[00:00:48.660 --> 00:00:51.920]  連做夢都會做出來的一種詞語
[00:00:51.920 --> 00:00:55.140]  大使命或者實踐大使命
[00:00:55.140 --> 00:00:57.680]  其中一個最核心最核心最核心的就是
[00:00:57.680 --> 00:00:59.680]  在《馬太福音》第28章
[00:00:59.680 --> 00:01:02.080]  我相信一定背得到
[00:01:02.080 --> 00:01:05.660]  其中講到是使萬民作我的門徒
[00:01:05.660 --> 00:01:08.180]  這個應該就是一個最核心的
[00:01:08.180 --> 00:01:11.060]  一個大使命
[00:01:11.060 --> 00:01:12.860]  這個使命其實
[00:01:12.860 --> 00:01:14.560]  按道理講盡
[00:01:14.560 --> 00:01:16.240]  其實不是我們的使命
[00:01:16.240 --> 00:01:17.900]  其實是誰的使命呢?
[00:01:17.900 --> 00:01:20.080]  是上帝的使命
[00:01:20.080 --> 00:01:23.740]  是上帝的使命要人歸在祂的名下
[00:01:23.740 --> 00:01:25.540]  而成為祂的門徒
[00:01:25.540 --> 00:01:28.380]  這個使命其實是上帝的旨意
[00:01:28.380 --> 00:01:31.180]  不過他也是藉著耶穌基督
[00:01:31.180 --> 00:01:33.440]  要基督道成為肉身
[00:01:33.440 --> 00:01:34.680]  來到我們當中
[00:01:34.680 --> 00:01:36.680]  去示範出來
[00:01:36.680 --> 00:01:40.060]  耶穌基督先去成就門徒
[00:01:40.060 --> 00:01:41.400]  以致作一個示範
[00:01:41.400 --> 00:01:43.020]  猜險我們這一群
[00:01:43.020 --> 00:01:44.820]  先成為祂的門徒的人
[00:01:44.820 --> 00:01:47.240]  繼續延續這種使命
[00:01:47.240 --> 00:01:51.140]  剛才我們一起都讀過第37和38節
[00:01:51.140 --> 00:01:52.860]  我想我們再一次讀出來
[00:01:53.340 --> 00:01:55.580]  第37和38節
[00:01:55.580 --> 00:01:57.000]  預備起
[00:01:57.000 --> 00:02:02.080]  "於是對門徒說,要收的莊稼多,
[00:02:02.080 --> 00:02:04.120]  做工的人少;
[00:02:04.120 --> 00:02:08.080]  所以你們當求莊稼的主,
[00:02:08.080 --> 00:02:12.320]  打發工人出去收他的莊稼。"
[00:02:12.320 --> 00:02:17.600]  是的,其實耶穌已經在祂仍然在世界的時候
[00:02:17.600 --> 00:02:19.080]  已經猜險門徒
[00:02:19.080 --> 00:02:20.440]  來跟隨祂
[00:02:20.440 --> 00:02:22.680]  以致來踐行這種大使命
[00:02:22.680 --> 00:02:23.680]  這種大使命
[00:02:23.680 --> 00:02:24.480]  這種吩咐
[00:02:24.480 --> 00:02:25.480]  這種猜險
[00:02:25.480 --> 00:02:27.880]  肯定就不只是給一個人的
[00:02:27.880 --> 00:02:29.080]  不是給一個
[00:02:29.080 --> 00:02:30.480]  特別是
[00:02:30.480 --> 00:02:32.480]  就不只是給你一個
[00:02:32.480 --> 00:02:35.980]  而是其實這個使命是給信徒群體的
[00:02:35.980 --> 00:02:37.280]  是我們一齊的
[00:02:37.280 --> 00:02:39.080]  是整個群體的
[00:02:39.080 --> 00:02:40.780]  所以一定包括柴鎮
[00:02:40.780 --> 00:02:45.380]  一定包括其他奉主的名聚集的群眾
[00:02:45.380 --> 00:02:48.880]  這個我們就是信徒群體
[00:02:49.180 --> 00:02:53.480]  所以換言之信徒群體或者地方性的一種堂會
