
[00:00:00.000 --> 00:00:03.380]  頂著門有啲乜嘢呢 你係好驚㗎
[00:00:03.380 --> 00:00:05.620]  你怕啲乜嘢
[00:00:05.620 --> 00:00:07.380]  有人就怕高
[00:00:07.380 --> 00:00:09.780]  你知香港而家啲大廈好高嘛
[00:00:09.780 --> 00:00:13.180]  佢有時探人呢 七十幾八十樓呀
[00:00:13.180 --> 00:00:16.380]  咁呀 去個露台嗰度望下樓下就好驚
[00:00:16.380 --> 00:00:20.660]  澳門嗰個觀光塔 個頂嗰度 嗰個底係玻璃嚟㗎
[00:00:20.660 --> 00:00:23.980]  你行到去呢 可能怕高嘅人就腳軟啦
[00:00:23.980 --> 00:00:25.860]  有人就怕狗
[00:00:25.860 --> 00:00:28.300]  有人怕無神神嘅嘢
[00:00:28.300 --> 00:00:30.420]  我呢 就怕蟑螂
[00:00:30.420 --> 00:00:31.740]  我記得有一次
[00:00:31.740 --> 00:00:33.580]  沖涼呀 沖沖下嗰陣呢
[00:00:33.580 --> 00:00:34.740]  就發現有隻
[00:00:34.740 --> 00:00:36.700]  浴室竟然有隻大蟑螂喺度
[00:00:36.700 --> 00:00:38.020]  仲識飛㗎
[00:00:38.020 --> 00:00:40.100]  咁你又走唔到啦 捉緊糧
[00:00:40.100 --> 00:00:43.780]  咁你又好驚 驚到面無人識
[00:00:43.780 --> 00:00:45.740]  再講深啲
[00:00:45.740 --> 00:00:48.340]  有人怕被拒絕 係咪
[00:00:48.340 --> 00:00:50.660]  有人怕呢 被遺棄
[00:00:50.660 --> 00:00:54.500]  亦都有人怕呢 我能力呀任何其他嘢又比唔上人
[00:00:54.500 --> 00:00:59.500]  有人怕喺人嘅眼裏面呀 不再被重視啦
[00:00:59.500 --> 00:01:02.940]  喺人心裏面呢 冇咗嗰種重要性啦
[00:01:02.940 --> 00:01:05.380]  亦都有人呢 怕衝突 係咪
[00:01:05.380 --> 00:01:09.260]  一遇衝突呢 就即刻退縮啦 即刻逃避啦
[00:01:09.260 --> 00:01:12.180]  有人怕經濟下滑
[00:01:12.180 --> 00:01:13.860]  怕冇咗份工
[00:01:13.860 --> 00:01:17.260]  怕喺公司嘅業績唔好
[00:01:17.260 --> 00:01:19.380]  亦都呢 可能再年長少少
[00:01:19.380 --> 00:01:21.700]  又怕自己嘅仔女離開神
[00:01:21.700 --> 00:01:24.700]  最怕咩呢 最怕佢哋躺平
[00:01:24.700 --> 00:01:26.380]  亦都呢 再大啲啦
[00:01:26.380 --> 00:01:29.660]  又可能呢 又怕空巢啦
[00:01:29.660 --> 00:01:32.300]  怕孤單啦
[00:01:32.300 --> 00:01:34.900]  怕呢 可能自己身體唔好呢
[00:01:34.900 --> 00:01:36.860]  自己嘅仔女擔心
[00:01:36.860 --> 00:01:39.580]  好多嘅恐懼 好多嘅怕
[00:01:39.580 --> 00:01:42.700]  但因此會 你有咩恐懼呢
[00:01:42.700 --> 00:01:44.420]  恐懼呢 其實呢
[00:01:44.420 --> 00:01:47.340]  令人呢 產生一啲負面嘅思想呀
[00:01:47.340 --> 00:01:50.060]  令人失去應有嘅活力
[00:01:50.060 --> 00:01:51.940]  甚至呢 有啲時候呢 讓我哋呢
[00:01:51.940 --> 00:01:54.860]  冇辦法專注於呢神要我哋
[00:01:54.860 --> 00:01:57.020]  呼召我哋做嘅嘢
[00:01:57.020 --> 00:01:59.620]  甚至呢 我哋會放棄
[00:01:59.620 --> 00:02:02.060]  甚至呢 我哋會逃避
[00:02:02.060 --> 00:02:03.860]  今日講到嘅主角摩西呢
[00:02:03.860 --> 00:02:05.860]  就喺呢種嘅境況裏面
[00:02:05.860 --> 00:02:08.540]  當初佢與神相遇神要呼召佢嘅時候
[00:02:08.540 --> 00:02:09.980]  摩西充滿恐懼
[00:02:09.980 --> 00:02:12.660]  我一齊睇出埃及記三章六節
[00:02:12.660 --> 00:02:13.460]  我一齊讀吓嘛
[00:02:13.460 --> 00:02:14.620]  一二三
[00:02:14.620 --> 00:02:16.300]  摩西蒙上臉
[00:02:16.300 --> 00:02:18.700]  因為怕漢神
[00:02:18.700 --> 00:02:21.940]  怕希伯來文呢 就係嗰種嘅恐懼
[00:02:21.940 --> 00:02:24.420]  所以當神要呼召摩西
[00:02:24.420 --> 00:02:25.540]  佢返埃及
[00:02:25.540 --> 00:02:28.300]  帶領伊斯蘭人離開埃及嘅時候呢
[00:02:28.300 --> 00:02:30.540]  摩西超級退堂
[00:02:30.540 --> 00:02:31.580]  左推猶堂
