
[00:00:00.000 --> 00:00:03.000]  約翰韋斯李曾經講過一句說話
[00:00:03.000 --> 00:00:05.000]  我覺得對我都好震撼
[00:00:05.000 --> 00:00:07.000]  他說如果比我有一百個
[00:00:07.000 --> 00:00:10.000]  什麼都不怕 只是怕犯罪
[00:00:10.000 --> 00:00:14.000]  什麼都不渴慕 只是渴慕神的人
[00:00:14.000 --> 00:00:18.000]  他不理你這些傳道人也好 評訓徒也好
[00:00:18.000 --> 00:00:20.000]  就能夠震動地獄的門
[00:00:20.000 --> 00:00:23.000]  在地上建立天國
[00:00:23.000 --> 00:00:26.000]  我覺得這句話對我好震撼
[00:00:26.000 --> 00:00:31.000]  能夠服侍神 能夠成就神的事
[00:00:31.000 --> 00:00:35.000]  重點不是你有多少神學
[00:00:35.000 --> 00:00:37.000]  重點不是你有什麼學位
[00:00:37.000 --> 00:00:40.000]  你有什麼穆會的履歷
[00:00:40.000 --> 00:00:42.000]  你有多少資源 有多少錢
[00:00:42.000 --> 00:00:44.000]  什麼權位
[00:00:44.000 --> 00:00:47.000]  就好像我聽過有一個
[00:00:47.000 --> 00:00:51.000]  我沒見過Steve Jobs說不可以做創科局
[00:00:51.000 --> 00:00:54.000]  不是見過才可以做
[00:00:54.000 --> 00:00:56.000]  重點是什麼呢
[00:00:56.000 --> 00:01:00.000]  能夠在震動地獄建立天國的
[00:01:00.000 --> 00:01:03.000]  我只是需要什麼人呢
[00:01:03.000 --> 00:01:05.000]  只是怕犯罪
[00:01:05.000 --> 00:01:07.000]  我們只是渴慕神的人
[00:01:07.000 --> 00:01:11.000]  我覺得這個雖然不是出自聖經的定義
[00:01:11.000 --> 00:01:13.000]  但這個都是一個很好的定義
[00:01:13.000 --> 00:01:17.000]  一個基督的精兵是這樣的質素
[00:01:17.000 --> 00:01:20.000]  什麼都不怕 我只是怕犯罪
[00:01:20.000 --> 00:01:22.000]  我什麼都不渴慕
[00:01:22.000 --> 00:01:24.000]  我最渴慕的就是上帝
[00:01:24.000 --> 00:01:27.000]  這是一個基督精兵的一個很好的定義
[00:01:27.000 --> 00:01:32.000]  我不是否定這些神學 知識 訓練裝備
[00:01:32.000 --> 00:01:35.000]  這些沒有用 這些絕對有用 絕對重要
[00:01:35.000 --> 00:01:38.000]  但我們不可以單單去靠這些
[00:01:38.000 --> 00:01:41.000]  單單靠你有多少知識 有多少訓練
[00:01:41.000 --> 00:01:44.000]  做不到上帝的精兵
[00:01:44.000 --> 00:01:47.000]  我們是不是一個很敬虔的心
[00:01:47.000 --> 00:01:49.000]  我們很怕犯罪
[00:01:49.000 --> 00:01:51.000]  我們很渴慕上帝
[00:01:51.000 --> 00:01:54.000]  我們渴慕上帝多過人生任何的追求
[00:01:54.000 --> 00:01:58.000]  任何的成就 任何的東西
[00:01:58.000 --> 00:02:03.000]  我想起一個十九世紀很有名的人
[00:02:03.000 --> 00:02:05.000]  是一個信心的偉人
[00:02:05.000 --> 00:02:07.000]  他叫做喬治慕勒
[00:02:07.000 --> 00:02:10.000]  喬治慕勒這個人年幼很放蕩
[00:02:10.000 --> 00:02:13.000]  他的生活很放蕩不羈
[00:02:13.000 --> 00:02:15.000]  很荒唐
[00:02:15.000 --> 00:02:18.000]  他經常偷東西 又爛賭
[00:02:18.000 --> 00:02:22.000]  他媽媽過世那天 他跟朋友還在賭啤牌
[00:02:22.000 --> 00:02:24.000]  他很難賭
[00:02:24.000 --> 00:02:26.000]  他讀中學的時候 中學那麼小
[00:02:26.000 --> 00:02:29.000]  他又騙老師放課
[00:02:29.000 --> 00:02:33.000]  來學校在旅館跟一個女孩鬼混
[00:02:33.000 --> 00:02:37.000]  很放蕩 生活很不堪
[00:02:37.000 --> 00:02:41.000]  他爸爸 因為當時很多學校在神學院
[00:02:41.000 --> 00:02:44.000]  他爸爸就送他去讀神學
