
[00:00:00.000 --> 00:00:02.140]  今天父親節很高興
[00:00:02.140 --> 00:00:05.120]  是要跟在座各位的父親說一句
[00:00:05.120 --> 00:00:07.040]  父親節快樂
[00:00:07.040 --> 00:00:08.240]  我今天的題目是
[00:00:08.240 --> 00:00:12.920]  地上的父如同在天上的父
[00:00:12.920 --> 00:00:16.000]  其實我們叫神做天父
[00:00:16.000 --> 00:00:17.800]  很多時候我們以為
[00:00:17.800 --> 00:00:19.680]  就是因為我們地上的父親
[00:00:19.680 --> 00:00:22.160]  所以我們叫天上的父是天父
[00:00:22.160 --> 00:00:24.000]  其實是倒轉了
[00:00:24.000 --> 00:00:26.340]  在於宇宙創造之先
[00:00:26.340 --> 00:00:28.640]  其實已經是三位一體的神
[00:00:28.640 --> 00:00:31.920]  父子聖靈已經存在
[00:00:31.920 --> 00:00:34.080]  所以父子的關係已經存在
[00:00:34.080 --> 00:00:36.400]  其實我們地上的父親
[00:00:36.400 --> 00:00:40.160]  其實是反映出我們天上的父親
[00:00:40.160 --> 00:00:42.640]  在於我們對天上的父親
[00:00:42.640 --> 00:00:45.000]  很多時候都有誤會
[00:00:45.000 --> 00:00:47.120]  我們的印象是怎樣的
[00:00:47.120 --> 00:00:50.400]  很多人的印象是有兩個極端的
[00:00:50.400 --> 00:00:51.720]  一個極端就是
[00:00:51.720 --> 00:00:54.800]  我們這位天父惡到不得了
[00:00:54.800 --> 00:00:57.000]  不喜歡別人喜樂的
[00:00:57.000 --> 00:00:59.520]  看到別人犯罪就躲在後面看
[00:00:59.520 --> 00:01:02.280]  誰犯罪我就懲罰你
[00:01:02.280 --> 00:01:04.880]  這是其中一個看法
[00:01:04.880 --> 00:01:07.200]  但是另外一個極端
[00:01:07.200 --> 00:01:09.680]  就是我們會覺得
[00:01:09.680 --> 00:01:13.520]  我們的天父非常慈愛
[00:01:13.520 --> 00:01:17.280]  好像一個非常慈祥的老人一樣
[00:01:17.280 --> 00:01:19.480]  永遠不審判人的
[00:01:19.480 --> 00:01:22.840]  就是等待世人來悔改
[00:01:22.840 --> 00:01:25.000]  這就是兩個不同的極端
[00:01:25.000 --> 00:01:26.360]  一個是惡到不得了
[00:01:26.360 --> 00:01:28.800]  一個是慈祥到不得了
