
[00:00:00.000 --> 00:00:02.560]  大家大姐姊妹 早晨
[00:00:02.560 --> 00:00:04.160]  午安 已經快了
[00:00:04.160 --> 00:00:07.440]  知道今天分享的詩篇
[00:00:07.440 --> 00:00:10.160]  詩篇有150篇
[00:00:10.160 --> 00:00:13.240]  而每一篇都有非常豐富的訊息
[00:00:13.240 --> 00:00:17.480]  要預備說哪一篇的詩篇其實都不容易
[00:00:17.480 --> 00:00:19.680]  我自己有時都好像
[00:00:19.680 --> 00:00:22.320]  有些人說選擇困難症
[00:00:22.320 --> 00:00:24.040]  去哪裏吃飯 去哪裏逛街
[00:00:24.040 --> 00:00:25.040]  有時都想很久
[00:00:25.040 --> 00:00:27.960]  要想詩篇150篇裏面
[00:00:27.960 --> 00:00:31.320]  看哪一篇詩篇跟大家分享
[00:00:31.320 --> 00:00:32.400]  其實古往今來
[00:00:32.400 --> 00:00:36.480]  詩篇都是眾多信徒極之喜歡細味
[00:00:36.480 --> 00:00:39.360]  閱讀 默想的聖經經文
[00:00:39.360 --> 00:00:41.800]  因為詩篇能夠讓我們進入到
[00:00:41.800 --> 00:00:43.720]  私人的內心世界
[00:00:43.720 --> 00:00:48.680]  認識到人和神的一些真心真意的對話
[00:00:48.680 --> 00:00:50.200]  有神學家更加提到
[00:00:50.200 --> 00:00:52.560]  如果我們想好好學習祈禱
[00:00:52.560 --> 00:00:55.360]  就要從詩篇裏面直接去學
[00:00:55.360 --> 00:00:58.920]  去認識我們所傾訴的神
[00:00:58.920 --> 00:01:01.160]  祂說倘若我們用詩篇來禱告
[00:01:01.160 --> 00:01:03.440]  就更加能夠分享到歷世歷代以來
[00:01:03.440 --> 00:01:05.800]  蘊藏在詩篇裏面的重大發現
[00:01:05.800 --> 00:01:09.280]  就是神願意通過詩篇所蘊藏的奧秘
[00:01:09.280 --> 00:01:13.120]  將祂自己向我們顯明
[00:01:13.120 --> 00:01:16.160]  所以教會弟兄姊妹很喜歡讀詩篇
[00:01:16.160 --> 00:01:18.520]  不單單因為是聖經
[00:01:18.520 --> 00:01:22.040]  更加是當中和我們的生活
[00:01:22.040 --> 00:01:24.720]  和教會的生活息息相關
[00:01:24.720 --> 00:01:28.840]  詩篇是歷代詩人夢神感動而創作的詩歌
[00:01:28.840 --> 00:01:32.680]  更加是猶太人和以色列人生活的一部份
[00:01:32.680 --> 00:01:35.600]  在裏面你會發覺很多個人性
[00:01:35.600 --> 00:01:40.800]  群體性的感恩、讚美、凝聚、掙扎
[00:01:40.800 --> 00:01:44.880]  充滿著很多的神學訊息和生活的體會
[00:01:44.880 --> 00:01:49.480]  這一切都建立起一群以色列人群體的生活
[00:01:49.480 --> 00:01:53.560]  後來教會歷代的信徒也很喜歡詩篇
[00:01:53.560 --> 00:01:57.720]  更加成為了教會群體的聖歌
[00:01:57.720 --> 00:02:02.880]  深刻地呈現出教會內在的生命
[00:02:02.880 --> 00:02:06.320]  所以教會很喜歡一篇一篇地
[00:02:06.320 --> 00:02:10.560]  重唱出詩篇作者所創作的詩歌
[00:02:10.560 --> 00:02:11.920]  因為通過這些詩歌
[00:02:11.920 --> 00:02:15.240]  教會可以唱出對神的認知
[00:02:15.240 --> 00:02:21.840]  重讚神、讚美神、經驗和分享神的同在
