
[00:00:00.000 --> 00:00:06.120]  我首先在這裡向大家送上主內的問候
[00:00:06.120 --> 00:00:09.120]  今天我選了一個題目
[00:00:09.120 --> 00:00:13.260]  是土主喜悅的生活
[00:00:13.260 --> 00:00:16.040]  我們看聖經的時候
[00:00:16.040 --> 00:00:18.080]  我們會發覺
[00:00:18.080 --> 00:00:21.040]  保羅很多時候在他的書信裡面
[00:00:21.040 --> 00:00:24.180]  他一方面說的是教義
[00:00:24.180 --> 00:00:28.340]  另一方面他就說一些實際的生活
[00:00:28.340 --> 00:00:33.000]  行事為人的標準
[00:00:33.000 --> 00:00:34.400]  舉個例子
[00:00:34.400 --> 00:00:37.080]  如果我們看哥羅西書
[00:00:37.080 --> 00:00:40.280]  哥羅西書有四章的經文
[00:00:40.280 --> 00:00:44.680]  開頭那兩章講到耶穌基督是誰
[00:00:44.680 --> 00:00:54.560]  講到哥羅西教會應該怎樣去回應異端的衝擊
[00:00:54.560 --> 00:01:00.600]  開頭那兩章都相當有教義性
[00:01:00.600 --> 00:01:04.360]  甚至有很多的神學性在當中
[00:01:04.360 --> 00:01:07.600]  但是去到哥羅西書尾那兩章
[00:01:07.600 --> 00:01:09.240]  第三章和第四章
[00:01:09.240 --> 00:01:11.660]  我們就看到保羅一轉
[00:01:11.660 --> 00:01:19.060]  就轉了一個很實際的講基督徒的生活
[00:01:19.060 --> 00:01:25.060]  所以我們會看到哥羅西書的第四章
[00:01:25.060 --> 00:01:28.140]  會講到夫妻之間的關係
[00:01:28.140 --> 00:01:30.900]  父母和子女之間的關係
[00:01:30.900 --> 00:01:34.220]  主人和僕人的關係等等
[00:01:34.220 --> 00:01:38.980]  所以很多時候保羅在他一封的書信裡面
[00:01:38.980 --> 00:01:41.720]  他都會講一方面他會講教義
[00:01:41.720 --> 00:01:44.860]  另一方面他會講實際的生活
[00:01:44.860 --> 00:01:47.200]  當他講實際生活的時候
[00:01:47.200 --> 00:01:52.940]  我們要留意保羅他不是開一張清單給我們
[00:01:52.940 --> 00:01:55.560]  叫我們你做這些這些這些
[00:01:55.560 --> 00:01:58.020]  你不要做這些這些這些
[00:01:58.020 --> 00:01:59.400]  這樣就可以了
[00:01:59.400 --> 00:02:01.100]  如果保羅是這樣
[00:02:01.100 --> 00:02:05.460]  其實他就和這個律法主義是沒有分別的
[00:02:05.460 --> 00:02:07.460]  所以保羅不是這樣
[00:02:07.460 --> 00:02:12.280]  但是保羅他講實際生活的時候
[00:02:12.280 --> 00:02:15.220]  他有個很重要的一點
[00:02:15.220 --> 00:02:19.560]  就是如果你是愛神
[00:02:19.560 --> 00:02:23.160]  如果你是認識神
[00:02:23.160 --> 00:02:27.860]  這樣你就一定會討神喜悅
[00:02:27.860 --> 00:02:31.220]  你就一定會選擇去做這些
[00:02:31.220 --> 00:02:34.320]  你會選擇不去做那些
[00:02:34.320 --> 00:02:39.100]  今天就讓我們從接撒羅尼加前書
[00:02:39.100 --> 00:02:43.500]  剛才主席讀過的第四章的一至十二節
[00:02:43.500 --> 00:02:49.920]  我們看看應該怎樣做去討神喜悅
[00:02:49.920 --> 00:02:55.560]  在講到這之前讓我們再一次同心討告
[00:02:55.560 --> 00:03:00.140]  七海恩主我們每一個都是愛你的
[00:03:00.140 --> 00:03:05.160]  但是我們不是單單口說愛你
[00:03:05.160 --> 00:03:08.220]  我們是願意在我們的生活上
[00:03:08.220 --> 00:03:11.760]  我們是做討主你喜悅的事情
[00:03:11.760 --> 00:03:15.040]  主求你幫助我們、教導我們
[00:03:15.040 --> 00:03:16.540]  也給力量我們
[00:03:16.540 --> 00:03:21.340]  讓我們真的能夠活出一個討主喜悅的生活
[00:03:21.340 --> 00:03:26.780]  主我們現在恭敬要將你的話語打開的時候
[00:03:26.780 --> 00:03:29.580]  我們求你的令是引導我們每一個
[00:03:29.580 --> 00:03:31.580]  多謝你聽我們的祈禱
[00:03:31.580 --> 00:03:34.960]  奉耶穌基督的聖名祈求 阿們
[00:03:34.960 --> 00:03:40.340]  斯特德穆斯他曾經講過一個這樣的說話
