
[00:00:00.000 --> 00:00:03.000]  我們感謝主 先來做一個祈禱
[00:00:03.000 --> 00:00:05.000]  天父上帝 我們感謝祢的恩典
[00:00:05.000 --> 00:00:12.000]  來到San Diego的地點 興起會點教會
[00:00:12.000 --> 00:00:16.000]  主下感謝祢 亦有祢 葉基穆斯在諸堂
[00:00:16.000 --> 00:00:20.000]  來帶領弟兄姊妹 成為眾人的榜樣
[00:00:20.000 --> 00:00:24.000]  來牧養全心全意全力的同屍母
[00:00:24.000 --> 00:00:28.000]  來愛護關懷眾弟兄姊妹
[00:00:28.000 --> 00:00:33.000]  主啊 願祢的恩惠 祢的平安 賜給祢在此的眾聖徒
[00:00:33.000 --> 00:00:36.000]  讓他們更加經歷祢豐盛的人生
[00:00:36.000 --> 00:00:41.000]  在他們的生活上 都經歷祢豐盛的恩典
[00:00:41.000 --> 00:00:48.000]  正如剛才 師哥說我們會有困難 經歷撕裂
[00:00:48.000 --> 00:00:50.000]  但神祢的恩典會救我們用
[00:00:50.000 --> 00:00:54.000]  使我們更加的蒙福 更加在基督裏成長
[00:00:54.000 --> 00:00:57.000]  讓我們全心全意的敬畏祢
[00:00:57.000 --> 00:01:02.000]  願祢今日的訊息 在初學及記第20章1-6節的訊息
[00:01:02.000 --> 00:01:04.000]  來更加激勵我們
[00:01:04.000 --> 00:01:07.000]  我們這樣同心仰望 奉主耶穌基督的聖名 阿們
[00:01:07.000 --> 00:01:12.000]  今天和大家分享一個題目
[00:01:12.000 --> 00:01:22.000]  這是你們教牧團所訂的經課訓詞
[00:01:22.000 --> 00:01:29.000]  今次的經文是出於埃及記舊約第2卷書20章1-6節
[00:01:29.000 --> 00:01:34.000]  我給這個題目是十誡的開始
[00:01:34.000 --> 00:01:40.000]  就是讀真神向我們屬於祂的兒女的呼召
[00:01:40.000 --> 00:01:43.000]  首先來說說背景的介紹
[00:01:43.000 --> 00:01:49.000]  我們看到這20章神給以色列人
[00:01:49.000 --> 00:01:55.000]  祂的僕人摩西來頒布十誡給以色列人
[00:01:55.000 --> 00:01:57.000]  要他們去遵守
[00:01:57.000 --> 00:02:01.000]  所以這裡是很重要的
[00:02:01.000 --> 00:02:06.000]  因為神和人要立一個聖約 是永遠的約
[00:02:06.000 --> 00:02:09.000]  這個叫做西奈山立約
[00:02:09.000 --> 00:02:12.000]  Mount Sinai Convent
[00:02:12.000 --> 00:02:15.000]  神拯救以色列人出埃及
[00:02:15.000 --> 00:02:21.000]  在三個月之後他們來到西奈山
[00:02:21.000 --> 00:02:24.000]  日本的西奈山
[00:02:24.000 --> 00:02:31.000]  神與以色列民十二支派 百姓立了一個非常重要的約
[00:02:31.000 --> 00:02:36.000]  十誡是這個納約當中最重要的內容
[00:02:36.000 --> 00:02:41.000]  核心的思想就是神要先施恩
[00:02:41.000 --> 00:02:45.000]  然後祂會先要求我們去信服
[00:02:45.000 --> 00:02:49.000]  所以這是神對我們的恩典 對我們的愛心
[00:02:49.000 --> 00:02:53.000]  經文20章第一到第二節
[00:02:53.000 --> 00:02:56.000]  這裡主耶和華這樣說
[00:02:56.000 --> 00:03:00.000]  吩咐一切的話來給以色列民
[00:03:00.000 --> 00:03:03.000]  神說:我是耶和華你的神
[00:03:03.000 --> 00:03:07.000]  曾將你從埃及地圍爐之家領出來
[00:03:07.000 --> 00:03:10.000]  在這裡我們看到神首先介紹自己
