
[00:00:00.000 --> 00:00:02.000]  你們要讚美神
[00:00:02.000 --> 00:00:06.100]  這不僅是師班所表述的
[00:00:06.100 --> 00:00:09.000]  也是我們每位屬神的兒女
[00:00:09.000 --> 00:00:10.800]  無論環境如何
[00:00:10.800 --> 00:00:12.100]  世局如何
[00:00:12.100 --> 00:00:14.000]  我們都要讚美神
[00:00:14.000 --> 00:00:18.900]  有一位患了末期癌症
[00:00:18.900 --> 00:00:22.800]  正在接受媽啡治療的姐妹
[00:00:22.800 --> 00:00:25.700]  探望她的時候
[00:00:26.800 --> 00:00:30.500]  她痛到面容扭曲
[00:00:30.500 --> 00:00:34.900]  可以說沒什麼可以說
[00:00:34.900 --> 00:00:37.800]  禮貌性的回答
[00:00:37.800 --> 00:00:40.500]  但你看到她的痛
[00:00:40.500 --> 00:00:43.100]  是痛到不想說話
[00:00:43.100 --> 00:00:46.100]  有一位姐妹
[00:00:46.100 --> 00:00:48.400]  最近喪偶
[00:00:48.400 --> 00:00:51.600]  你有沒有想過
[00:00:51.600 --> 00:00:53.600]  一個喪偶的人
[00:00:54.000 --> 00:00:57.600]  那種痛是多麼深
[00:00:57.600 --> 00:01:01.900]  看得出她的情緒還沒有平伏
[00:01:01.900 --> 00:01:05.900]  甚至鬥志一直下降
[00:01:05.900 --> 00:01:09.300]  也有一位姐妹
[00:01:09.300 --> 00:01:11.900]  最近遇到婚姻危機
[00:01:11.900 --> 00:01:15.400]  在她的分享裡面
[00:01:15.400 --> 00:01:17.100]  她最後那句話
[00:01:17.100 --> 00:01:19.400]  「主都不祝福我的」
[00:01:19.400 --> 00:01:22.700]  有一位弟兄
[00:01:23.800 --> 00:01:24.800]  他分享
[00:01:24.800 --> 00:01:30.400]  「為什麼長期為感情和婚姻祈禱」
[00:01:30.400 --> 00:01:34.400]  「天父還沒為我成就」
[00:01:34.400 --> 00:01:36.900]  是一個已經
[00:01:36.900 --> 00:01:40.300]  超過適婚年齡的弟兄
[00:01:40.300 --> 00:01:43.100]  教會熱心侍奉的弟兄
[00:01:43.100 --> 00:01:45.800]  他內心那種掙扎
[00:01:45.800 --> 00:01:48.500]  甚至最近
[00:01:48.500 --> 00:01:51.100]  他收到學校的通知
[00:01:51.100 --> 00:01:53.100]  六月收到通知
[00:01:53.100 --> 00:01:54.500]  九月就不用教了
[00:01:54.500 --> 00:01:57.400]  雙重的打擊
[00:01:57.400 --> 00:02:02.800]  理論上他知道他仍然依靠上帝
[00:02:02.800 --> 00:02:05.300]  但內心那種痛
[00:02:05.300 --> 00:02:07.400]  內心那種不明白
[00:02:07.400 --> 00:02:09.300]  是存在的
[00:02:09.300 --> 00:02:12.300]  最近香港這麼多問題
[00:02:12.300 --> 00:02:14.800]  每個人都有不同的情緒
[00:02:14.800 --> 00:02:19.400]  有一位姐妹
[00:02:21.900 --> 00:02:24.900]  她分享在工作中遇到不公平的對待
[00:02:24.900 --> 00:02:26.900]  那個不相同的同事
[00:02:26.900 --> 00:02:29.100]  只因為她有少許知識
[00:02:29.100 --> 00:02:31.400]  知識的意思不是學識
[00:02:31.400 --> 00:02:32.700]  是美貌
[00:02:32.700 --> 00:02:34.500]  她找到很多客人
[00:02:34.500 --> 00:02:36.900]  這位姐妹說
[00:02:36.900 --> 00:02:39.600]  「我作為神的兒女」
[00:02:39.600 --> 00:02:41.500]  「為什麼神沒有賜福我」
[00:02:41.500 --> 00:02:47.700]  有家長
[00:02:47.700 --> 00:02:51.500]  因為小朋友中學派位不理想
[00:02:52.900 --> 00:02:54.700]  做父母很憂愁
[00:02:54.700 --> 00:02:58.700]  而小朋友也非常傷心
[00:02:58.700 --> 00:03:02.200]  有位姐妹的家人有病
[00:03:02.200 --> 00:03:04.900]  媽媽的情況越來越轉差
[00:03:04.900 --> 00:03:06.500]  她說
[00:03:06.500 --> 00:03:08.800]  「我聽到之後都很擔心」
[00:03:08.800 --> 00:03:13.300]  「我知道我應該要和媽媽一起祈禱」
[00:03:13.300 --> 00:03:15.200]  「但這一刻」
[00:03:15.200 --> 00:03:18.400]  「我自己都不知道可以怎麼祈禱」
[00:03:20.400 --> 00:03:22.400]  面對這些頂姐妹的需要
[00:03:22.400 --> 00:03:24.400]  頂姐妹
[00:03:24.400 --> 00:03:26.900]  我承認
[00:03:26.900 --> 00:03:29.400]  可能我們都不知道怎麼安慰
[00:03:29.400 --> 00:03:32.400]  甚至最近也有一位團友
[00:03:32.400 --> 00:03:35.800]  他最近又再次中風
[00:03:35.800 --> 00:03:37.400]  是很短時間
[00:03:37.400 --> 00:03:39.600]  我們怎麼安慰他呢
[00:03:39.600 --> 00:03:44.100]  就算我們安慰這些頂姐妹
[00:03:44.100 --> 00:03:47.800]  似乎好像都不是那麼大幫助
[00:03:47.800 --> 00:03:50.000]  我只要想為什麼
[00:03:51.100 --> 00:03:52.500]  有可能有兩個原因
[00:03:52.500 --> 00:03:54.000]  第一個原因
[00:03:54.000 --> 00:03:55.600]  對於當事人來說
