
[00:00:00.000 --> 00:00:04.000]  (主席)你們買了聖誕禮物沒有呢?
[00:00:04.000 --> 00:00:07.000]  (主席)在買了是嗎?
[00:00:07.000 --> 00:00:10.000]  (主席)在美國人的傳統
[00:00:10.000 --> 00:00:17.000]  (主席)他們會在感恩節之後的週末
[00:00:17.000 --> 00:00:20.000]  (主席)就是他們的黑色星期五
[00:00:20.000 --> 00:00:22.000]  (主席)就是黃金銷售日
[00:00:22.000 --> 00:00:26.000]  (主席)就是大公司的減價
[00:00:26.000 --> 00:00:31.000]  (主席)今年感恩節那段時間到現在
[00:00:31.000 --> 00:00:33.000]  (主席)都是比較黑色
[00:00:33.000 --> 00:00:37.000]  (主席)接二連三的恐怖襲擊
[00:00:37.000 --> 00:00:40.000]  (主席)早兩天美國加州
[00:00:40.000 --> 00:00:43.000]  (主席)都是同樣發生這些恐怖的槍擊事件
[00:00:43.000 --> 00:00:47.000]  (主席)都相信是和伊斯蘭國的
[00:00:47.000 --> 00:00:51.000]  (主席)恐怖的行動有關聯
[00:00:51.000 --> 00:00:53.000]  (主席)所以看到
[00:00:55.000 --> 00:00:59.000]  (主席)第一個平安夜之前的日子
[00:00:59.000 --> 00:01:06.000]  (主席)和今天香港或世界的處境一樣
[00:01:06.000 --> 00:01:08.000]  (主席)是充滿不安
[00:01:08.000 --> 00:01:10.000]  (主席)充滿危機
[00:01:10.000 --> 00:01:15.000]  (主席)無論在國際的政治形勢
[00:01:15.000 --> 00:01:19.000]  (主席)以至經濟或個人
[00:01:19.000 --> 00:01:23.000]  (主席)都可能面對很多不安的處境
[00:01:25.000 --> 00:01:28.000]  這個星期看亞洲周刊
[00:01:28.000 --> 00:01:31.000]  不知道算不算是危言聳聽
[00:01:31.000 --> 00:01:34.000]  看新聞的時候
[00:01:34.000 --> 00:01:37.000]  俄羅斯軍機被土耳其擊落
[00:01:37.000 --> 00:01:39.000]  都不覺得是什麼
[00:01:39.000 --> 00:01:42.000]  都是小事又不小的事
[00:01:42.000 --> 00:01:44.000]  越看越大件事
[00:01:44.000 --> 00:01:48.000]  這件事牽引美蘇的惡鬥
