
[00:00:00.000 --> 00:00:05.000]  今年教會的主題是夢想禱告與行動
[00:00:05.000 --> 00:00:10.900]  這不只是印在日曆上非常好看的一個標題而已
[00:00:10.900 --> 00:00:14.600]  我越來越看見這是神在教會當中
[00:00:14.600 --> 00:00:18.000]  神的手正在做的工作
[00:00:18.000 --> 00:00:20.100]  為什麼我們可以夢想
[00:00:20.100 --> 00:00:24.000]  因為今天我們有一位能夠始無變有的神
[00:00:24.000 --> 00:00:26.400]  在他沒有難成的事情
[00:00:26.400 --> 00:00:28.200]  為什麼我們可以夢想
[00:00:28.200 --> 00:00:30.000]  因為今天在生命盒裡面
[00:00:30.000 --> 00:00:36.100]  神已經賜給我們像以撒那樣打井得水的恩高
[00:00:36.100 --> 00:00:38.700]  只要我們能夠勇敢的行動
[00:00:38.700 --> 00:00:43.200]  我們就能夠經歷神應許的成就
[00:00:43.200 --> 00:00:48.100]  你還記得幾年前在Saint Jacob來到我們教會
[00:00:48.100 --> 00:00:50.100]  他說一走進我們教會
[00:00:50.100 --> 00:00:52.400]  他就看見上面一個字
[00:00:52.400 --> 00:00:55.900]  就是influence 影響力
[00:00:55.900 --> 00:00:59.800]  我就發現上帕從那個時候開始
[00:00:59.800 --> 00:01:05.500]  神的手就一直帶領我們教會走上一條新的道路
[00:01:05.500 --> 00:01:09.500]  在不知不覺間真的走上一條新的道路
[00:01:09.500 --> 00:01:12.600]  一條向來沒有走過的道路
[00:01:12.600 --> 00:01:16.500]  也是一條影響世代的道路
[00:01:16.500 --> 00:01:18.700]  這為什麼神在去年
[00:01:18.700 --> 00:01:21.000]  就我們預備了一個敞開的門
[00:01:21.000 --> 00:01:25.200]  讓我們能夠在Cupertino天天超市的旁邊
[00:01:25.200 --> 00:01:28.400]  我們開始了生命盒教育學院
[00:01:28.400 --> 00:01:30.000]  這為什麼今年
[00:01:30.000 --> 00:01:33.000]  神給我們一個意想不到的機會
[00:01:33.000 --> 00:01:37.600]  讓我們能夠擁有一個無線電視台優勢頻道
[00:01:37.600 --> 00:01:40.700]  我相信這都是神所為我們預備
[00:01:40.700 --> 00:01:45.600]  進入社區影響世代的平台
[00:01:45.600 --> 00:01:47.600]  什麼是平台
[00:01:47.600 --> 00:01:54.800]  平台就是一個教會能夠進入社區的橋樑或者是觸角
[00:01:54.800 --> 00:01:59.100]  你知道以前我們看見教會多半都是躲在教會裡面
[00:01:59.100 --> 00:02:01.900]  我們只關心教會自己的活動
[00:02:01.900 --> 00:02:06.800]  我們只注意到怎麼樣能夠滿足教會內部各樣的需要
[00:02:06.800 --> 00:02:10.800]  我們所有的資源都是用在我們教會自己的發展
[00:02:10.800 --> 00:02:13.600]  或者是傳福音的事情上
[00:02:13.600 --> 00:02:16.600]  難怪有人說教會好像孤島
[00:02:16.600 --> 00:02:18.000]  你聽過人說嗎
[00:02:18.000 --> 00:02:20.300]  好像島上的人自己非常忙碌
[00:02:20.300 --> 00:02:22.200]  忙自己要忙的事情
[00:02:22.200 --> 00:02:25.300]  跟外界好像毫無關係
[00:02:25.300 --> 00:02:31.400]  今天我發現很多時候教會跟社區好像是截然兩個不同的世界
[00:02:31.400 --> 00:02:34.800]  結果不但教會失去了影響力
[00:02:34.800 --> 00:02:40.200]  而且神的愛跟恩典也無法湧流出去
[00:02:40.200 --> 00:02:41.900]  為什麼湧流不出去呢
[00:02:41.900 --> 00:02:43.500]  不是我們不想
[00:02:43.500 --> 00:02:45.700]  教會很想湧流
[00:02:45.700 --> 00:02:52.700]  只是在過去我們並沒有積極打造能夠進入世界的平台
[00:02:52.700 --> 00:02:54.000]  沒有平台
[00:02:54.000 --> 00:02:56.700]  愛就湧流不出去
[00:02:56.700 --> 00:02:58.200]  所以在過去這些年日裡面
[00:02:58.200 --> 00:03:01.400]  我越來越看見神的手在做什麼
[00:03:01.400 --> 00:03:05.200]  神的手在我們教會其實一直在引導我們
[00:03:05.200 --> 00:03:08.500]  在打造各樣的平台
[00:03:08.500 --> 00:03:11.300]  能夠進入社區當中
[00:03:11.300 --> 00:03:14.000]  職場是一個平台
[00:03:14.000 --> 00:03:16.400]  今天很多弟兄姊妹都在職場上
[00:03:16.400 --> 00:03:20.900]  你可知道職場是一個非常有效的平台嗎
[00:03:20.900 --> 00:03:26.300]  我常說只要你能夠在職場上有卓越的表現
[00:03:26.300 --> 00:03:30.100]  只要你在職場上能夠帶來答案
[00:03:30.100 --> 00:03:32.300]  你就有影響力
[00:03:32.300 --> 00:03:35.300]  你們今天很多時候是
[00:03:35.300 --> 00:03:37.800]  我覺得基督徒的問題
[00:03:37.800 --> 00:03:40.400]  就是躲在教會很屬靈
[00:03:40.400 --> 00:03:42.900]  在職場一點都不卓越
[00:03:42.900 --> 00:03:45.800]  所以難怪我們很難能夠產生影響力
[00:03:45.800 --> 00:03:47.300]  你要有影響力
[00:03:47.300 --> 00:03:50.600]  一定要在你所做的事情上盡上努力
[00:03:50.600 --> 00:03:52.100]  百分之百投入
[00:03:52.100 --> 00:03:55.500]  能夠活出卓越的表現
[00:03:55.500 --> 00:03:57.800]  基金會是一種平台
[00:03:57.800 --> 00:03:59.200]  透過愛心的行動
[00:03:59.200 --> 00:04:02.600]  否則這個世界怎麼知道耶穌愛他們呢
[00:04:02.600 --> 00:04:04.300]  透過我們愛心的行動
[00:04:04.300 --> 00:04:08.000]  實際進入一些需要的人群當中
[00:04:08.000 --> 00:04:09.800]  去服務他們
[00:04:09.800 --> 00:04:13.600]  這個世界才能夠明白基督的愛
[00:04:13.600 --> 00:04:17.200]  才能夠將榮耀歸給父神
[00:04:17.200 --> 00:04:19.400]  教育是一種平台
[00:04:19.400 --> 00:04:21.600]  藉著潛移默化的教導
[00:04:21.600 --> 00:04:23.000]  讓我們下一代
[00:04:23.000 --> 00:04:27.000]  能夠擁有正確的聖經價值觀
[00:04:27.000 --> 00:04:30.600]  當然媒體是最直接
[00:04:30.600 --> 00:04:32.700]  最有果效的平台
[00:04:32.700 --> 00:04:34.300]  以前做牧師講片道
[00:04:34.300 --> 00:04:36.800]  如果一千人聽就非常了不起了
[00:04:36.800 --> 00:04:41.500]  現在隨便一上網上百人都可以聽得見
[00:04:41.500 --> 00:04:45.200]  可見媒體的影響力有多大
[00:04:45.200 --> 00:04:48.600]  我相信這是為什麼神要帶領我們
[00:04:48.600 --> 00:04:52.500]  開始優視頻道的電視台的原因
[00:04:52.500 --> 00:04:56.300]  今天我要從好幾方面來講到優視頻道
[00:04:56.300 --> 00:04:58.700]  你說為什麼要講這個題目呢
[00:04:58.700 --> 00:05:01.500]  因為優視頻道是屬於教會的頻道
[00:05:01.500 --> 00:05:03.200]  是屬於你的頻道
[00:05:03.200 --> 00:05:06.300]  跟你們說屬於你的頻道
[00:05:06.300 --> 00:05:08.200]  你應當關心
[00:05:08.200 --> 00:05:10.600]  你應當明白
[00:05:10.600 --> 00:05:11.600]  從幾方面來講
[00:05:11.600 --> 00:05:14.300]  第一個我們要從優視的起源來講
[00:05:14.300 --> 00:05:16.400]  怎麼開始
[00:05:16.400 --> 00:05:18.000]  其實我們教會
[00:05:18.000 --> 00:05:21.000]  一直都在做媒體的施工
[00:05:21.000 --> 00:05:22.700]  我們所製作的節目
[00:05:22.700 --> 00:05:26.300]  也在世界各個不同的地區正在播放
[00:05:26.300 --> 00:05:30.400]  我們從來沒有想到過要做一個電視台
[00:05:30.400 --> 00:05:33.000]  而且也是不敢想
