
[00:00:00.000 --> 00:00:04.000]  自古至今都有不少英雄豪傑
[00:00:04.000 --> 00:00:07.000]  英雄給我們的印象
[00:00:07.000 --> 00:00:10.480]  都是有異於常人的能力
[00:00:10.480 --> 00:00:13.120]  他們能人所不能
[00:00:13.120 --> 00:00:15.680]  他們有魅力
[00:00:15.680 --> 00:00:17.320]  受人擁戴
[00:00:17.320 --> 00:00:19.400]  又有高尚的人格
[00:00:19.400 --> 00:00:24.400]  對社會很有貢獻
[00:00:24.400 --> 00:00:26.080]  按照這個標準
[00:00:26.080 --> 00:00:30.680]  可能要做一個英雄也不是一件容易的事
[00:00:30.680 --> 00:00:33.440]  你覺得你自己是否一個英雄呢?
[00:00:33.440 --> 00:00:36.920]  你又想不想做一個英雄呢?
[00:00:36.920 --> 00:00:40.480]  著名的中國當代詩人北島
[00:00:40.480 --> 00:00:44.680]  他在六四之後移居海外
[00:00:44.680 --> 00:00:48.560]  他現在是香港中文大學
[00:00:48.560 --> 00:00:51.720]  文學院的榮譽教授
[00:00:51.720 --> 00:00:56.280]  他曾經寫過一首詩
[00:00:56.280 --> 00:00:57.920]  「我並不是英雄
[00:00:57.920 --> 00:01:00.640]  在沒有英雄的年代裡
[00:01:00.640 --> 00:01:03.720]  我只想做一個人」
[00:01:03.720 --> 00:01:06.320]  這句話很有意思
[00:01:06.320 --> 00:01:08.480]  在一個真理不彰
[00:01:08.480 --> 00:01:10.520]  是非難辨的世代
[00:01:10.520 --> 00:01:12.600]  能夠好好的去做一個人
[00:01:12.600 --> 00:01:15.040]  其實已經不簡單了
[00:01:15.040 --> 00:01:19.320]  在舊約聖經的士詩年代
[00:01:19.320 --> 00:01:22.960]  那是一個非常混亂的年代
[00:01:22.960 --> 00:01:25.680]  根本不容易去分辨出
[00:01:25.680 --> 00:01:28.880]  誰是真正的英雄
[00:01:28.880 --> 00:01:31.240]  更令人困惑的是
[00:01:31.240 --> 00:01:32.440]  有些士詩
[00:01:32.440 --> 00:01:35.400]  士詩是以色列人當時的領袖
[00:01:35.400 --> 00:01:36.840]  有些士詩
[00:01:36.840 --> 00:01:40.120]  他們根本其身不正
[00:01:40.120 --> 00:01:43.040]  不要說做一個民族英雄
[00:01:43.040 --> 00:01:47.000]  就算做一個普通的老百姓
[00:01:47.000 --> 00:01:50.720]  他們的操守都是受到質疑的
[00:01:50.720 --> 00:01:53.520]  其中一個就是基奠
[00:01:53.520 --> 00:01:58.600]  基奠是一個頗有爭議性的人物
[00:01:58.600 --> 00:02:00.080]  兩個星期前
[00:02:00.080 --> 00:02:03.640]  道生跟我們說過
[00:02:03.640 --> 00:02:08.880]  神如何呼召基奠成為以色列人的士詩
[00:02:08.880 --> 00:02:11.920]  今天我想跟大家一起去看看
[00:02:11.920 --> 00:02:13.440]  這個基奠
[00:02:13.440 --> 00:02:16.160]  他如何由一個簡直無名的小子
[00:02:16.160 --> 00:02:19.000]  慢慢變成一個真正的領袖
[00:02:19.000 --> 00:02:21.480]  然後他又在高峰那裏
[00:02:21.480 --> 00:02:24.920]  他的生命慢慢在高峰那裏滑落
[00:02:24.920 --> 00:02:27.400]  我們就要看看這個過程裏面
[00:02:27.400 --> 00:02:31.240]  我們在當中看看有沒有甚麼教訓
[00:02:31.240 --> 00:02:32.760]  我們可以來吸取
[00:02:32.760 --> 00:02:35.800]  以致我們都可以在神的面前
[00:02:35.800 --> 00:02:39.720]  做一個他喜悅的言論
[00:02:39.720 --> 00:02:43.400]  首先我們就看看這個膽小的人
[00:02:43.400 --> 00:02:47.440]  他如何蛻變成為一個真正的領袖
[00:02:47.440 --> 00:02:51.120]  耶和華的使者在第一次顯現的時候
[00:02:51.120 --> 00:02:56.080]  沒錯 他已經稱呼基奠為大能的勇士
[00:02:56.080 --> 00:02:58.840]  但是我們接著看到那些經文
[00:02:58.840 --> 00:03:01.400]  其實有好幾處都是說到
[00:03:01.400 --> 00:03:03.720]  基奠是很害怕的
[00:03:03.720 --> 00:03:07.200]  他是沒有膽的 是很害怕的
[00:03:07.200 --> 00:03:09.440]  第一次這樣提他害怕的
[00:03:09.440 --> 00:03:12.920]  就是他第一次向神求印證的時候
[00:03:12.920 --> 00:03:15.840]  因為當時有神的使者向他顯現
[00:03:15.840 --> 00:03:18.880]  不知道這個是不是來自神的
