
[00:00:00.000 --> 00:00:03.820]  剛才大家讀了很長的經文
[00:00:03.820 --> 00:00:06.240]  因為我今天要講很長的經文
[00:00:06.240 --> 00:00:09.140]  由第一章至第五章
[00:00:09.140 --> 00:00:11.640]  都是簡例讀
[00:00:11.640 --> 00:00:12.980]  相信都不是很完整
[00:00:12.980 --> 00:00:14.360]  但給大家有個感覺
[00:00:14.360 --> 00:00:17.000]  這是一個背景
[00:00:17.000 --> 00:00:21.480]  就是當時以色列人的社會
[00:00:21.480 --> 00:00:26.880]  或者他們的生活信仰的一個氣候
[00:00:26.880 --> 00:00:31.500]  都感覺到他們不是很妥當
[00:00:31.500 --> 00:00:38.940]  今天繼續跟大家講小鮮之書
[00:00:38.940 --> 00:00:41.080]  小鮮之書裏面有十二卷
[00:00:41.080 --> 00:00:44.220]  十二小鮮之
[00:00:44.220 --> 00:00:45.760]  第一卷是荷西亞書
[00:00:45.760 --> 00:00:49.220]  我在三月的時候講過了
[00:00:49.220 --> 00:00:52.480]  接著第二卷其實是約爾書
[00:00:52.480 --> 00:00:57.380]  我暫時不講 跳過了 遲些再講
[00:00:57.380 --> 00:01:01.160]  今天講第三卷的小鮮之書
[00:01:01.160 --> 00:01:05.520]  叫做阿摩斯書
[00:01:05.520 --> 00:01:08.360]  為什麼我要跳過了約爾書
[00:01:08.360 --> 00:01:11.280]  而先講阿摩斯書呢
[00:01:11.280 --> 00:01:12.520]  有好幾個原因
[00:01:12.520 --> 00:01:15.040]  我自己的原因
[00:01:15.040 --> 00:01:24.320]  第一 阿摩斯先知和荷西亞先知是同期人物
[00:01:24.320 --> 00:01:30.600]  很可能阿摩斯還會早十年八年
[00:01:30.600 --> 00:01:35.840]  第二個理由就是十二小鮮之裏面
[00:01:35.840 --> 00:01:41.360]  只有這兩個 荷西亞先知和阿摩斯先知
[00:01:41.360 --> 00:01:47.640]  只有這兩個先知向北角以色列宣講
[00:01:47.640 --> 00:01:52.440]  十二小鮮之裏面只有兩個
[00:01:52.440 --> 00:01:56.640]  第三個理由就是這兩個先知所講的訊息
[00:01:56.640 --> 00:02:00.600]  有一個大題目是很相同的
[00:02:00.600 --> 00:02:07.640]  都是指責以色列人背棄神 拜偶像
[00:02:07.640 --> 00:02:14.040]  他們的信仰是表面和虛假 走歪了
[00:02:14.040 --> 00:02:21.040]  不同的地方就是荷西亞先知的訊息
[00:02:21.040 --> 00:02:26.040]  是強調神永不止息的愛
[00:02:26.040 --> 00:02:35.360]  是說何時人民悔改回頭 神就會赦免他們
[00:02:35.360 --> 00:02:39.320]  阿摩斯先知強調的是神的公義
[00:02:39.320 --> 00:02:45.440]  因此神對缺乏公義的以色列人
[00:02:45.440 --> 00:02:49.040]  是會施行審判懲罰
[00:02:49.040 --> 00:02:52.240]  當然背後仍然有恩典憐憫
[00:02:52.240 --> 00:02:56.440]  如果他們肯認不歸向神
[00:02:56.440 --> 00:02:59.240]  但當何時他們悔改歸向神
[00:02:59.240 --> 00:03:03.040]  神當然仍然會赦免他們
[00:03:03.040 --> 00:03:07.040]  我們知道很可惜 當時的以色列人
[00:03:07.040 --> 00:03:14.040]  雖然聽完同時期兩個先知的宣告 勸導 譴責
[00:03:14.040 --> 00:03:16.040]  似乎他們是無動於衷
[00:03:16.040 --> 00:03:22.040]  大約在三四十年後 他們就國破家亡
[00:03:26.040 --> 00:03:34.040]  有一個問題是 在二千七百多年前 阿摩斯先知的訊息
[00:03:34.040 --> 00:03:40.040]  對我們現代的信徒 究竟還有沒有意思呢?
[00:03:40.040 --> 00:03:42.040]  適不適合我們用呢?
