
[00:00:00.000 --> 00:00:03.000]  就係我哋今年嘅全年嘅主題
[00:00:03.000 --> 00:00:07.000]  阿媽sir過去幾個禮拜都係講過呢個題目
[00:00:07.000 --> 00:00:10.000]  係我哋今年嘅教會嘅一個好重要嘅主題
[00:00:10.000 --> 00:00:13.000]  叫做「同健康教會」
[00:00:13.000 --> 00:00:16.000]  咁我想問你鍾唔鍾意呢個主題
[00:00:16.000 --> 00:00:19.000]  不過有時覺得我咁問好似好幼稚咁樣
[00:00:19.000 --> 00:00:21.000]  食雪糕咩鍾唔鍾意
[00:00:21.000 --> 00:00:24.000]  其實應該問你你覺得呢個主題重唔重要
[00:00:24.000 --> 00:00:25.000]  重唔重要
[00:00:25.000 --> 00:00:26.000]  重要
[00:00:26.000 --> 00:00:28.000]  健康梗係重要囉
[00:00:28.000 --> 00:00:30.000]  人人都覺得健康係重要㗎
[00:00:30.000 --> 00:00:31.000]  所以我哋個人啦
[00:00:31.000 --> 00:00:33.000]  我哋先會煲咁多靚湯
[00:00:33.000 --> 00:00:36.000]  我哋先會身水身汗都會走去跑
[00:00:36.000 --> 00:00:37.000]  我哋會耍太極
[00:00:37.000 --> 00:00:40.000]  因為我哋知道健康係好緊要㗎
[00:00:40.000 --> 00:00:43.000]  唔健康呢我哋會好弱
[00:00:43.000 --> 00:00:44.000]  我哋會病
[00:00:44.000 --> 00:00:46.000]  我哋甚至會死
[00:00:46.000 --> 00:00:48.000]  個人嘅健康緊要
[00:00:48.000 --> 00:00:50.000]  家庭嘅健康緊要
[00:00:50.000 --> 00:00:52.000]  其實教會嘅健康
[00:00:52.000 --> 00:00:53.000]  同樣係咁緊要
[00:00:53.000 --> 00:00:56.000]  因為老實講如果教會唔健康呢
[00:00:56.000 --> 00:00:58.000]  係會弱會病
[00:00:58.000 --> 00:01:00.000]  都會死㗎
[00:01:00.000 --> 00:01:02.000]  所以呢
[00:01:02.000 --> 00:01:04.000]  我哋真係今年呢一個
[00:01:04.000 --> 00:01:06.000]  同健健康教會
[00:01:06.000 --> 00:01:08.000]  係一個好重要嘅題目嚟㗎
[00:01:08.000 --> 00:01:10.000]  不過呢幕後消息呢
[00:01:10.000 --> 00:01:12.000]  想話畀大家聽呢就係
[00:01:12.000 --> 00:01:14.000]  喺呢個主題之前呢
[00:01:14.000 --> 00:01:16.000]  其實馬sir首先呢
[00:01:16.000 --> 00:01:18.000]  喺年初嘅時候佢有另外一個主題嘅
[00:01:18.000 --> 00:01:20.000]  就係呢一個
[00:01:20.000 --> 00:01:23.000]  closer and stronger
[00:01:23.000 --> 00:01:25.000]  阿德馬sir同我講呢個題目嘅時候呢
[00:01:25.000 --> 00:01:27.000]  我覺得好正喎
[00:01:27.000 --> 00:01:29.000]  我自己點解覺得好正呢
[00:01:29.000 --> 00:01:31.000]  因為我覺得係一個好
[00:01:31.000 --> 00:01:33.000]  真係好盜慾一諗起closer and stronger
[00:01:33.000 --> 00:01:35.000]  我諗起好多嘢
[00:01:35.000 --> 00:01:37.000]  我覺得非常之好
[00:01:37.000 --> 00:01:39.000]  但係我唔知點解後來馬sir會
[00:01:39.000 --> 00:01:41.000]  用咗同健健康教會
[00:01:41.000 --> 00:01:43.000]  但係我知道佢睇緊嘅係一個
[00:01:43.000 --> 00:01:45.000]  更加大嘅圖畫
[00:01:45.000 --> 00:01:47.000]  而我亦都知道
[00:01:47.000 --> 00:01:49.000]  只要我哋closer and stronger嘅時候
[00:01:49.000 --> 00:01:51.000]  我哋就有一間健康
[00:01:51.000 --> 00:01:53.000]  而且絕壯嘅教會
[00:01:53.000 --> 00:01:55.000]  一個健康
[00:01:55.000 --> 00:01:57.000]  同埋絕壯嘅教會呢
[00:01:57.000 --> 00:01:59.000]  其實係好多方面嘅
[00:01:59.000 --> 00:02:01.000]  你同同意呀
[00:02:01.000 --> 00:02:03.000]  講道啦
[00:02:03.000 --> 00:02:05.000]  教導啦
[00:02:05.000 --> 00:02:07.000]  傳導啦
[00:02:07.000 --> 00:02:09.000]  仲有一樣
[00:02:09.000 --> 00:02:11.000]  唔知你諗唔諗到係咩呢
[00:02:11.000 --> 00:02:13.000]  就係人與人之間
[00:02:13.000 --> 00:02:15.000]  相處之道重要嘛
[00:02:15.000 --> 00:02:17.000]  係非常之重要
[00:02:17.000 --> 00:02:19.000]  人與人之間
[00:02:19.000 --> 00:02:21.000]  相處之道
[00:02:21.000 --> 00:02:23.000]  對教會重要
[00:02:23.000 --> 00:02:25.000]  對我哋生活每一個範疇都係咁重要
[00:02:25.000 --> 00:02:27.000]  呢個題目
[00:02:27.000 --> 00:02:29.000]  真係可以講十日都講唔晒
