
[00:00:00.000 --> 00:00:07.000]  在剛纔這個向神說一聲早晨,這個神土的詩歌裏面
[00:00:07.000 --> 00:00:10.000]  其實有一句說話都不容易
[00:00:10.000 --> 00:00:13.000]  當我們靈女禱告的時候
[00:00:13.000 --> 00:00:17.000]  我們要向神來表達我們的吶喊
[00:00:17.000 --> 00:00:19.000]  的意思是什麼呢?
[00:00:19.000 --> 00:00:24.000]  在那裏喊,我們在神面前來喊
[00:00:24.000 --> 00:00:27.000]  我們今天是一起詩上
[00:00:27.000 --> 00:00:30.000]  詩篇八十八篇,這首詩篇是
[00:00:30.000 --> 00:00:33.000]  荷拉後裔的詩篇
[00:00:33.000 --> 00:00:36.000]  是希曼所寫的
[00:00:36.000 --> 00:00:39.000]  這首詩篇我們可以形容爲一首
[00:00:39.000 --> 00:00:43.000]  非常慘烈的詩篇
[00:00:43.000 --> 00:00:45.000]  我們今天的講題是
[00:00:45.000 --> 00:00:49.000]  天天的求告神
[00:00:49.000 --> 00:00:52.000]  是一個帶着一個祈求
[00:00:52.000 --> 00:00:58.000]  向神的面前很誠實地去向祂祈禱
[00:00:58.000 --> 00:01:00.000]  我想我們每一次祈禱的時候
[00:01:00.000 --> 00:01:02.000]  我們當然可以很喜樂
[00:01:02.000 --> 00:01:03.000]  我們讚美神
[00:01:03.000 --> 00:01:07.000]  因爲神賜給我們那個順境
[00:01:07.000 --> 00:01:10.000]  但我們有時候的禱告,其實等於姐妹
[00:01:10.000 --> 00:01:12.000]  我們在逆境裏面
[00:01:12.000 --> 00:01:14.000]  今天這首詩篇
[00:01:14.000 --> 00:01:16.000]  向我們發出一個禱告
[00:01:16.000 --> 00:01:19.000]  生命裏面的操練和挑戰
[00:01:19.000 --> 00:01:22.000]  就是我們要天天的禱告神
[00:01:22.000 --> 00:01:24.000]  無論得時與不得時
[00:01:24.000 --> 00:01:27.000]  順境你的祈禱當然是好
[00:01:27.000 --> 00:01:29.000]  但在逆境裏面
[00:01:29.000 --> 00:01:31.000]  在很慘烈的情況裏面
