
[00:00:00.000 --> 00:00:04.000]  所以今天特別為大家寫了一篇新的講章
[00:00:04.000 --> 00:00:08.000]  就是《突破魯莽,敬神敬人》
[00:00:08.000 --> 00:00:09.000]  大家都很熟悉《十誡》
[00:00:09.000 --> 00:00:10.000]  在《十誡》裡面
[00:00:10.000 --> 00:00:13.000]  我想第一、第二誡就很清楚地說什麼呢?
[00:00:13.000 --> 00:00:15.000]  他說到第一誡就是
[00:00:15.000 --> 00:00:18.000]  除了我以外,不可有別的神
[00:00:18.000 --> 00:00:22.000]  是特別提醒我們要敬拜獨一的真神
[00:00:22.000 --> 00:00:25.000]  而我們也確信在這個世界宇宙當中
[00:00:25.000 --> 00:00:28.000]  只有一位獨一的真神
[00:00:28.000 --> 00:00:31.000]  那麼第二誡是講什麼呢?
[00:00:31.000 --> 00:00:34.000]  第二誡就是不可有雕刻偶像
[00:00:34.000 --> 00:00:35.000]  很多時候我們誤會了
[00:00:35.000 --> 00:00:38.000]  以為叫我們不要拜那些假神、菩薩
[00:00:38.000 --> 00:00:39.000]  是可以這樣應用
[00:00:39.000 --> 00:00:44.000]  但是絕對這條誡命不是指拜假神
[00:00:44.000 --> 00:00:49.000]  不要將一位超然的神變成為偶像
[00:00:49.000 --> 00:00:50.000]  很簡單舉一個例子
[00:00:50.000 --> 00:00:53.000]  記不記得摩西上了西賴山四十天
[00:00:53.000 --> 00:00:54.000]  回來的時候
[00:00:54.000 --> 00:00:56.000]  那些人是不是拜金牛毒的?
[00:00:56.000 --> 00:00:57.000]  你看看《聖經》
[00:00:57.000 --> 00:00:59.000]  他不是拜那隻牛
[00:00:59.000 --> 00:01:01.000]  是向耶和華獻祭的
[00:01:01.000 --> 00:01:03.000]  要守節
[00:01:03.000 --> 00:01:05.000]  但是把神貶低了
[00:01:05.000 --> 00:01:06.000]  這個不詳細說了
[00:01:06.000 --> 00:01:09.000]  那麼第三誡是什麼呢?
[00:01:09.000 --> 00:01:14.000]  這個就是講到我們不可以妄稱神的名
[00:01:14.000 --> 00:01:16.000]  好,我們再讀
[00:01:16.000 --> 00:01:18.000]  《出乃及記》二十章第七節
[00:01:18.000 --> 00:01:20.000]  我們一起來讀出
[00:01:20.000 --> 00:01:23.000]  不可妄稱耶和華理神的名
[00:01:23.000 --> 00:01:25.000]  因為妄稱耶和華名的
[00:01:25.000 --> 00:01:28.000]  耶和華必不以他為無罪
[00:01:28.000 --> 00:01:30.000]  千萬不要妄稱神的名
[00:01:30.000 --> 00:01:32.000]  如果你妄稱的時候
[00:01:32.000 --> 00:01:34.000]  神是必不以你無罪的
