
[00:00:00.000 --> 00:00:04.960]  「以謙卑力行公義」
[00:00:04.960 --> 00:00:08.920]  這是我們基督教豐盛生命堂
[00:00:08.920 --> 00:00:11.720]  四重使命
[00:00:11.720 --> 00:00:14.400]  家庭
[00:00:14.400 --> 00:00:16.720]  疾苦
[00:00:16.720 --> 00:00:18.800]  文化
[00:00:18.800 --> 00:00:24.960]  第四方面我們講到這個公義
[00:00:24.960 --> 00:00:28.280]  我不知道大家對於這個力行公義
[00:00:28.280 --> 00:00:31.240]  到底有甚麼想法
[00:00:31.240 --> 00:00:34.360]  有甚麼看法
[00:00:34.360 --> 00:00:37.240]  比較習慣的就是
[00:00:37.240 --> 00:00:40.240]  關乎社會公義的事
[00:00:40.240 --> 00:00:45.560]  大概是一些社會行動家他們做的事
[00:00:45.560 --> 00:00:49.120]  我們只不過是一個普普通通的教會
[00:00:49.120 --> 00:00:51.680]  普普通通的信徒
[00:00:51.680 --> 00:00:53.960]  我們是一個篤信聖經
[00:00:53.960 --> 00:00:59.240]  相信死後永生,靈魂得救的教會
[00:00:59.240 --> 00:01:05.840]  我們是一個願意追求屬靈
[00:01:05.840 --> 00:01:13.480]  不願意花時間在俗世方面的爭議的群體
[00:01:13.480 --> 00:01:14.760]  是不是呢?
[00:01:14.760 --> 00:01:17.360]  到底我們是一個怎樣的群體呢?
[00:01:17.360 --> 00:01:21.960]  豐盛生命堂到底應該是怎樣的呢?
[00:01:21.960 --> 00:01:25.960]  其實在我們思想這個使命的時候
[00:01:25.960 --> 00:01:32.080]  都不外乎是想尋索自己在基督裡
[00:01:32.080 --> 00:01:34.560]  在上主的計劃當中
[00:01:34.560 --> 00:01:37.280]  我們這個教會的身份
[00:01:37.280 --> 00:01:39.280]  我們作為其中的一員
[00:01:39.280 --> 00:01:42.680]  我們的身份到底是甚麼
[00:01:42.680 --> 00:01:45.680]  而基於這個身份我們應該做的
[00:01:45.680 --> 00:01:48.560]  我們奉上主的託付
[00:01:48.560 --> 00:01:51.040]  奉上主的差遣
[00:01:51.040 --> 00:01:53.880]  我怎樣差遣了我
[00:01:53.880 --> 00:01:56.400]  我照樣差遣你
[00:01:56.400 --> 00:01:58.800]  我們不是想做自己的事
[00:01:58.800 --> 00:02:00.800]  不是想自把自為
[00:02:00.800 --> 00:02:05.800]  我們是想尋回自己在上帝的計劃裡面
[00:02:05.800 --> 00:02:09.760]  我們的身份和我們的照明
[00:02:09.760 --> 00:02:11.360]  很多年了
[00:02:11.360 --> 00:02:13.360]  我看過一篇的講章
[00:02:13.360 --> 00:02:15.880]  一直沒有忘記
[00:02:15.880 --> 00:02:20.120]  我發覺這一篇的講章就正正是提醒我
[00:02:20.120 --> 00:02:22.360]  原來我們作為一個屬靈的群體
[00:02:22.360 --> 00:02:24.360]  作為基督的教會
[00:02:24.360 --> 00:02:31.360]  我們不可能對於社會政治不公義的事
[00:02:31.360 --> 00:02:34.360]  是置身到外
[00:02:34.360 --> 00:02:38.360]  我們是不可能求明哲保身
[00:02:38.360 --> 00:02:41.360]  我們不可能是完全沒有立場
[00:02:41.360 --> 00:02:44.120]  完全沒有發言
[00:02:44.120 --> 00:02:47.120]  其實這個以謙卑力行公義
[00:02:47.120 --> 00:02:51.120]  這個使命其中一樣我們要學習的
[00:02:51.120 --> 00:02:56.120]  就是學習來重新定位我們的思想
[00:02:56.120 --> 00:02:58.120]  也許經過今天
[00:02:58.120 --> 00:03:02.120]  你未必會走去堵塞中環的通道
[00:03:02.120 --> 00:03:06.120]  也許經過今天你未必會參政
[00:03:06.120 --> 00:03:10.120]  或者你成為一個社會活動家
[00:03:10.120 --> 00:03:13.120]  也許你什麼都不會做
[00:03:13.120 --> 00:03:18.120]  但是我希望在今天主給我們恩典
[00:03:18.120 --> 00:03:21.120]  打開我們思想裡面的窗戶
[00:03:21.120 --> 00:03:24.120]  以至聖靈,藉著聖經
[00:03:24.120 --> 00:03:28.120]  藉著這個歷世歷代美好的榜樣
[00:03:28.120 --> 00:03:30.120]  先知的訓言
[00:03:30.120 --> 00:03:34.120]  教導我們怎樣可以真正去關心
[00:03:34.120 --> 00:03:36.120]  什麼是不公義
[00:03:36.120 --> 00:03:43.120]  去關心怎樣促進公義的世界,公義的社會
[00:03:43.120 --> 00:03:45.120]  各位目者
[00:03:45.120 --> 00:03:49.120]  如果你過去聽我分享信息
[00:03:49.120 --> 00:03:50.120]  幾十年來
[00:03:50.120 --> 00:03:54.120]  你時常聽見這個G. Campbell Morgan
[00:03:54.120 --> 00:03:55.120]  這個名字
[00:03:55.120 --> 00:03:58.120]  叫做解經王子
[00:03:58.120 --> 00:04:00.120]  是專門講聖經
[00:04:00.120 --> 00:04:02.120]  似乎除了聖經之外
[00:04:02.120 --> 00:04:05.120]  什麼都不會多講
[00:04:05.120 --> 00:04:09.120]  但是我就讀了他這篇講章
[00:04:09.120 --> 00:04:11.120]  我非常之感動
[00:04:11.120 --> 00:04:15.120]  原來他是一個都追求公義
[00:04:15.120 --> 00:04:18.120]  他是一個都夠膽對著政府
[00:04:18.120 --> 00:04:21.120]  來講說話的一個傳道人
[00:04:21.120 --> 00:04:23.120]  他說我今晚在這裡講的信息
[00:04:23.120 --> 00:04:24.120]  沒有灰色的地帶
[00:04:24.120 --> 00:04:26.120]  我今天首要的身份
[00:04:26.120 --> 00:04:28.120]  是上帝的僕人求主幫助我
[00:04:28.120 --> 00:04:30.120]  但是我都是英國人
[00:04:30.120 --> 00:04:32.120]  是時候能夠再拖泥帶水了
[00:04:32.120 --> 00:04:34.120]  你們不能又侍奉上帝
[00:04:34.120 --> 00:04:37.120]  又侍奉馬門
[00:04:37.120 --> 00:04:39.120]  不過
[00:04:39.120 --> 00:04:42.120]  我們英國有我們英國的國策
[00:04:42.120 --> 00:04:43.120]  我們有政治
[00:04:43.120 --> 00:04:46.120]  政治的領域歸政治
[00:04:46.120 --> 00:04:48.120]  教會不應該過問
[00:04:48.120 --> 00:04:49.120]  然而無論如何
[00:04:49.120 --> 00:04:50.120]  在關鍵的時刻
[00:04:50.120 --> 00:04:51.120]  上帝的教會
[00:04:51.120 --> 00:04:53.120]  總要站在人的旁邊
[00:04:53.120 --> 00:04:56.120]  當著全國的人面前
[00:04:56.120 --> 00:05:00.120]  來堅持上帝所設立的基督
[00:05:00.120 --> 00:05:07.120]  他是有嚴格清晰明確善良的界線
[00:05:07.120 --> 00:05:09.120]  上帝的基督
[00:05:09.120 --> 00:05:11.120]  是有道德感有正義感
[00:05:11.120 --> 00:05:14.120]  有清楚的教導的
[00:05:14.120 --> 00:05:18.120]  教會有責任
[00:05:18.120 --> 00:05:20.120]  是分別左右
[00:05:20.120 --> 00:05:22.120]  講明生死
[00:05:22.120 --> 00:05:24.120]  講明光暗
[00:05:24.120 --> 00:05:26.120]  講明天堂地獄
[00:05:26.120 --> 00:05:28.120]  無論為個人為全國
[00:05:28.120 --> 00:05:30.120]  都要向他傳這個訊息
[00:05:30.120 --> 00:05:35.120]  你不能又侍奉上帝又侍奉馬門
[00:05:35.120 --> 00:05:38.120]  對不對各位
[00:05:38.120 --> 00:05:42.120]  這些訊息有沒有能力
[00:05:42.120 --> 00:05:44.120]  對著政府說
[00:05:44.120 --> 00:05:47.120]  你不能又侍奉上帝又侍奉馬門
[00:05:47.120 --> 00:05:48.120]  有什麼關係
[00:05:48.120 --> 00:05:51.120]  如何落地是一個問題
[00:05:51.120 --> 00:05:56.120]  他說明天在上海就召開一個大會
[00:05:56.120 --> 00:06:01.120]  美國教會有多少人關心這個上海開的大會
[00:06:01.120 --> 00:06:03.120]  其實教會沒什麼說的
[00:06:03.120 --> 00:06:04.120]  零零碎碎
[00:06:04.120 --> 00:06:07.120]  反而外面的報紙就說得很多
[00:06:07.120 --> 00:06:10.120]  教會在那裡睡覺
[00:06:10.120 --> 00:06:12.120]  這個大會
[00:06:12.120 --> 00:06:15.120]  是由美國穿針引線
[00:06:15.120 --> 00:06:17.120]  有12個國家出席的
[00:06:17.120 --> 00:06:20.120]  大概是1910年代
[00:06:20.120 --> 00:06:22.120]  確實日期我沒去查
[00:06:22.120 --> 00:06:31.120]  有中、日、暹羅、波斯、俄羅斯、德、法、英、意、荷蘭、葡萄牙、美國
[00:06:31.120 --> 00:06:34.120]  那個大會的題目大家聽聽
[00:06:34.120 --> 00:06:38.120]  鴉片的習慣對中國人的影響
[00:06:38.120 --> 00:06:43.120]  貿易的數量、來源和商人的權利
[00:06:43.120 --> 00:06:45.120]  一個這樣的大會
[00:06:45.120 --> 00:06:49.120]  和英國教會有什麼關係
[00:06:49.120 --> 00:06:52.120]  都是很技術性的東西
[00:06:52.120 --> 00:06:54.120]  摩根說
[00:06:54.120 --> 00:06:56.120]  我自問對外交
[00:06:56.120 --> 00:07:01.120]  對於政府如何訂立政策是門外腔
[00:07:01.120 --> 00:07:06.120]  而且也是需要很謙卑去學習去認識的
[00:07:06.120 --> 00:07:08.120]  但是從另外一個角度
[00:07:08.120 --> 00:07:12.120]  我可以說這個大會根本就是一場鬧劇
[00:07:12.120 --> 00:07:16.120]  中國人受鴉片殘害的情況
[00:07:16.120 --> 00:07:19.120]  舉世皆知英國人是有罪責的
[00:07:19.120 --> 00:07:21.120]  是責無旁貸的
[00:07:21.120 --> 00:07:23.120]  要去幫助中國人的
[00:07:23.120 --> 00:07:27.120]  英國人如果他真的有國民的良心
[00:07:27.120 --> 00:07:31.120]  何必要美國人來牽針引線呢
[00:07:31.120 --> 00:07:33.120]  應該找個洞鑽下去
[00:07:33.120 --> 00:07:36.120]  這個會開成了
[00:07:36.120 --> 00:07:40.120]  目的就是各個國家
[00:07:40.120 --> 00:07:45.120]  在他們東方所佔的地方
[00:07:45.120 --> 00:07:51.120]  循序漸進的減重減產減患
[00:07:51.120 --> 00:07:55.120]  以至中國最終能夠跟隨這個惡習
[00:07:55.120 --> 00:07:58.120]  嘩 多偉大呀
[00:07:58.120 --> 00:08:03.120]  這個是美國寫給其他國家外交部
[00:08:03.120 --> 00:08:05.120]  一字不譯的說話
[00:08:05.120 --> 00:08:08.120]  而英國的代表曾經兩次說
[00:08:08.120 --> 00:08:12.120]  鴉片貿易在道德上是站不住腳的
[00:08:12.120 --> 00:08:14.120]  但是兩年來
[00:08:14.120 --> 00:08:18.120]  英國政府一直阻止中國人
[00:08:18.120 --> 00:08:22.120]  用自己的方法去剷除這個鴉片的毒害
