
[00:00:00.000 --> 00:00:03.740]  鼎姐妹,早安!
[00:00:03.740 --> 00:00:09.840]  不知最近有甚麼事最影響到你呢?
[00:00:09.840 --> 00:00:12.880]  我想我們每個人都有少少不同
[00:00:12.880 --> 00:00:20.440]  不過我們都受社會紛亂環境共同影響
[00:00:20.440 --> 00:00:25.360]  漸漸成為一個很貼身的問題
[00:00:25.360 --> 00:00:34.120]  我不知道這些事情會否令到你對自己有甚麼新發現呢?
[00:00:34.120 --> 00:00:42.120]  會否令到你發現你和身邊的人的關係是怎樣的呢?
[00:00:42.120 --> 00:00:47.480]  你自己怎樣處理你的感受,怎樣處理你的情緒呢?
[00:00:47.480 --> 00:00:52.280]  你是否一個需要去表達的人呢?
[00:00:52.280 --> 00:00:57.320]  大概一個多月前,有一個星期日的晚上
[00:00:57.320 --> 00:01:00.160]  白天有200萬人遊行
[00:01:00.160 --> 00:01:05.800]  晚上我和一班學生吃晚飯
[00:01:05.800 --> 00:01:10.640]  有些人白天去了遊行,有些人白天沒有去遊行
[00:01:10.640 --> 00:01:17.720]  我們談起近日教會的目者感覺最大的難題之一
[00:01:17.720 --> 00:01:23.520]  就是面對現時的社會情況,怎樣講道理呢?
[00:01:23.520 --> 00:01:27.800]  社會現況,講還是不講呢?
[00:01:27.800 --> 00:01:32.560]  大家當然有不同的意見在討論
[00:01:32.560 --> 00:01:36.160]  但在過程當中,有一位五十多歲的弟兄
[00:01:36.160 --> 00:01:38.880]  他直接和我對話
[00:01:38.880 --> 00:01:45.680]  在這段日子裏,這段對話仍然停留在我心裏,揮之不去
[00:01:45.680 --> 00:01:51.600]  他問:「老師,我接受不了」
[00:01:51.600 --> 00:02:00.400]  我不知道這段時間,你收到其他人的意見、問題
[00:02:00.400 --> 00:02:07.160]  會否有些假設,用了假設來回應呢?
[00:02:07.160 --> 00:02:10.200]  有時候我們的溝通,特別在WhatsApp裏
[00:02:10.200 --> 00:02:16.280]  就是這樣,對方未必像你想像的意思
[00:02:16.280 --> 00:02:20.440]  我跟他說:「你接受不了甚麼?
[00:02:20.440 --> 00:02:23.960]  你接受不了講,還是接受不了不講呢?」
[00:02:23.960 --> 00:02:29.000]  他說:「怎可以不講呢?信仰是要落地的
[00:02:29.000 --> 00:02:33.400]  當人人都在面對、在想這個社會的問題
[00:02:33.400 --> 00:02:35.920]  整個社會的氣氛都是這樣
[00:02:35.920 --> 00:02:39.880]  講壇怎可以若無其事呢?
