
[00:00:00.000 --> 00:00:02.000]  我又不是美國公民
[00:00:02.000 --> 00:00:04.000]  我又不能夠投票
[00:00:04.000 --> 00:00:06.000]  那對我有什麼關係呀
[00:00:06.000 --> 00:00:08.000]  對
[00:00:08.000 --> 00:00:11.000]  你可能不是美國的公民
[00:00:11.000 --> 00:00:13.000]  但是呢
[00:00:13.000 --> 00:00:15.000]  你可以
[00:00:15.000 --> 00:00:17.000]  你可以隨什麼呢
[00:00:17.000 --> 00:00:19.000]  我們基督徒有兩個身份
[00:00:19.000 --> 00:00:22.000]  一個就是說我們是天國的國民
[00:00:22.000 --> 00:00:23.000]  對不對
[00:00:23.000 --> 00:00:25.000]  但是我們活在那個世界上面
[00:00:25.000 --> 00:00:27.000]  我們怎麼樣呢
[00:00:27.000 --> 00:00:32.000]  可以用天國國民的那種特權
[00:00:32.000 --> 00:00:34.000]  那種特色
[00:00:34.000 --> 00:00:36.000]  怎麼可以在那個世界上面
[00:00:36.000 --> 00:00:38.000]  做一個在世界上面
[00:00:38.000 --> 00:00:39.000]  一個公民
[00:00:39.000 --> 00:00:40.000]  那可能呢
[00:00:40.000 --> 00:00:44.000]  你可以問我又不是美國公民
[00:00:44.000 --> 00:00:46.000]  我又不能夠投票什麼的
[00:00:46.000 --> 00:00:49.000]  我要回到中國大陸的
[00:00:49.000 --> 00:00:52.000]  那今天的那個題目對我來講
[00:00:52.000 --> 00:00:54.000]  很像沒有什麼用
[00:00:54.000 --> 00:00:55.000]  不是喔
[00:00:55.000 --> 00:01:00.000]  今天我們就從神的話語的角度去看看
[00:01:00.000 --> 00:01:02.000]  我們成為一個公民
[00:01:02.000 --> 00:01:08.000]  我們基督徒有雙重的身份
[00:01:08.000 --> 00:01:11.000]  一個就是天上面的國民
[00:01:11.000 --> 00:01:15.000]  另外一面就是地上面的
[00:01:15.000 --> 00:01:16.000]  我們在美國也好
[00:01:16.000 --> 00:01:18.000]  在中國也好
[00:01:18.000 --> 00:01:20.000]  我們怎麼可以在地上面
[00:01:20.000 --> 00:01:24.000]  做一個天國的國民
[00:01:24.000 --> 00:01:26.000]  那我也希望你
[00:01:26.000 --> 00:01:30.000]  雖然說你可能不是美國公民什麼的
[00:01:30.000 --> 00:01:31.000]  但是呢
