
[00:00:00.000 --> 00:00:04.000]  我們很高興看到有一位年輕的弟兄
[00:00:04.000 --> 00:00:06.000]  受洗歸在主的名下
[00:00:06.000 --> 00:00:08.000]  我們要禱告
[00:00:08.000 --> 00:00:10.000]  一次的受洗永遠的跟神
[00:00:10.000 --> 00:00:12.000]  Amen
[00:00:12.000 --> 00:00:15.000]  同樣的今天我們也要來再思想一個問題
[00:00:15.000 --> 00:00:18.000]  每一次當我們看到一個人受洗的時候
[00:00:18.000 --> 00:00:21.000]  弟兄姊妹幫助我們信主多年的重新來思想
[00:00:21.000 --> 00:00:23.000]  我們信的到底是誰
[00:00:23.000 --> 00:00:26.000]  我要問你們旁邊你信的是誰
[00:00:26.000 --> 00:00:28.000]  你信的是誰
[00:00:28.000 --> 00:00:30.000]  你信的是耶穌
[00:00:30.000 --> 00:00:32.000]  你信的是媽祖
[00:00:32.000 --> 00:00:34.000]  你信的是耶和華
[00:00:34.000 --> 00:00:36.000]  你信的是哪一位
[00:00:36.000 --> 00:00:38.000]  先生 女士們
[00:00:38.000 --> 00:00:42.000]  這個問題其實我們在主講台提過好多次
[00:00:42.000 --> 00:00:45.000]  但是重要的事情要講幾遍
[00:00:45.000 --> 00:00:47.000]  三遍 三遍都不夠
[00:00:47.000 --> 00:00:49.000]  我發現三十遍都不夠
[00:00:49.000 --> 00:00:51.000]  好
[00:00:51.000 --> 00:00:53.000]  今天我們再一次來思想
[00:00:53.000 --> 00:00:56.000]  基督是誰
[00:00:56.000 --> 00:01:00.000]  或者說 耶穌是誰
[00:01:00.000 --> 00:01:04.000]  問一下你旁邊 耶穌是誰
[00:01:04.000 --> 00:01:08.000]  耶穌是誰
[00:01:08.000 --> 00:01:10.000]  問的時候你回答
[00:01:10.000 --> 00:01:12.000]  你就講耶穌是誰 好不好
[00:01:12.000 --> 00:01:14.000]  來 三十秒鐘 很快的講一下
[00:01:14.000 --> 00:01:16.000]  你跟你旁邊講說 耶穌是誰
[00:01:16.000 --> 00:01:18.000]  就你所認識的耶穌是誰
[00:01:18.000 --> 00:01:20.000]  你跟他講
[00:01:26.000 --> 00:01:28.000]  我們訓練弟兄姊妹
[00:01:28.000 --> 00:01:31.000]  在門不虛裡面我訓練弟兄姊妹
[00:01:31.000 --> 00:01:34.000]  你要能夠把福音三分鐘講完
[00:01:34.000 --> 00:01:37.000]  三分鐘怎麼講得完
[00:01:37.000 --> 00:01:40.000]  你可能跟一個人在一起見面的時候
[00:01:40.000 --> 00:01:42.000]  只有三分鐘時間
[00:01:42.000 --> 00:01:44.000]  你怎麼樣子能夠三分鐘時間
[00:01:44.000 --> 00:01:47.000]  把這個福音的經要講給他
[00:01:47.000 --> 00:01:50.000]  同樣的 今天我們在問說 耶穌是誰的時候
[00:01:50.000 --> 00:01:52.000]  你怎麼樣子在三分鐘
[00:01:52.000 --> 00:01:54.000]  剛才我只給你三十秒
[00:01:54.000 --> 00:01:57.000]  因為只是讓你稍微熱身一下 好不好
[00:01:57.000 --> 00:01:59.000]  但是如果給你有三分鐘時間講
[00:01:59.000 --> 00:02:03.000]  耶穌是誰 你怎麼講
[00:02:03.000 --> 00:02:05.000]  哇 這個問題我跟你講
[00:02:05.000 --> 00:02:08.000]  你教誰學的教授三分鐘講出來
[00:02:08.000 --> 00:02:11.000]  他可能也不知道該怎麼講
[00:02:11.000 --> 00:02:15.000]  這個是需要你對耶穌的認識要熟
[00:02:15.000 --> 00:02:17.000]  而且你要練習
[00:02:17.000 --> 00:02:23.000]  然後你要掌握到底什麼該講什麼不該講
[00:02:23.000 --> 00:02:25.000]  那今天我們來看
[00:02:25.000 --> 00:02:28.000]  在歌羅西書第一章十五到十七節裡面
[00:02:28.000 --> 00:02:34.000]  保羅在歌羅西書裡面講到了一個非常重要的主題
[00:02:34.000 --> 00:02:37.000]  神學上稱它叫做基督論
[00:02:37.000 --> 00:02:39.000]  我們知道神學有基督論
[00:02:39.000 --> 00:02:44.000]  有聖靈論 有教會論等等這些 對不對
[00:02:44.000 --> 00:02:46.000]  你會發現
[00:02:46.000 --> 00:02:52.000]  很多基本的信仰的異端出問題是在哪裡呢
[00:02:52.000 --> 00:02:55.000]  其中一個就是在基督論出了問題
