
[00:00:00.000 --> 00:00:03.000]  Hello 大家節目平安
[00:00:03.000 --> 00:00:09.400]  OK 今天我們是去到約翰福音第七章
[00:00:09.400 --> 00:00:11.880]  讓我們一起祈禱好嗎?
[00:00:11.880 --> 00:00:15.000]  天父上帝在我們面前我們祈求祢
[00:00:15.000 --> 00:00:18.480]  打開我們的心 幫助我們明白祢的華語
[00:00:18.480 --> 00:00:22.640]  讓我們的生命好像不斷地吸收
[00:00:22.640 --> 00:00:25.120]  祢從天上賜給我們的糧
[00:00:25.120 --> 00:00:29.600]  讓我們的身體因為領受祢的華語
[00:00:29.600 --> 00:00:35.480]  讓我們的心心靈得到祢的資源和補足
[00:00:35.480 --> 00:00:37.920]  神啊我們祈求祢幫助我們
[00:00:37.920 --> 00:00:41.360]  這樣祈禱防止耶穌命退 阿們
[00:00:41.360 --> 00:00:48.560]  我叫Paul 在職稱區負責帶領團體
[00:00:48.560 --> 00:00:53.480]  如果你們已經開始覺得我的廣東話怪怪的
[00:00:53.480 --> 00:00:57.280]  就因為我是出生在新加坡的
[00:00:57.280 --> 00:01:01.760]  所以我的廣東話就是這樣
[00:01:01.760 --> 00:01:08.280]  你稍後說著說著可能會有些英文出來
[00:01:08.280 --> 00:01:10.280]  所以你也要預備好
[00:01:10.280 --> 00:01:12.080]  第二件事你要預備好
[00:01:12.080 --> 00:01:16.960]  就是今天的經文也挺長的
[00:01:16.960 --> 00:01:19.120]  是有52節的
[00:01:19.120 --> 00:01:21.560]  所以我們要看很多的經文
[00:01:21.560 --> 00:01:25.480]  要想一些重要的事情
[00:01:25.480 --> 00:01:27.480]  我不知道你預備好了沒有
[00:01:27.480 --> 00:01:29.800]  大家綁好安全帶了沒有
[00:01:29.800 --> 00:01:32.600]  綁好了我們就要來了
[00:01:32.600 --> 00:01:36.960]  我想問這裡的大英姐妹
[00:01:36.960 --> 00:01:43.280]  你們在學校有沒有遇到一些朋友或者同學
