
[00:00:00.000 --> 00:00:05.580]  我們說的「有心」和「有個心」是不同的
[00:00:05.580 --> 00:00:08.060]  有更多的意思
[00:00:08.060 --> 00:00:12.220]  今天我們要聽的道
[00:00:12.220 --> 00:00:17.680]  講道的主題是「以基督的心為心」
[00:00:17.680 --> 00:00:20.180]  究竟是什麼意思呢
[00:00:20.180 --> 00:00:23.600]  究竟什麼是「基督的心」呢
[00:00:23.600 --> 00:00:30.400]  究竟和我們又有什麼關係呢
[00:00:30.400 --> 00:00:33.320]  我今天會和大家一起去看
[00:00:33.320 --> 00:00:40.160]  肥立比書的二章五至十一節
[00:00:40.160 --> 00:00:42.280]  如果有聖經的可以一起翻開
[00:00:42.280 --> 00:00:44.280]  如果不是的話不要緊
[00:00:44.280 --> 00:00:47.520]  讓我在這裡為大家讀出
[00:00:47.520 --> 00:00:50.720]  大家留心去領悟
[00:00:50.720 --> 00:00:57.720]  大家留心去領受聽上帝的說話就行了
[00:00:57.720 --> 00:01:01.640]  肥立比書二章五至十一節
[00:01:01.640 --> 00:01:05.760]  「你們當以基督耶穌的心為心
[00:01:05.760 --> 00:01:07.960]  祂本有神的形象
[00:01:07.960 --> 00:01:11.920]  卻不堅持自己與神同等
[00:01:11.920 --> 00:01:13.640]  反倒虛己
[00:01:13.640 --> 00:01:15.920]  取了奴僕的形象
[00:01:15.920 --> 00:01:18.160]  成為人的樣式
[00:01:18.160 --> 00:01:20.160]  既有人的樣子
[00:01:20.160 --> 00:01:22.160]  就謙卑自己
[00:01:22.160 --> 00:01:24.160]  全心信服
[00:01:24.160 --> 00:01:26.160]  以致於死
[00:01:26.160 --> 00:01:29.600]  且死在十字架上
[00:01:29.600 --> 00:01:32.680]  所以神把祂升為至高
[00:01:32.680 --> 00:01:36.960]  又賜給祂超乎萬名之上的名
[00:01:36.960 --> 00:01:39.080]  使一切在天上的
[00:01:39.080 --> 00:01:40.360]  地上的
[00:01:40.360 --> 00:01:42.240]  和地底下的
[00:01:42.240 --> 00:01:44.000]  因耶穌的名
