
[00:00:00.000 --> 00:00:08.000]  記得我剛開始《約翰福音》另一個系列的時候
[00:00:08.000 --> 00:00:10.600]  我交代過耶穌在《約翰福音》裏面
[00:00:10.600 --> 00:00:15.000]  曾經用了七個"我是"的片語作爲一個自我啓示
[00:00:15.000 --> 00:00:18.000]  我交代過耶穌曾經在《約翰福音》裏面
[00:00:18.000 --> 00:00:22.000]  曾經講過七次一個片語叫"我是"
[00:00:22.000 --> 00:00:30.000]  當然深入一點去理解這個片語
[00:00:30.000 --> 00:00:35.000]  有一個格式
[00:00:35.000 --> 00:00:38.000]  它通常是行完一個神蹟之後
[00:00:38.000 --> 00:00:40.000]  然後有一個長的論述
[00:00:40.000 --> 00:00:42.000]  用"我是"作爲一個自我啓示
[00:00:42.000 --> 00:00:44.000]  通常是行了一個神蹟
[00:00:44.000 --> 00:00:49.000]  然後有一個很長的句子表明一個論述
[00:00:49.000 --> 00:00:52.000]  或者是在一個特殊的場景之後
[00:00:52.000 --> 00:00:54.000]  他用"我是"作爲一個自我啓示
[00:00:54.000 --> 00:00:57.000]  或者是在有一個特殊的情況之下
[00:00:57.000 --> 00:01:00.000]  他做了一件事情之後
[00:01:00.000 --> 00:01:02.000]  他就說"我是"
[00:01:02.000 --> 00:01:05.000]  當然如果我再回到舊約的背景
[00:01:05.000 --> 00:01:07.000]  如果我再回到舊約的背景
[00:01:07.000 --> 00:01:12.000]  這個是承接舊約上主向摩西顯現的時候
[00:01:12.000 --> 00:01:13.000]  一個自我啓示
[00:01:13.000 --> 00:01:18.000]  這個是藉着摩西向一個顯現
[00:01:18.000 --> 00:01:21.000]  當時這個中文翻譯
[00:01:21.000 --> 00:01:23.000]  摩西就問上帝
[00:01:23.000 --> 00:01:25.000]  你叫做什麼名字
[00:01:25.000 --> 00:01:27.000]  好讓我回去向以色列人交代
[00:01:27.000 --> 00:01:30.000]  摩西當時候就問上帝你叫什麼名字
[00:01:30.000 --> 00:01:33.000]  好讓我回去向以色列人解釋
[00:01:33.000 --> 00:01:37.000]  中文曾經翻譯"我是自由永有"
[00:01:37.000 --> 00:01:40.000]  中文曾經翻譯成"我是自由永有"
[00:01:40.000 --> 00:01:42.000]  語文是"我就是我"
[00:01:42.000 --> 00:01:44.000]  原文就是"我就是我"
[00:01:44.000 --> 00:01:45.000]  I am who I am 我就是我
[00:01:45.000 --> 00:01:47.000]  我就是我 I am who I am
[00:01:47.000 --> 00:01:50.000]  我曾經交代過上帝是沒有名字的
[00:01:50.000 --> 00:01:52.000]  我曾經交代過上帝沒有名字
[00:01:52.000 --> 00:01:55.000]  無論我們今天翻譯的耶和華
[00:01:55.000 --> 00:01:58.000]  無論我們今天翻譯成耶和華
[00:01:58.000 --> 00:02:01.000]  或者如果臺灣近年的翻譯叫Yahweh
[00:02:01.000 --> 00:02:04.000]  或者是臺灣今年翻譯成Yahweh
[00:02:04.000 --> 00:02:07.000]  這個都是一個發音不是上帝的名字
[00:02:07.000 --> 00:02:10.000]  這只是發音而已不是上帝的真正名字
[00:02:10.000 --> 00:02:11.000]  上帝說我就是我
[00:02:11.000 --> 00:02:13.000]  上帝說我就是我
[00:02:13.000 --> 00:02:16.000]  所以這個"我是"去到英語裏面
[00:02:16.000 --> 00:02:18.000]  所以這個"我是"去到英語裏面
[00:02:18.000 --> 00:02:21.000]  同樣是承載着一個上帝的自我啓示
[00:02:21.000 --> 00:02:25.000]  同樣承載着上帝自我啓示
[00:02:25.000 --> 00:02:31.000]  《約翰福音》第八章記載了一個充滿黑暗和光明的對比的場景
[00:02:31.000 --> 00:02:36.000]  《約翰福音》第八章記載了一個充滿黑暗和光明的場景
[00:02:36.000 --> 00:02:38.000]  在大清早一羣民事和法利塞人
[00:02:38.000 --> 00:02:43.000]  帶着一個正在行奸人的婦女來到耶穌的面前
[00:02:43.000 --> 00:02:48.000]  在大清早一羣民事和法利塞人
[00:02:48.000 --> 00:02:55.000]  帶着一個正在行奸人的婦女來到耶穌的面前
[00:02:55.000 --> 00:03:01.000]  表面上他們是光明正大的理由去執行律法的要求
[00:03:01.000 --> 00:03:12.000]  表面上他們是光明正大的理由去執行律法的要求
[00:03:12.000 --> 00:03:15.000]  但是他們內在的動機是黑暗的
[00:03:15.000 --> 00:03:18.000]  可是他們內心的動機是黑暗的
[00:03:18.000 --> 00:03:21.000]  聖經清楚地交代他們是爲了試探耶穌
[00:03:21.000 --> 00:03:25.000]  聖經清楚地交代他們的目的是要試探耶穌
[00:03:25.000 --> 00:03:29.000]  如果按照律法的要求這個婦女是應該受懲罰的
[00:03:29.000 --> 00:03:33.000]  按照律法的要求這位婦女其實應該受到懲罰的
[00:03:33.000 --> 00:03:35.000]  因爲她從事一些不道德的交易
[00:03:35.000 --> 00:03:38.000]  因爲她從事不道德的行爲
[00:03:38.000 --> 00:03:40.000]  我無意將她的行爲合理化
[00:03:40.000 --> 00:03:43.000]  我無意將她的行爲合理化
[00:03:43.000 --> 00:03:45.000]  錯就是錯,罪就是罪
[00:03:45.000 --> 00:03:47.000]  錯就是錯,犯罪就是犯了罪
[00:03:47.000 --> 00:03:51.000]  聖經清楚地交代當時她是正在行淫被捉拿
[00:03:51.000 --> 00:03:55.000]  可是聖經交代她當時正在行淫
[00:03:55.000 --> 00:03:59.000]  我們理解你要進行一個不道德的交易至少有兩個人
[00:03:59.000 --> 00:04:04.000]  我們瞭解你進行一個不道德的交易起碼要兩個人才能進行
[00:04:04.000 --> 00:04:10.000]  爲什麼當時那羣偽善的宗教領袖只是將這位女士帶到耶穌的面前呢?
[00:04:10.000 --> 00:04:17.000]  可是爲什麼當時那些爲善的宗教領袖卻只是抓了這個女人呢?
[00:04:17.000 --> 00:04:19.000]  另外一位去了哪裏呢?
[00:04:19.000 --> 00:04:21.000]  另外一位跑去哪裏了?
[00:04:21.000 --> 00:04:22.000]  聖經也沒有交代
[00:04:22.000 --> 00:04:23.000]  聖經沒有交代
[00:04:23.000 --> 00:04:28.000]  我們說是隱含了表達這些宗教領袖的那種偽善
[00:04:28.000 --> 00:04:33.000]  我們說是隱藏了這種宗教領袖有一種雙重的標準
[00:04:33.000 --> 00:04:38.000]  在質問她的過程裏面
[00:04:38.000 --> 00:04:46.000]  這位婦女被利用作爲試探耶穌的棋子
[00:04:46.000 --> 00:04:51.000]  或者是人性的尊嚴被剝削了
[00:04:51.000 --> 00:04:55.000]  在場的人都只是看到這位婦女黑暗的一面
[00:04:55.000 --> 00:04:58.000]  在場的人只看到這位女人的黑暗一面
[00:04:58.000 --> 00:05:03.000]  大家都指手畫腳站在道德高地那裏去指責她
[00:05:03.000 --> 00:05:07.000]  大家都站在道德的高地去罵她
[00:05:07.000 --> 00:05:11.000]  但忘記了原來我們每個人都長期活在黑暗的裏面
[00:05:11.000 --> 00:05:14.000]  卻忘記我們每一個人都長期活在黑暗裏面
[00:05:14.000 --> 00:05:17.000]  我們每一個人都是被罪所污染的
[00:05:17.000 --> 00:05:19.000]  我們每一個人都是被罪所污染的
[00:05:19.000 --> 00:05:23.000]  所以當時大家都興高采烈想扮演光明
[00:05:23.000 --> 00:05:27.000]  大家當時都興高采烈的想扮演光明
[00:05:27.000 --> 00:05:31.000]  想當成光明使者
[00:05:31.000 --> 00:05:34.000]  我們好像法官那樣要執行這個審判的時候
[00:05:34.000 --> 00:05:38.000]  我們好像法官那樣要進行這個審判
